Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.323867	8.880772	0	38.000389	-1.127206	38.333941	-1.127206	2.952649E+14	2.070607E-5	48294.877964	15.335358	1.09289	0	0
4.357136	8.882364	-0.502745	37.95034	-0.742158	38.170069	-0.742158	2.860401E+14	2.08618E-5	47934.370208	15.385037	1.09107	0	0
4.389117	8.885239	-0.506347	37.831848	-0.099617	37.861379	-0.099617	2.653104E+14	2.073438E-5	48228.954129	15.321243	1.091188	0	0
4.475707	8.884623	-0.516093	37.707477	0.529031	37.550442	0.529031	2.451359E+14	2.059975E-5	48544.183717	15.370875	1.089803	0	0
5.346536	8.886377	-0.614088	37.580622	1.133487	37.243711	1.133487	2.26111E+14	2.04835E-5	48819.693653	15.33983	1.08917	0	0
7.149335	8.881215	0.334276	37.452575	1.69491	36.948106	1.69491	2.083805E+14	2.035214E-5	49134.799821	15.340505	1.08921	0	0
9.017241	8.88058	0.507205	37.328856	2.192275	36.675498	2.192275	1.925516E+14	2.020462E-5	49493.565507	15.372409	1.087548	0	0
11.116924	8.873441	1.284452	37.212455	2.631508	36.427228	2.631508	1.787434E+14	2.007397E-5	49815.708803	15.332265	1.087983	0	0
12.945444	8.872516	1.12426	37.098358	3.028493	36.193582	3.028493	1.661575E+14	1.992632E-5	50184.833501	15.397417	1.086044	0	0
14.750171	8.863991	1.181694	36.983803	3.405868	35.965055	3.405868	1.54402E+14	1.979286E-5	50523.231667	15.338828	1.086994	0	0
16.549371	8.847807	1.191869	36.867827	3.760697	35.741569	3.760697	1.433382E+14	1.964798E-5	50895.792054	15.392249	1.085886	0	0
18.353508	8.836241	1.073992	36.749679	4.097517	35.521023	4.097517	1.328736E+14	1.949608E-5	51292.341371	15.358431	1.086242	0	0
20.161127	8.839188	0.850423	36.631579	4.410041	35.30757	4.410041	1.231694E+14	1.933555E-5	51718.184512	15.364455	1.086163	0	0
21.974801	8.827831	0.711688	36.516959	4.696304	35.105308	4.696304	1.144233E+14	1.919139E-5	52106.670428	15.381573	1.084896	0	0
23.770253	8.82207	0.535514	36.402127	4.96159	34.908938	4.96159	1.062786E+14	1.903192E-5	52543.298957	15.333395	1.085688	0	0
25.581845	8.810012	0.377919	36.290904	5.205393	34.722517	5.205393	9.893871E+13	1.88928E-5	52930.211797	15.380947	1.083788	0	0
26.170953	8.795172	0.357603	36.1788	5.433938	34.539631	5.433938	9.204976E+13	1.87428E-5	53353.816934	15.323801	1.084461	0	0
26.770402	8.780198	0.328313	36.066826	5.648224	34.361022	5.648224	8.564446E+13	1.859458E-5	53779.095017	15.352358	1.083551	0	0
27.364038	8.753767	0.315127	35.955375	5.847048	34.18747	5.847048	7.970892E+13	1.844008E-5	54229.67854	15.332675	1.08268	0	0
27.965784	8.710061	0.314004	35.843989	6.031519	34.018189	6.031519	7.418545E+13	1.827342E-5	54724.277765	15.317476	1.082205	0	0
28.568603	8.649828	0.313484	35.734008	6.203761	33.853918	6.203761	6.910524E+13	1.811728E-5	55195.924905	15.355817	1.080108	0	0
29.165336	8.572239	0.310275	35.622801	6.365229	33.691545	6.365229	6.432027E+13	1.79452E-5	55725.205069	15.31233	1.080227	0	0
29.733031	8.461799	0.314134	35.511807	6.516457	33.532387	6.516457	5.987326E+13	1.777296E-5	56265.251003	15.366525	1.078169	0	0
30.319566	8.323009	0.311941	35.400307	6.657356	33.375747	6.657356	5.571413E+13	1.758639E-5	56862.139229	15.324144	1.077694	0	0
30.905463	8.139353	0.309975	35.293332	6.786641	33.227166	6.786641	5.199447E+13	1.742551E-5	57387.121576	15.348081	1.076111	0	0
31.465917	7.908324	0.30967	35.187336	6.907355	33.082111	6.907355	4.855294E+13	1.726748E-5	57912.333921	15.342316	1.07437	0	0
32.033355	7.620424	0.30734	35.083644	7.019294	32.942007	7.019294	4.540592E+13	1.711933E-5	58413.49504	15.322878	1.073816	0	0
32.600979	7.259291	0.305846	34.979217	7.124817	32.803037	7.124817	4.244202E+13	1.696348E-5	58950.171783	15.366974	1.071046	0	0
33.155151	6.83245	0.30486	34.874887	7.223514	32.666186	7.223514	3.967349E+13	1.680128E-5	59519.259199	15.320684	1.070888	0	0
33.69517	6.339575	0.30423	34.772927	7.315458	32.53376	7.315458	3.714187E+13	1.665308E-5	60048.959876	15.366686	1.068751	0	0
34.234854	5.765183	0.303543	34.671358	7.401666	32.403434	7.401666	3.478017E+13	1.650306E-5	60594.812984	15.329963	1.067801	0	0
34.747329	5.14344	0.302246	34.569577	7.48319	32.274271	7.48319	3.256377E+13	1.63527E-5	61151.9648	15.330867	1.067129	0	0
35.258183	4.45566	0.299186	34.469037	7.55981	32.147833	7.55981	3.051278E+13	1.621151E-5	61684.548903	15.357921	1.064477	0	0
35.750932	3.718999	0.299274	34.369249	7.631023	32.023778	7.631023	2.860458E+13	1.606368E-5	62252.233353	15.314659	1.064873	0	0
36.232828	2.93572	0.30486	34.271519	7.698666	31.902885	7.698666	2.68512E+13	1.594188E-5	62727.856692	15.38365	1.061905	0	0
36.675861	2.157568	0.315982	34.175095	7.762786	31.784374	7.762786	2.522642E+13	1.583622E-5	63146.398374	15.323657	1.06234	0	0
37.079919	1.409297	0.332269	34.078982	7.821051	31.667946	7.821051	2.370453E+13	1.569899E-5	63698.351355	15.365967	1.060441	0	0
37.432925	0.729675	0.359765	33.982559	7.876389	31.552069	7.876389	2.226981E+13	1.556142E-5	64261.485923	15.335108	1.059808	0	0
30.281975	8.3308	0.312968	33.888324	7.927649	31.439661	7.927649	2.095146E+13	1.542758E-5	64818.978329	15.332333	1.058858	0	0
37.829329	0	0	33.794466	7.975657	31.328613	7.975657	1.971583E+13	1.528775E-5	65411.858004	15.373899	1.056167	0	0
0	0	0	33.701783	8.021482	31.219418	8.021482	1.856711E+13	1.51648E-5	65942.169411	15.320164	1.056009	0	0
0	0	0	33.608626	8.064766	31.110498	8.064766	1.747985E+13	1.503407E-5	66515.597478	15.371412	1.053397	0	0
0	0	0	33.51627	8.105703	31.003101	8.105703	1.646472E+13	1.490893E-5	67073.907678	15.311825	1.052962	0	0
0	0	0	33.424208	8.144633	30.896604	8.144633	1.551141E+13	1.478849E-5	67620.146429	15.34214	1.050825	0	0
0	0	0	33.332163	8.181036	30.790887	8.181036	1.46134E+13	1.465715E-5	68226.101313	15.337549	1.048728	0	0
0	0	0	33.240999	8.215826	30.686555	8.215826	1.377519E+13	1.45393E-5	68779.093665	15.312496	1.048095	0	0
0	0	0	33.149542	8.248231	30.582643	8.248231	1.298253E+13	1.440465E-5	69422.036035	15.371213	1.044652	0	0
0	0	0	33.058754	8.279318	30.479811	8.279318	1.224075E+13	1.42836E-5	70010.358506	15.313394	1.044335	0	0
0	0	0	32.967868	8.308545	30.377439	8.308545	1.154058E+13	1.415442E-5	70649.324566	15.37271	1.041486	0	0
0	0	0	32.879203	8.336098	30.277854	8.336098	1.08961E+13	1.404E-5	71225.089537	15.317697	1.040734	0	0
0	0	0	32.790261	8.361987	30.178488	8.361987	1.028574E+13	1.391491E-5	71865.376349	15.352185	1.038677	0	0
0	0	0	32.701417	8.386462	30.07965	8.386462	9.71015E+12	1.378666E-5	72533.904657	15.36376	1.036223	0	0
0	0	0	32.613929	8.409787	29.98255	8.409787	9.174809E+12	1.367169E-5	73143.83325	15.337219	1.03559	0	0
0	0	0	32.528401	8.43162	29.887916	8.43162	8.679984E+12	1.356306E-5	73729.6852	15.380841	1.03278	0	0
0	0	0	32.441958	8.452094	29.792758	8.452094	8.206961E+12	1.343642E-5	74424.562023	15.32148	1.032424	0	0
0	0	0	32.355515	8.47196	29.697779	8.47196	7.759699E+12	1.332152E-5	75066.531676	15.368854	1.029971	0	0
0	0	0	32.270183	8.490697	29.604284	8.490697	7.342084E+12	1.321003E-5	75700.05359	15.33136	1.028507	0	0
0	0	0	32.184165	8.508339	29.510419	8.508339	6.943841E+12	1.308531E-5	76421.571877	15.356394	1.026924	0	0
0	0	0	32.098114	8.525241	29.416743	8.525241	6.56705E+12	1.296358E-5	77139.196794	15.364289	1.024668	0	0
0	0	0	32.012373	8.541162	29.323686	8.541162	6.211944E+12	1.283747E-5	77896.972405	15.333006	1.024154	0	0
0	0	0	31.925767	8.556225	29.230002	8.556225	5.872733E+12	1.269975E-5	78741.716785	15.379585	1.021265	0	0
0	0	0	31.838785	8.57079	29.13608	8.57079	5.550685E+12	1.256733E-5	79571.376054	15.307787	1.021344	0	0
0	0	0	31.754466	8.584344	29.045204	8.584344	5.255355E+12	1.244273E-5	80368.227712	15.37881	1.01798	0	0
0	0	0	31.667614	8.597684	28.951788	8.597684	4.967569E+12	1.231561E-5	81197.79565	15.328076	1.01707	0	0
0	0	0	31.582707	8.609975	28.860693	8.609975	4.70146E+12	1.218488E-5	82068.911444	15.365513	1.014656	0	0
0	0	0	31.499466	8.622075	28.771363	8.622075	4.45441E+12	1.208458E-5	82750.115185	15.356419	1.012797	0	0
0	0	0	31.414738	8.633209	28.680806	8.633209	4.216272E+12	1.195296E-5	83661.285668	15.332746	1.011728	0	0
0	0	0	31.33099	8.644263	28.591275	8.644263	3.993399E+12	1.185026E-5	84386.343832	15.376907	1.008681	0	0
0	0	0	31.247373	8.654779	28.502043	8.654779	3.782623E+12	1.174711E-5	85127.322142	15.322179	1.007731	0	0
0	0	0	31.162155	8.664573	28.41139	8.664573	3.579252E+12	1.161909E-5	86065.257143	15.380022	1.004843	0	0
0	0	0	31.077803	8.673516	28.321892	8.673516	3.388713E+12	1.147521E-5	87144.358524	15.34348	1.003141	0	0
0	0	0	30.993909	8.682712	28.232779	8.682712	3.209267E+12	1.137212E-5	87934.384944	15.359025	1.001637	0	0
0	0	0	30.909148	8.690969	28.143069	8.690969	3.037615E+12	1.123215E-5	89030.164547	15.364053	0.999105	0	0
0	0	0	30.825172	8.699078	28.054209	8.699078	2.876605E+12	1.111147E-5	89997.057275	15.327894	0.99859	0	0
0	0	0	30.740902	8.706902	27.965132	8.706902	2.723607E+12	1.099394E-5	90959.222188	15.380851	0.995187	0	0
0	0	0	30.657138	8.714589	27.876616	8.714589	2.579593E+12	1.089428E-5	91791.306449	15.32537	0.994871	0	0
0	0	0	30.572426	8.721426	27.787393	8.721426	2.441691E+12	1.075434E-5	92985.720845	15.393853	0.991428	0	0
0	0	0	30.487045	8.728527	27.697395	8.728527	2.310156E+12	1.064954E-5	93900.734329	15.345509	0.990478	0	0
0	0	0	30.40168	8.735051	27.607594	8.735051	2.185729E+12	1.052709E-5	94992.978803	15.369715	0.988539	0	0
0	0	0	30.316511	8.741234	27.5181	8.741234	2.068265E+12	1.040273E-5	96128.609645	15.366171	0.986679	0	0
0	0	0	30.229562	8.747114	27.42687	8.747114	1.954855E+12	1.026484E-5	97419.960684	15.329852	0.985848	0	0
0	0	0	30.143397	8.752845	27.33649	8.752845	1.848602E+12	1.014179E-5	98601.893873	15.383249	0.982722	0	0
0	0	0	30.058228	8.757941	27.247335	8.757941	1.749253E+12	9.994934E-6	100050.680825	15.334245	0.981574	0	0
0	0	0	29.97301	8.763203	27.158074	8.763203	1.65519E+12	9.880748E-6	101206.907836	15.377018	0.979161	0	0
0	0	0	29.886518	8.768426	27.067513	8.768426	1.564891E+12	9.775954E-6	102291.804745	15.343177	0.977657	0	0
0	0	0	29.799618	8.772973	26.976746	8.772973	1.479126E+12	9.630001E-6	103842.144695	15.347874	0.976034	0	0
0	0	0	29.714645	8.777432	26.887987	8.777432	1.39981E+12	9.506834E-6	105187.484938	15.368822	0.973383	0	0
0	0	0	29.627876	8.781901	26.797376	8.781901	1.323204E+12	9.392715E-6	106465.487958	15.328341	0.972671	0	0
0	0	0	29.540616	8.785705	26.706472	8.785705	1.250392E+12	9.231053E-6	108329.999356	15.387974	0.969149	0	0
0	0	0	29.452621	8.789763	26.61473	8.789763	1.181023E+12	9.107697E-6	109797.245051	15.331286	0.968318	0	0
0	0	0	29.36461	8.793557	26.523053	8.793557	1.11549E+12	8.976563E-6	111401.211323	15.376096	0.965627	0	0
0	0	0	29.274884	8.796922	26.429751	8.796922	1.052422E+12	8.808905E-6	113521.486288	15.347926	0.964202	0	0
0	0	0	29.184848	8.800365	26.336103	8.800365	9.92719E+11	8.664946E-6	115407.530764	15.346242	0.962501	0	0
0	0	0	29.094272	8.80369	26.241936	8.80369	9.360756E+11	8.522991E-6	117329.708911	15.377282	0.959691	0	0
0	0	0	29.003599	8.807395	26.147544	8.807395	8.826079E+11	8.441951E-6	118456.030462	15.334146	0.958781	0	0
0	0	0	28.912713	8.81025	26.053207	8.81025	8.320794E+11	8.280906E-6	120759.737707	15.387105	0.955615	0	0
0	0	0	28.821272	8.813145	25.958286	8.813145	7.841609E+11	8.137991E-6	122880.444951	15.345082	0.95427	0	0
0	0	0	28.729209	8.815843	25.862788	8.815843	7.387043E+11	7.984866E-6	125236.909977	15.362606	0.952727	0	0
0	0	0	28.635596	8.818503	25.765706	8.818503	6.951825E+11	7.835381E-6	127626.207232	15.363475	0.950313	0	0
0	0	0	28.54141	8.821143	25.668042	8.821143	6.539822E+11	7.697352E-6	129914.799579	15.335202	0.949442	0	0
0	0	0	28.445787	8.823918	25.568854	8.823918	6.146501E+11	7.587604E-6	131793.90364	15.389778	0.946079	0	0
0	0	0	28.348612	8.826011	25.468293	8.826011	5.771022E+11	7.396294E-6	135202.837886	15.331316	0.945564	0	0
0	0	0	28.251634	8.827732	25.368053	8.827732	5.419169E+11	7.170761E-6	139455.215362	15.390054	0.942675	0	0
0	0	0	28.15361	8.829942	25.266577	8.829942	5.085317E+11	7.021585E-6	142417.98879	15.340283	0.941647	0	0
0	0	0	28.048251	8.832475	25.157456	8.832475	4.749382E+11	6.901669E-6	144892.493017	15.361016	0.939985	0	0
0	0	0	27.945719	8.834734	25.051328	8.834734	4.443777E+11	6.774405E-6	147614.446117	15.366453	0.937531	0	0
0	0	0	27.842337	8.83628	24.944559	8.83628	4.155545E+11	6.555105E-6	152552.866647	15.338462	0.936581	0	0
0	0	0	27.74018	8.838001	24.838991	8.838001	3.889098E+11	6.381689E-6	156698.332902	15.39438	0.933336	0	0
0	0	0	27.636651	8.839615	24.732047	8.839615	3.636496E+11	6.201191E-6	161259.338803	15.327283	0.932941	0	0
0	0	0	27.532501	8.841824	24.624267	8.841824	3.398931E+11	6.124869E-6	163268.810672	15.377961	0.930685	0	0
0	0	0	27.426914	8.843457	24.515199	8.843457	3.173925E+11	5.969736E-6	167511.586474	15.347218	0.928865	0	0
0	0	0	27.322356	8.844993	24.407219	8.844993	2.965793E+11	5.817611E-6	171891.855053	15.345352	0.927876	0	0
0	0	0	27.21788	8.846303	24.299397	8.846303	2.771456E+11	5.643079E-6	177208.218646	15.375644	0.924472	0	0
0	0	0	27.113028	8.847613	24.191187	8.847613	2.589222E+11	5.480337E-6	182470.526751	15.321734	0.924314	0	0
0	0	0	27.007065	8.849128	24.081767	8.849128	2.417227E+11	5.361247E-6	186523.785397	15.392531	0.920594	0	0
0	0	0	26.900269	8.850213	23.971632	8.850213	2.255439E+11	5.180073E-6	193047.471126	15.316884	0.920673	0	0
0	0	0	26.792428	8.851679	23.860296	8.851679	2.103052E+11	5.073476E-6	197103.536609	15.382492	0.917547	0	0
0	0	0	26.683068	8.852472	23.74762	8.852472	1.95903E+11	4.858354E-6	205831.01196	15.331016	0.916677	0	0
0	0	0	26.571159	8.853938	23.632101	8.853938	1.821856E+11	4.76499E-6	209864.026322	15.351957	0.914619	0	0
0	0	0	26.457421	8.854808	23.514899	8.854808	1.692278E+11	4.574452E-6	218605.425443	15.361574	0.912126	0	0
0	0	0	26.343291	8.855844	23.397237	8.855844	1.571516E+11	4.424595E-6	226009.397176	15.328212	0.911374	0	0
0	0	0	26.227021	8.857251	23.277252	8.857251	1.457348E+11	4.348613E-6	229958.379834	15.388452	0.908327	0	0
0	0	0	26.108824	8.858336	23.155392	8.858336	1.349784E+11	4.222401E-6	236832.07403	15.316016	0.908011	0	0
0	0	0	25.988535	8.859108	23.031485	8.859108	1.248466E+11	4.0447E-6	247237.111517	15.375555	0.90528	0	0
0	0	0	25.866663	8.859734	22.905999	8.859734	1.153566E+11	3.848439E-6	259845.613203	15.331826	0.904014	0	0
0	0	0	25.741556	8.860956	22.776988	8.860956	1.063646E+11	3.767163E-6	265451.759853	15.35033	0.902273	0	0
0	0	0	25.614162	8.861699	22.645786	8.861699	9.792809E+10	3.603474E-6	277509.946118	15.368352	0.899542	0	0
0	0	0	25.484138	8.862539	22.511847	8.862539	9.000708E+10	3.464705E-6	288624.885569	15.322695	0.899423	0	0
0	0	0	25.351681	8.863272	22.375442	8.863272	8.259626E+10	3.312642E-6	301873.809247	15.382803	0.896179	0	0
0	0	0	25.216234	8.864142	22.235917	8.864142	7.564878E+10	3.19269E-6	313215.545708	15.301392	0.896139	0	0
0	0	0	25.078745	8.864602	22.094431	8.864602	6.919396E+10	3.003287E-6	332968.498607	15.379455	0.892617	0	0
0	0	0	24.939982	8.865501	21.951486	8.865501	6.323762E+10	2.906321E-6	344077.574499	15.316085	0.891905	0	0
