Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.534608	8.267808	0	37.493829	-0.382501	37.550665	-0.382501	2.139439E+14	1.735802E-5	57610.165364	5.92469E+16	2.561455E+13	1.468949E-5	12.159833	1.15546	0	0
4.47159	8.269204	-0.567327	37.375158	0.215758	37.338946	0.215758	1.983372E+14	1.72874E-5	57845.52458	5.91737E+16	0	0	12.104886	1.155213	0	0
4.551896	8.269398	-0.577062	37.255817	0.775849	37.110582	0.775849	1.837741E+14	1.721555E-5	58086.947772	5.910541E+16	0	0	12.136612	1.149822	0	0
5.104772	8.268765	-0.643901	37.134614	1.304538	36.864765	1.304538	1.700635E+14	1.714076E-5	58340.432315	5.90411E+16	0	0	12.187981	1.146008	0	0
6.80865	8.188167	2.748362	37.015617	1.785534	36.611808	1.785534	1.575858E+14	1.706168E-5	58610.819783	5.898259E+16	0	0	12.171317	1.143268	0	0
9.565201	7.602217	3.103957	36.903839	2.20541	36.365088	2.20541	1.466908E+14	1.698207E-5	58885.609827	5.893149E+16	0	0	12.180563	1.13904	0	0
12.320325	7.491112	2.817356	36.791897	2.600495	36.109417	2.600495	1.365267E+14	1.690724E-5	59146.24279	5.888382E+16	0	0	12.200926	1.131068	0	0
15.032738	7.474644	2.465084	36.678045	2.973781	35.842683	2.973781	1.269041E+14	1.68237E-5	59439.928916	5.883869E+16	0	0	12.242783	1.122476	0	0
17.743842	7.439394	2.1221	36.565663	3.322577	35.571755	3.322577	1.180649E+14	1.675584E-5	59680.650173	5.879724E+16	0	0	12.287644	1.115373	0	0
20.42791	7.271934	1.844786	36.455959	3.638791	35.302713	3.638791	1.100255E+14	1.668155E-5	59946.433451	5.875953E+16	0	0	12.298961	1.10713	0	0
23.132651	7.212794	1.49846	36.3449	3.934332	35.027115	3.934332	1.024397E+14	1.659067E-5	60274.841141	5.872396E+16	0	0	12.348585	1.096802	0	0
23.866724	7.203902	1.400474	36.233433	4.210699	34.746951	4.210699	9.534786E+13	1.649401E-5	60628.041661	5.86907E+16	0	0	12.402964	1.086004	0	0
24.587962	7.202694	1.300853	36.121165	4.469628	34.461884	4.469628	8.869785E+13	1.638965E-5	61014.117937	5.865951E+16	0	0	12.448105	1.075914	0	0
25.296105	7.197902	1.204443	36.012131	4.707813	34.181169	4.707813	8.268078E+13	1.629999E-5	61349.733275	5.863129E+16	0	0	12.495928	1.066374	0	0
25.991986	7.197231	1.108023	35.90509	4.925986	33.903752	4.925986	7.716849E+13	1.620648E-5	61703.69736	5.860544E+16	0	0	12.532701	1.055974	0	0
26.628189	7.19517	1.01982	35.799258	5.130506	33.626758	5.130506	7.207778E+13	1.612416E-5	62018.723349	5.858156E+16	0	0	12.581205	1.045024	0	0
27.305354	7.192063	0.926812	35.693393	5.322535	33.348185	5.322535	6.731969E+13	1.604164E-5	62337.773563	5.855925E+16	0	0	12.636694	1.034528	0	0
28.0049	7.185525	0.831783	35.588427	5.500742	33.071045	5.500742	6.291061E+13	1.595646E-5	62670.553574	5.853857E+16	0	0	12.676958	1.02451	0	0
28.680532	7.142765	0.751758	35.484588	5.665863	32.796211	5.665863	5.883174E+13	1.586886E-5	63016.5009	5.851944E+16	0	0	12.724044	1.014476	0	0
29.358849	7.046794	0.685062	35.380977	5.819202	32.522048	5.819202	5.50243E+13	1.57713E-5	63406.294827	5.850158E+16	0	0	12.768824	1.004076	0	0
30.032854	6.87888	0.635691	35.276076	5.963741	32.244664	5.963741	5.141938E+13	1.56626E-5	63846.364747	5.848468E+16	0	0	12.81469	0.993843	0	0
30.681234	6.629191	0.604065	35.174377	6.098803	31.973709	6.098803	4.814924E+13	1.557977E-5	64185.799063	5.846934E+16	0	0	12.853558	0.984024	0	0
31.340222	6.260541	0.588969	35.073886	6.223169	31.706516	6.223169	4.512157E+13	1.548815E-5	64565.480302	5.845514E+16	0	0	12.874889	0.974413	0	0
31.981323	5.836854	0.577424	34.973951	6.339406	31.440927	6.339406	4.229882E+13	1.53944E-5	64958.678935	5.84419E+16	0	0	12.885786	0.964363	0	0
32.621332	5.35623	0.566489	34.875355	6.448841	31.178211	6.448841	3.968647E+13	1.531263E-5	65305.571441	5.842965E+16	0	0	12.883696	0.954233	0	0
33.258922	4.824157	0.55624	34.77738	6.550994	30.917566	6.550994	3.724992E+13	1.522769E-5	65669.844955	5.841823E+16	0	0	12.876181	0.944184	0	0
33.875151	4.25266	0.545378	34.680319	6.646513	30.65959	6.646513	3.498324E+13	1.514363E-5	66034.375511	5.840759E+16	0	0	12.864884	0.934596	0	0
34.480043	3.639703	0.53864	34.583553	6.736168	30.402861	6.736168	3.286038E+13	1.505733E-5	66412.835707	5.839764E+16	0	0	12.850865	0.925334	0	0
35.078528	2.985362	0.536616	34.487685	6.819279	30.149373	6.819279	3.088397E+13	1.496367E-5	66828.53986	5.838837E+16	0	0	12.829141	0.915898	0	0
35.610445	2.367823	0.536231	34.391457	6.897094	29.895992	6.897094	2.90194E+13	1.485845E-5	67301.767343	5.837963E+16	0	0	12.8077	0.906804	0	0
36.092742	1.783848	0.533774	34.29706	6.97055	29.646989	6.97055	2.729947E+13	1.47693E-5	67708.036502	5.837156E+16	0	0	12.790224	0.89806	0	0
36.512743	1.251726	0.528864	34.20441	7.039911	29.402274	7.039911	2.571034E+13	1.469528E-5	68049.053859	5.836411E+16	0	0	12.774421	0.888926	0	0
