Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.758934	8.375117	0	37.460454	-0.505645	37.672352	-0.505645	2.094365E+14	1.655138E-5	60417.857764	5.922576E+16	1.029271E+13	1.211418E-5	13.74208	1.155192	0	0
4.690402	8.382505	-0.6181	37.337602	0.114885	37.289371	0.114885	1.936357E+14	1.645225E-5	60781.910089	5.915165E+16	0	0	13.71617	1.151576	0	0
4.862915	8.381949	-0.635417	37.216039	0.690985	36.925443	0.690985	1.791583E+14	1.636343E-5	61111.844574	5.908376E+16	0	0	13.736427	1.146033	0	0
5.162312	8.381686	-0.669691	37.095947	1.215143	36.584025	1.215143	1.659056E+14	1.626229E-5	61491.905113	5.90216E+16	0	0	13.72063	1.143548	0	0
6.616824	8.375834	-0.826817	36.97708	1.69628	36.261233	1.69628	1.537422E+14	1.615565E-5	61897.812247	5.896456E+16	0	0	13.671654	1.140673	0	0
9.37602	8.364057	1.803461	36.860581	2.136678	35.957365	2.136678	1.426773E+14	1.605134E-5	62300.07372	5.891267E+16	0	0	13.701767	1.135273	0	0
12.174917	8.354289	1.676203	36.744981	2.548375	35.665937	2.548375	1.324769E+14	1.595683E-5	62669.05719	5.886483E+16	0	0	13.723589	1.127476	0	0
14.889566	8.34109	1.486844	36.629544	2.934593	35.384902	2.934593	1.230117E+14	1.586857E-5	63017.614183	5.882044E+16	0	0	13.74059	1.12022	0	0
17.590578	8.307286	1.341544	36.513503	3.296762	35.112923	3.296762	1.141724E+14	1.577866E-5	63376.73109	5.877898E+16	0	0	13.755478	1.114207	0	0
20.301706	8.300097	1.04089	36.40019	3.62334	34.858366	3.62334	1.06149E+14	1.567804E-5	63783.444106	5.874135E+16	0	0	13.752637	1.106418	0	0
22.999965	8.292935	0.7387	36.28552	3.93155	34.609798	3.93155	9.859902E+13	1.557303E-5	64213.582532	5.870594E+16	0	0	13.766493	1.096781	0	0
23.715708	8.287573	0.667928	36.170508	4.218477	34.369534	4.218477	9.156194E+13	1.545983E-5	64683.755827	5.867294E+16	0	0	13.780736	1.086969	0	0
24.438345	8.27834	0.605374	36.056427	4.483851	34.13904	4.483851	8.507476E+13	1.534412E-5	65171.527128	5.864252E+16	0	0	13.784488	1.07789	0	0
25.164886	8.26799	0.541873	35.943816	4.73021	33.917835	4.73021	7.911928E+13	1.523449E-5	65640.511751	5.861459E+16	0	0	13.79243	1.068492	0	0
25.879467	8.246631	0.498819	35.832561	4.958788	33.705316	4.958788	7.364263E+13	1.51287E-5	66099.510817	5.85889E+16	0	0	13.80372	1.057948	0	0
26.602408	8.213518	0.465303	35.723478	5.169103	33.502575	5.169103	6.863916E+13	1.502584E-5	66552.021683	5.856544E+16	0	0	13.821515	1.047076	0	0
27.313996	8.160089	0.445771	35.614543	5.367099	33.305007	5.367099	6.397998E+13	1.49278E-5	66989.100162	5.854359E+16	0	0	13.833825	1.036954	0	0
28.027987	8.060904	0.44823	35.505885	5.551208	33.113449	5.551208	5.964627E+13	1.482397E-5	67458.286022	5.852326E+16	0	0	13.836376	1.026887	0	0
28.69418	7.934684	0.447581	35.398109	5.721887	32.928356	5.721887	5.563648E+13	1.471692E-5	67949.003139	5.850446E+16	0	0	13.84317	1.01639	0	0
29.297162	7.78011	0.447591	35.28883	5.881739	32.746163	5.881739	5.184479E+13	1.459316E-5	68525.265933	5.848667E+16	0	0	13.845985	1.005678	0	0
29.961095	7.56025	0.445843	35.180025	6.031504	32.568616	6.031504	4.832531E+13	1.447174E-5	69100.17695	5.847017E+16	0	0	13.84958	0.995348	0	0
30.602047	7.293103	0.441249	35.074177	6.170535	32.398592	6.170535	4.513005E+13	1.436718E-5	69603.060947	5.845518E+16	0	0	13.861195	0.985313	0	0
31.27246	6.947653	0.435931	34.970354	6.298389	32.235345	6.298389	4.220058E+13	1.426169E-5	70117.932759	5.844144E+16	0	0	13.870461	0.975151	0	0
31.916381	6.538596	0.432082	34.867625	6.417355	32.076939	6.417355	3.94886E+13	1.415611E-5	70640.849752	5.842872E+16	0	0	13.880589	0.964837	0	0
32.543276	6.058419	0.429225	34.765256	6.528878	31.922	6.528878	3.695898E+13	1.40496E-5	71176.38008	5.841686E+16	0	0	13.892323	0.95489	0	0
33.166882	5.509428	0.42593	34.663802	6.633766	31.770766	6.633766	3.461143E+13	1.394972E-5	71686.044791	5.840585E+16	0	0	13.893246	0.945468	0	0
33.799097	4.88279	0.420939	34.562151	6.732115	31.622054	6.732115	3.24085E+13	1.384373E-5	72234.881881	5.839552E+16	0	0	13.89012	0.936285	0	0
34.410714	4.201718	0.41549	34.46166	6.823904	31.477298	6.823904	3.036822E+13	1.373979E-5	72781.305847	5.838595E+16	0	0	13.890885	0.926911	0	0
35.00183	3.47151	0.415205	34.360794	6.910579	31.334277	6.910579	2.844918E+13	1.363331E-5	73349.77124	5.837695E+16	0	0	13.897221	0.917441	0	0
35.564554	2.714231	0.421889	34.258915	6.991575	31.192585	6.991575	2.663368E+13	1.351049E-5	74016.575935	5.836844E+16	0	0	13.899943	0.908131	0	0
36.103368	1.948309	0.429597	34.159976	7.067975	31.055877	7.067975	2.498132E+13	1.341297E-5	74554.71568	5.836069E+16	0	0	13.902679	0.899251	0	0
36.582561	1.242046	0.431515	34.061429	7.13938	30.921683	7.13938	2.343722E+13	1.331105E-5	75125.570477	5.835345E+16	0	0	13.91891	0.889949	0	0
36.92061	0.71218	0.435013	33.963911	7.206047	30.790564	7.206047	2.200305E+13	1.320914E-5	75705.155299	5.834672E+16	0	0	13.923951	0.881092	0	0
28.86365	7.893535	0.448527	33.867276	7.269678	30.661625	7.269678	2.06683E+13	1.312207E-5	76207.482803	5.834046E+16	0	0	13.925427	0.872427	0	0
37.361408	0	0	33.772567	7.331875	30.535259	7.331875	1.943865E+13	1.307716E-5	76469.230746	5.833469E+16	0	0	13.911703	0.864001	0	0
0	0	0	33.677908	7.386606	30.412173	7.386606	1.828263E+13	1.298043E-5	77039.035896	5.832927E+16	0	0	13.903239	0.85567	0	0
0	0	0	33.584441	7.438999	30.291305	7.438999	1.720855E+13	1.290166E-5	77509.391089	5.832423E+16	0	0	13.900622	0.846965	0	0
0	0	0	33.490926	7.487735	30.171947	7.487735	1.619697E+13	1.281019E-5	78062.879434	5.831949E+16	0	0	13.896563	0.838619	0	0
0	0	0	33.399288	7.53286	30.056101	7.53286	1.526335E+13	1.271854E-5	78625.357055	5.831511E+16	0	0	13.889834	0.830511	0	0
0	0	0	33.30574	7.575631	29.939251	7.575631	1.436568E+13	1.261095E-5	79296.196793	5.83109E+16	0	0	13.890471	0.822364	0	0
0	0	0	33.214887	7.615781	29.826339	7.615781	1.354439E+13	1.251866E-5	79880.76263	5.830705E+16	0	0	13.888018	0.814519	0	0
0	0	0	33.124932	7.653407	29.715448	7.653407	1.277743E+13	1.242548E-5	80479.819777	5.830345E+16	0	0	13.879613	0.806841	0	0
0	0	0	33.036104	7.690115	29.606104	7.690115	1.206267E+13	1.235903E-5	80912.508852	5.83001E+16	0	0	13.861273	0.799363	0	0
0	0	0	32.947064	7.724222	29.49766	7.724222	1.138629E+13	1.227733E-5	81450.932222	5.829693E+16	0	0	13.852446	0.791741	0	0
0	0	0	32.857959	7.756044	29.390132	7.756044	1.074735E+13	1.218406E-5	82074.44581	5.829393E+16	0	0	13.844057	0.784175	0	0
0	0	0	32.769343	7.786142	29.283855	7.786142	1.014746E+13	1.209185E-5	82700.326258	5.829112E+16	0	0	13.834994	0.776784	0	0
0	0	0	32.681005	7.814771	29.178494	7.814771	9.582748E+12	1.200234E-5	83317.054867	5.828847E+16	0	0	13.832017	0.769322	0	0
0	0	0	32.593746	7.84157	29.075053	7.84157	9.055768E+12	1.1912E-5	83948.949483	5.8286E+16	0	0	13.827652	0.761971	0	0
0	0	0	32.505833	7.867729	28.971187	7.867729	8.554124E+12	1.183226E-5	84514.705359	5.828365E+16	0	0	13.822432	0.754843	0	0
0	0	0	32.41872	7.89221	28.868886	7.89221	8.084444E+12	1.174949E-5	85110.063083	5.828144E+16	0	0	13.807024	0.747906	0	0
0	0	0	32.329108	7.914693	28.764839	7.914693	7.628167E+12	1.162773E-5	86001.278137	5.82793E+16	0	0	13.7911	0.740754	0	0
0	0	0	32.242388	7.936635	28.664043	7.936635	7.211132E+12	1.154207E-5	86639.550157	5.827735E+16	0	0	13.768759	0.733689	0	0
0	0	0	32.156468	7.957834	28.564398	7.957834	6.820422E+12	1.147132E-5	87173.94312	5.827551E+16	0	0	13.757955	0.726537	0	0
0	0	0	32.069698	7.977311	28.464619	7.977311	6.447318E+12	1.137471E-5	87914.311337	5.827377E+16	0	0	13.744405	0.719704	0	0
0	0	0	31.983925	7.996065	28.366191	7.996065	6.098554E+12	1.129172E-5	88560.485833	5.827213E+16	0	0	13.730532	0.71299	0	0
0	0	0	31.897123	8.013581	28.267224	8.013581	5.764799E+12	1.119089E-5	89358.412841	5.827056E+16	0	0	13.722673	0.706268	0	0
0	0	0	31.812362	8.030392	28.170701	8.030392	5.456521E+12	1.1109E-5	90017.091725	5.826912E+16	0	0	13.70617	0.69969	0	0
0	0	0	31.730248	8.046139	28.077419	8.046139	5.173591E+12	1.103717E-5	90602.898533	5.826779E+16	0	0	13.685232	0.693111	0	0
0	0	0	31.649245	8.061356	27.985528	8.061356	4.90886E+12	1.098031E-5	91072.126266	5.826655E+16	0	0	13.664517	0.686517	0	0
0	0	0	31.564876	8.075904	27.890395	8.075904	4.647518E+12	1.090118E-5	91733.211769	5.826532E+16	0	0	13.638195	0.680153	0	0
0	0	0	31.478188	8.089501	27.793247	8.089501	4.393471E+12	1.079587E-5	92627.981197	5.826413E+16	0	0	13.616767	0.673686	0	0
0	0	0	31.393983	8.10187	27.69925	8.10187	4.16E+12	1.068488E-5	93590.162287	5.826304E+16	0	0	13.602408	0.667299	0	0
0	0	0	31.310873	8.113996	27.6065	8.113996	3.941727E+12	1.059443E-5	94389.187928	5.826201E+16	0	0	13.589037	0.66092	0	0
0	0	0	31.228268	8.125619	27.514499	8.125619	3.736131E+12	1.050962E-5	95150.89727	5.826105E+16	0	0	13.572356	0.6547	0	0
0	0	0	31.145272	8.137129	27.422127	8.137129	3.540355E+12	1.044056E-5	95780.324213	5.826013E+16	0	0	13.551271	0.648575	0	0
0	0	0	31.063288	8.147302	27.331417	8.147302	3.357039E+12	1.034207E-5	96692.424627	5.825927E+16	0	0	13.530219	0.642411	0	0
0	0	0	30.982007	8.157632	27.241364	8.157632	3.184663E+12	1.027702E-5	97304.45442	5.825846E+16	0	0	13.512892	0.63584	0	0
0	0	0	30.899991	8.166664	27.151124	8.166664	3.019696E+12	1.016689E-5	98358.465162	5.825769E+16	0	0	13.48676	0.629883	0	0
0	0	0	30.818155	8.175547	27.061133	8.175547	2.863606E+12	1.007048E-5	99300.16006	5.825696E+16	0	0	13.466673	0.623973	0	0
0	0	0	30.73769	8.184204	26.972676	8.184204	2.718001E+12	9.991898E-6	100081.083237	5.825628E+16	0	0	13.454946	0.618008	0	0
0	0	0	30.656425	8.192537	26.883521	8.192537	2.578458E+12	9.911523E-6	100892.669702	5.825562E+16	0	0	13.431215	0.612457	0	0
0	0	0	30.573298	8.200508	26.792569	8.200508	2.443126E+12	9.820017E-6	101832.822141	5.825499E+16	0	0	13.412404	0.606842	0	0
0	0	0	30.491544	8.208054	26.703246	8.208054	2.316957E+12	9.733512E-6	102737.84113	5.825439E+16	0	0	13.38197	0.601243	0	0
0	0	0	30.409495	8.215146	26.613816	8.215146	2.196883E+12	9.638234E-6	103753.451174	5.825383E+16	0	0	13.355433	0.595644	0	0
0	0	0	30.328949	8.22205	26.526044	8.22205	2.085062E+12	9.560294E-6	104599.289721	5.825331E+16	0	0	13.324955	0.589822	0	0
0	0	0	30.248321	8.228528	26.438377	8.228528	1.978827E+12	9.474144E-6	105550.436848	5.825281E+16	0	0	13.296159	0.584287	0	0
0	0	0	30.167219	8.234458	26.35046	8.234458	1.877427E+12	9.367609E-6	106750.830243	5.825233E+16	0	0	13.270579	0.578903	0	0
0	0	0	30.086657	8.240341	26.263124	8.240341	1.781845E+12	9.278798E-6	107772.584663	5.825188E+16	0	0	13.243418	0.57348	0	0
0	0	0	30.005523	8.245873	26.175347	8.245873	1.690502E+12	9.179886E-6	108933.813401	5.825146E+16	0	0	13.218908	0.56804	0	0
0	0	0	29.925107	8.251467	26.088289	8.251467	1.604588E+12	9.107594E-6	109798.486911	5.825105E+16	0	0	13.192779	0.5628	0	0
0	0	0	29.845182	8.256812	26.001856	8.256812	1.523525E+12	9.038132E-6	110642.329017	5.825067E+16	0	0	13.159305	0.557599	0	0
0	0	0	29.762954	8.26172	25.913203	8.26172	1.444397E+12	8.939613E-6	111861.667567	5.82503E+16	0	0	13.121144	0.552534	0	0
0	0	0	29.682848	8.266377	25.826893	8.266377	1.371265E+12	8.850462E-6	112988.450533	5.824996E+16	0	0	13.082542	0.547644	0	0
0	0	0	29.601404	8.270822	25.73927	8.270822	1.300705E+12	8.752824E-6	114248.837224	5.824963E+16	0	0	13.051883	0.542554	0	0
0	0	0	29.517918	8.275081	25.649584	8.275081	1.232143E+12	8.644464E-6	115680.972873	5.824931E+16	0	0	13.021807	0.537672	0	0
0	0	0	29.43711	8.279053	25.562843	8.279053	1.169224E+12	8.542177E-6	117066.171874	5.824901E+16	0	0	12.989824	0.532846	0	0
0	0	0	29.355976	8.2832	25.475672	8.2832	1.109283E+12	8.469956E-6	118064.3612	5.824873E+16	0	0	12.963166	0.527964	0	0
0	0	0	29.273404	8.286921	25.387188	8.286921	1.051434E+12	8.366916E-6	119518.356913	5.824846E+16	0	0	12.924048	0.523281	0	0
0	0	0	29.192254	8.290381	25.300315	8.290381	9.975203E+11	8.262063E-6	121035.15171	5.824821E+16	0	0	12.88684	0.518606	0	0
0	0	0	29.110058	8.293629	25.21244	8.293629	9.457295E+11	8.145275E-6	122770.559731	5.824796E+16	0	0	12.847269	0.513923	0	0
0	0	0	29.026212	8.296941	25.122798	8.296941	8.956684E+11	8.040941E-6	124363.55015	5.824773E+16	0	0	12.805841	0.50928	0	0
0	0	0	28.943853	8.300225	25.034728	8.300225	8.490754E+11	7.956933E-6	125676.568028	5.824751E+16	0	0	12.775579	0.504708	0	0
0	0	0	28.860922	8.303166	24.946215	8.303166	8.046075E+11	7.848448E-6	127413.722951	5.82473E+16	0	0	12.743842	0.50016	0	0
0	0	0	28.777861	8.306125	24.857554	8.306125	7.624037E+11	7.75572E-6	128937.08899	5.82471E+16	0	0	12.707535	0.495629	0	0
0	0	0	28.693672	8.308658	24.767907	8.308658	7.218856E+11	7.623404E-6	131174.988816	5.824691E+16	0	0	12.670745	0.491081	0	0
0	0	0	28.607588	8.311886	24.675938	8.311886	6.826811E+11	7.577393E-6	131971.51586	5.824673E+16	0	0	12.627353	0.486836	0	0
0	0	0	28.52255	8.313807	24.585682	8.313807	6.460435E+11	7.39547E-6	135217.911144	5.824656E+16	0	0	12.577738	0.482368	0	0
0	0	0	28.437071	8.316664	24.494518	8.316664	6.111972E+11	7.33856E-6	136266.518886	5.824639E+16	0	0	12.538227	0.477964	0	0
0	0	0	28.351608	8.318854	24.403684	8.318854	5.782365E+11	7.21301E-6	138638.379057	5.824624E+16	0	0	12.501218	0.473552	0	0
0	0	0	28.265623	8.321154	24.312246	8.321154	5.468678E+11	7.112542E-6	140596.705816	5.824609E+16	0	0	12.464607	0.46937	0	0
0	0	0	28.179262	8.323594	24.220345	8.323594	5.170747E+11	7.043468E-6	141975.517897	5.824595E+16	0	0	12.424037	0.465237	0	0
0	0	0	28.09179	8.325756	24.127407	8.325756	4.885525E+11	6.946422E-6	143959.012854	5.824582E+16	0	0	12.38539	0.461104	0	0
0	0	0	28.005118	8.327556	24.035479	8.327556	4.618433E+11	6.815262E-6	146729.4987	5.824569E+16	0	0	12.32949	0.45697	0	0
0	0	0	27.921338	8.329625	23.94646	8.329625	4.374138E+11	6.74826E-6	148186.346679	5.824558E+16	0	0	12.286124	0.452861	0	0
0	0	0	27.836463	8.331304	23.856475	8.331304	4.139825E+11	6.631489E-6	150795.704965	5.824547E+16	0	0	12.232857	0.448966	0	0
0	0	0	27.74757	8.333307	23.762111	8.333307	3.907863E+11	6.559795E-6	152443.780965	5.824536E+16	0	0	12.188045	0.444928	0	0
0	0	0	27.657811	8.3348	23.667078	8.3348	3.686828E+11	6.418036E-6	155810.904219	5.824526E+16	0	0	12.157434	0.440771	0	0
0	0	0	27.569424	8.336396	23.573437	8.336396	3.481391E+11	6.310155E-6	158474.711694	5.824516E+16	0	0	12.111088	0.436876	0	0
0	0	0	27.480074	8.338204	23.478679	8.338204	3.285347E+11	6.246584E-6	160087.504232	5.824507E+16	0	0	12.061283	0.433069	0	0
0	0	0	27.389825	8.3398	23.383078	8.3398	3.098536E+11	6.157494E-6	162403.735682	5.824498E+16	0	0	12.018658	0.429215	0	0
0	0	0	27.299249	8.340922	23.287359	8.340922	2.921728E+11	5.996762E-6	166756.666985	5.82449E+16	0	0	11.956934	0.425487	0	0
0	0	0	27.207024	8.342406	23.189731	8.342406	2.752062E+11	5.904781E-6	169354.300095	5.824482E+16	0	0	11.911417	0.421625	0	0
0	0	0	27.114276	8.343695	23.091646	8.343695	2.591369E+11	5.788138E-6	172767.143488	5.824474E+16	0	0	11.870442	0.417929	0	0
0	0	0	27.021267	8.345327	22.99312	8.345327	2.439645E+11	5.747777E-6	173980.304351	5.824467E+16	0	0	11.826343	0.41421	0	0
0	0	0	26.926117	8.346376	22.892625	8.346376	2.293619E+11	5.600813E-6	178545.505885	5.82446E+16	0	0	11.77465	0.410698	0	0
0	0	0	26.830217	8.347378	22.791361	8.347378	2.155282E+11	5.453096E-6	183382.054702	5.824454E+16	0	0	11.726636	0.407026	0	0
0	0	0	26.731784	8.348713	22.687275	8.348713	2.021966E+11	5.374555E-6	186061.922912	5.824448E+16	0	0	11.66217	0.403522	0	0
0	0	0	26.634577	8.349595	22.584694	8.349595	1.898403E+11	5.220412E-6	191555.77696	5.824442E+16	0	0	11.609569	0.399914	0	0
0	0	0	26.537467	8.350939	22.48199	8.350939	1.782505E+11	5.174323E-6	193261.99821	5.824436E+16	0	0	11.563434	0.396338	0	0
0	0	0	26.439558	8.351589	22.378781	8.351589	1.672813E+11	4.989997E-6	200400.932267	5.824431E+16	0	0	11.509873	0.392778	0	0
0	0	0	26.34039	8.3531	22.273831	8.3531	1.568591E+11	5.000262E-6	199989.509739	5.824426E+16	0	0	11.458625	0.38925	0	0
0	0	0	26.240553	8.353759	22.16859	8.353759	1.470224E+11	4.831263E-6	206985.196553	5.824422E+16	0	0	11.401335	0.385921	0	0
0	0	0	26.139147	8.354612	22.061606	8.354612	1.376624E+11	4.711949E-6	212226.393246	5.824417E+16	0	0	11.338631	0.382488	0	0
0	0	0	26.037791	8.355503	21.954654	8.355503	1.289024E+11	4.61237E-6	216808.27046	5.824413E+16	0	0	11.290724	0.378976	0	0
0	0	0	25.934719	8.356615	21.845789	8.356615	1.205656E+11	4.573481E-6	218651.824367	5.824409E+16	0	0	11.22646	0.375599	0	0
0	0	0	25.829018	8.357033	21.7345	8.357033	1.125758E+11	4.369043E-6	228883.097676	5.824406E+16	0	0	11.170704	0.37223	0	0
0	0	0	25.722271	8.357988	21.621848	8.357988	1.050442E+11	4.304048E-6	232339.408664	5.824402E+16	0	0	11.128924	0.368837	0	0
0	0	0	25.615247	8.358517	21.509113	8.358517	9.799882E+10	4.143297E-6	241353.708167	5.824399E+16	0	0	11.068262	0.36554	0	0
0	0	0	25.506458	8.359323	21.394386	8.359323	9.132141E+10	4.058191E-6	246415.195345	5.824396E+16	0	0	11.001916	0.362235	0	0
0	0	0	25.395301	8.359926	21.277269	8.359926	8.496833E+10	3.925714E-6	254730.759173	5.824393E+16	0	0	10.942302	0.359025	0	0
0	0	0	25.281334	8.360575	21.157175	8.360575	7.891326E+10	3.808714E-6	262555.785571	5.82439E+16	0	0	10.876942	0.355744	0	0
0	0	0	25.166322	8.360715	21.036234	8.360715	7.324001E+10	3.56916E-6	280177.983428	5.824387E+16	0	0	10.820928	0.352646	0	0
0	0	0	25.048516	8.36154	20.912018	8.36154	6.785156E+10	3.507519E-6	285101.843143	5.824385E+16	0	0	10.771678	0.349556	0	0
0	0	0	24.928865	8.362217	20.785935	8.362217	6.278433E+10	3.415865E-6	292751.624631	5.824382E+16	0	0	10.706252	0.346513	0	0
0	0	0	24.805032	8.362588	20.655607	8.362588	5.793815E+10	3.245577E-6	308111.581364	5.82438E+16	0	0	10.638648	0.343543	0	0
0	0	0	24.679958	8.363144	20.523882	8.363144	5.3423E+10	3.131725E-6	319312.875402	5.824378E+16	0	0	10.572301	0.340421	0	0
0	0	0	24.552335	8.363506	20.389575	8.363506	4.917835E+10	2.972739E-6	336390.063354	5.824376E+16	0	0	10.515741	0.337386	0	0
0	0	0	24.42192	8.364239	20.252147	8.364239	4.5189E+10	2.915491E-6	342995.403499	5.824374E+16	0	0	10.465789	0.334288	0	0
0	0	0	24.288041	8.364749	20.111189	8.364749	4.143009E+10	2.804452E-6	356575.839288	5.824372E+16	0	0	10.39579	0.331325	0	0
0	0	0	24.151467	8.365314	19.96737	8.365314	3.79175E+10	2.714763E-6	368356.34264	5.824371E+16	0	0	10.325029	0.328634	0	0
0	0	0	24.010548	8.365722	19.819063	8.365722	3.460505E+10	2.585219E-6	386814.423377	5.824369E+16	0	0	10.250146	0.325679	0	0
0	0	0	23.866134	8.366353	19.66697	8.366353	3.151044E+10	2.523356E-6	396297.619561	5.824368E+16	0	0	10.175634	0.322756	0	0
0	0	0	23.719514	8.366631	19.512734	8.366631	2.865155E+10	2.369678E-6	421998.238105	5.824366E+16	0	0	10.121067	0.319905	0	0
0	0	0	23.570787	8.36678	19.356349	8.36678	2.601645E+10	2.190096E-6	456601.040874	5.824365E+16	0	0	10.055885	0.317109	0	0
0	0	0	23.418516	8.367076	19.196164	8.367076	2.356945E+10	2.057349E-6	486062.38953	5.824364E+16	0	0	9.991103	0.314417	0	0
0	0	0	23.26203	8.367873	19.031296	8.367873	2.129431E+10	2.063291E-6	484662.503016	5.824363E+16	0	0	9.915417	0.311686	0	0
0	0	0	23.101657	8.367985	18.862687	8.367985	1.919033E+10	1.888497E-6	529521.507045	5.824362E+16	0	0	9.834048	0.308906	0	0
0	0	0	22.935893	8.368448	18.688235	8.368448	1.723387E+10	1.813855E-6	551311.950687	5.824361E+16	0	0	9.771576	0.306142	0	0
0	0	0	22.768005	8.368903	18.511554	8.368903	1.545556E+10	1.745602E-6	572868.252526	5.82436E+16	0	0	9.705608	0.303458	0	0
0	0	0	22.596606	8.369051	18.331338	8.369051	1.382921E+10	1.600162E-6	624936.594282	5.824359E+16	0	0	9.635352	0.300926	0	0
0	0	0	22.421989	8.369589	18.14754	8.369589	1.234819E+10	1.567745E-6	637858.643728	5.824359E+16	0	0	9.553387	0.298353	0	0
0	0	0	22.244252	8.369181	17.960945	8.369181	1.100349E+10	1.301133E-6	768560.892779	5.824358E+16	0	0	9.470174	0.295685	0	0
0	0	0	22.061026	8.370136	17.767885	8.370136	9.770374E+9	1.376706E-6	726371.485912	5.824357E+16	0	0	9.412592	0.293137	0	0
0	0	0	21.873978	8.370516	17.571101	8.370516	8.653965E+9	1.320126E-6	757503.596823	5.824357E+16	0	0	9.33676	0.290692	0	0
0	0	0	21.684104	8.370664	17.371465	8.370664	7.651085E+9	1.20605E-6	829152.881533	5.824356E+16	0	0	9.258539	0.288231	0	0
0	0	0	21.490588	8.370544	17.168138	8.370544	6.748459E+9	1.035794E-6	965442.940325	5.824356E+16	0	0	9.173703	0.285778	0	0
0	0	0	21.292808	8.370757	16.960159	8.370757	5.93588E+9	9.556417E-7	1046417.279006	5.824356E+16	0	0	9.092503	0.283253	0	0
0	0	0	21.090847	8.371202	16.747664	8.371202	5.207E+9	9.335593E-7	1071169.239014	5.824355E+16	0	0	9.026375	0.280848	0	0
0	0	0	20.885586	8.371351	16.531854	8.371351	4.557854E+9	8.493691E-7	1177344.401568	5.824355E+16	0	0	8.945318	0.278522	0	0
0	0	0	20.678773	8.371758	16.314278	8.371758	3.985622E+9	8.329109E-7	1200608.578016	5.824355E+16	0	0	8.866119	0.276165	0	0
0	0	0	20.469216	8.371971	16.093918	8.371971	3.479034E+9	7.763272E-7	1288116.622077	5.824354E+16	0	0	8.789001	0.273728	0	0
0	0	0	20.255869	8.372175	15.86958	8.372175	3.029379E+9	7.228559E-7	1383401.612671	5.824354E+16	0	0	8.709554	0.271466	0	0
0	0	0	20.038243	8.372064	15.640908	8.372064	2.630528E+9	6.048433E-7	1653320.847669	5.824354E+16	0	0	8.63792	0.269212	0	0
0	0	0	19.819555	8.372379	15.410896	8.372379	2.282617E+9	5.852594E-7	1708644.086668	5.824354E+16	0	0	8.552094	0.266918	0	0
0	0	0	19.599119	8.372361	15.179223	8.372361	1.978476E+9	5.038819E-7	1984592.048356	5.824354E+16	0	0	8.464338	0.264632	0	0
0	0	0	19.376069	8.37288	14.944518	8.37288	1.711954E+9	5.371396E-7	1861713.517674	5.824354E+16	0	0	8.37466	0.262538	0	0
0	0	0	19.149459	8.372797	14.706389	8.372797	1.477918E+9	4.470575E-7	2236848.496148	5.824354E+16	0	0	8.306983	0.260364	0	0
0	0	0	18.922799	8.372871	14.468124	8.372871	1.275836E+9	3.986738E-7	2508316.495785	5.824353E+16	0	0	8.215364	0.258253	0	0
0	0	0	18.694539	8.373362	14.227955	8.373362	1.100242E+9	4.400033E-7	2272710.142622	5.824353E+16	0	0	8.119678	0.25627	0	0
0	0	0	18.465381	8.373529	13.987013	8.373529	9.482621E+8	4.190528E-7	2386334.112993	5.824353E+16	0	0	8.04459	0.254	0	0
