Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.980908	8.50734	0	37.536425	-0.369701	37.708091	-0.369701	2.198354E+14	1.738047E-5	57535.777151	5.927453E+16	9.786145E+12	1.258344E-5	13.637741	1.150631	0	0
4.949891	8.508949	-0.604083	37.417133	0.238631	37.306036	0.238631	2.037249E+14	1.729173E-5	57831.048887	5.919897E+16	0	0	13.579655	1.148927	0	0
4.973831	8.509376	-0.610071	37.295881	0.808534	36.918457	0.808534	1.885415E+14	1.718762E-5	58181.359551	5.912776E+16	0	0	13.605647	1.143402	0	0
5.226451	8.50617	1.056595	37.175168	1.341221	36.547427	1.341221	1.745348E+14	1.709346E-5	58501.858524	5.906207E+16	0	0	13.634958	1.139867	0	0
6.808283	8.486051	2.254121	37.058882	1.816764	36.206405	1.816764	1.620142E+14	1.699502E-5	58840.71624	5.900335E+16	0	0	13.622073	1.137089	0	0
9.556981	8.464758	2.140396	36.945944	2.247555	35.888728	2.247555	1.507046E+14	1.689659E-5	59183.503695	5.895031E+16	0	0	13.62315	1.132487	0	0
12.335295	8.437244	1.948076	36.834477	2.645908	35.58686	2.645908	1.40308E+14	1.680006E-5	59523.559774	5.890155E+16	0	0	13.63621	1.123714	0	0
15.036068	8.418325	1.692465	36.720526	3.028075	35.289174	3.028075	1.304134E+14	1.670444E-5	59864.294555	5.885515E+16	0	0	13.65399	1.114591	0	0
17.744387	8.391847	1.437836	36.607768	3.384169	35.004183	3.384169	1.213028E+14	1.661744E-5	60177.727021	5.881242E+16	0	0	13.666174	1.106908	0	0
20.448774	8.375294	1.149366	36.496252	3.708725	34.73464	3.708725	1.129131E+14	1.651432E-5	60553.492025	5.877308E+16	0	0	13.657286	1.098111	0	0
23.155335	8.371233	0.833572	36.384653	4.014139	34.473384	4.014139	1.050934E+14	1.641541E-5	60918.343445	5.87364E+16	0	0	13.675296	1.087714	0	0
23.889724	8.378867	0.731903	36.270638	4.297396	34.219482	4.297396	9.765901E+13	1.628051E-5	61423.116528	5.870154E+16	0	0	13.699541	1.076569	0	0
24.594804	8.362734	0.676457	36.16198	4.556927	33.981877	4.556927	9.106042E+13	1.617779E-5	61813.116718	5.867059E+16	0	0	13.72447	1.066203	0	0
25.322452	8.355052	0.602017	36.052293	4.800658	33.750192	4.800658	8.484842E+13	1.606536E-5	62245.715128	5.864146E+16	0	0	13.749351	1.056268	0	0
26.034647	8.330152	0.553145	35.943994	5.027869	33.527359	5.027869	7.912834E+13	1.596066E-5	62654.024991	5.861463E+16	0	0	13.764526	1.0456	0	0
26.673682	8.282782	0.533244	35.835075	5.242253	33.309548	5.242253	7.37621E+13	1.585516E-5	63070.947252	5.858946E+16	0	0	13.789079	1.034582	0	0
27.345013	8.204131	0.524257	35.727364	5.442255	33.09948	5.442255	6.881144E+13	1.575615E-5	63467.265894	5.856624E+16	0	0	13.810923	1.024225	0	0
28.025503	8.090111	0.518948	35.620078	5.62774	32.896445	5.62774	6.420896E+13	1.564932E-5	63900.519251	5.854466E+16	0	0	13.816358	1.014552	0	0
28.701647	7.936367	0.514808	35.513511	5.800461	32.699955	5.800461	5.994066E+13	1.554121E-5	64345.060292	5.852464E+16	0	0	13.826228	1.004664	0	0
29.374679	7.740112	0.508329	35.406209	5.959968	32.508733	5.959968	5.592828E+13	1.540888E-5	64897.63595	5.850582E+16	0	0	13.835041	0.994498	0	0
30.026241	7.492374	0.502685	35.301471	6.108444	32.325259	6.108444	5.226989E+13	1.529228E-5	65392.480016	5.848867E+16	0	0	13.846383	0.984555	0	0
30.684149	7.182993	0.497073	35.199216	6.246714	32.149093	6.246714	4.892832E+13	1.51902E-5	65831.913616	5.8473E+16	0	0	13.860979	0.975272	0	0
31.341922	6.811814	0.490886	35.097141	6.375627	31.977406	6.375627	4.58049E+13	1.508049E-5	66310.859502	5.845835E+16	0	0	13.876628	0.965989	0	0
31.995091	6.372949	0.484953	34.996062	6.496869	31.810274	6.496869	4.290783E+13	1.497858E-5	66761.99015	5.844476E+16	0	0	13.890676	0.956428	0	0
32.626782	5.875485	0.47957	34.894722	6.610202	31.646499	6.610202	4.018661E+13	1.486669E-5	67264.451462	5.8432E+16	0	0	13.909599	0.946739	0	0
33.26785	5.308539	0.473403	34.793546	6.717123	31.485821	6.717123	3.764142E+13	1.47568E-5	67765.345721	5.842006E+16	0	0	13.921418	0.937322	0	0
33.904047	4.681376	0.467597	34.693725	6.817422	31.329639	6.817422	3.528792E+13	1.465522E-5	68235.054079	5.840902E+16	0	0	13.927952	0.928222	0	0
34.504598	4.015083	0.462657	34.595112	6.909586	31.178569	6.909586	3.310706E+13	1.454262E-5	68763.404722	5.83988E+16	0	0	13.942252	0.919019	0	0
35.098835	3.310255	0.462339	34.497872	6.99637	31.031449	6.99637	3.108823E+13	1.444016E-5	69251.285265	5.838933E+16	0	0	13.945497	0.910071	0	0
35.687145	2.556648	0.466123	34.39859	7.077814	30.884617	7.077814	2.915368E+13	1.431308E-5	69866.159246	5.838026E+16	0	0	13.952124	0.901306	0	0
36.22504	1.830546	0.469294	34.301791	7.154981	30.742412	7.154981	2.738321E+13	1.421099E-5	70368.056224	5.837195E+16	0	0	13.964794	0.892437	0	0
36.68248	1.182942	0.469619	34.205205	7.227136	30.60278	7.227136	2.572358E+13	1.410211E-5	70911.3507	5.836417E+16	0	0	13.969718	0.884149	0	0
37.047126	0.64581	0.460952	34.109925	7.294765	30.466671	7.294765	2.418479E+13	1.399799E-5	71438.846023	5.835695E+16	0	0	13.976859	0.87583	0	0
28.609639	7.963268	0.513859	34.015854	7.358086	30.333885	7.358086	2.275569E+13	1.389651E-5	71960.498923	5.835025E+16	0	0	13.986317	0.867399	0	0
