Voltage	Current	Temperature
0.018403	-0.000002	0
1.064671	0.000037	0
1.750753	0.000064	0
2.682148	0.000100	0
3.606296	0.000140	0
4.520747	0.000188	0
5.432814	0.000241	0
6.348498	0.000295	0
7.269692	0.000359	0
8.195315	0.000429	0
9.120770	0.000521	0
10.035121	0.000618	0
10.964889	0.000733	0
11.884451	0.000872	0
12.803575	0.001031	0
13.714510	0.001214	0
14.664491	0.001457	0
15.586875	0.001739	0
16.509361	0.002087	0
17.431293	0.002514	0
18.357281	0.003032	0
19.277494	0.003703	0
20.200325	0.004540	0
21.119595	0.005620	0
22.043737	0.007014	0
22.969521	0.008875	0
23.887064	0.011357	0
24.807837	0.014832	0
25.729258	0.019772	0
26.642824	0.027051	0
27.559835	0.038184	0
28.476883	0.055671	0
29.385704	0.083550	0
30.291128	0.128724	0
31.182776	0.200888	0
32.056995	0.313850	0
32.903095	0.484085	0
33.720425	0.730377	0
34.501266	1.068270	0
35.234764	1.503856	0
35.925556	2.040547	0
36.578724	2.676101	0
37.191452	3.395835	0
37.771610	4.191777	0
38.315247	5.039068	0
38.830093	5.931229	0
39.326908	6.874024	0
39.806316	7.857377	0
40.284748	8.907773	0
40.739967	9.969870	0
41.179657	11.050458	0
