Voltage	Current	Temperature
0.366490	0.000013	0
1.234414	0.000016	0
2.345273	0.000018	0
3.391683	0.000019	0
4.511737	0.000023	0
5.663907	0.000022	0
6.814987	0.000024	0
7.967906	0.000029	0
9.109897	0.000035	0
10.268954	0.000044	0
11.419951	0.000043	0
12.571385	0.000057	0
13.720419	0.000069	0
14.881513	0.000085	0
16.033741	0.000106	0
17.185677	0.000135	0
18.335613	0.000175	0
19.486694	0.000228	0
20.634178	0.000305	0
21.790037	0.000411	0
22.950377	0.000545	0
24.097826	0.000729	0
25.244265	0.000973	0
26.400295	0.001286	0
27.555586	0.001698	0
28.705547	0.002226	0
29.866194	0.002915	0
31.018454	0.003780	0
32.168137	0.004902	0
33.317585	0.006355	0
34.472412	0.008303	0
35.622353	0.010900	0
36.780560	0.014496	0
37.930283	0.019521	0
39.078289	0.026657	0
40.223820	0.037027	0
41.371731	0.052331	0
42.512829	0.075017	0
43.647255	0.108918	0
44.781021	0.160523	0
45.894119	0.237844	0
46.984104	0.353425	0
48.046665	0.523510	0
49.075859	0.768012	0
50.059925	1.103302	0
51.009449	1.549274	0
51.909096	2.105944	0
52.763287	2.768961	0
53.575142	3.525640	0
54.355866	4.368494	0
55.098579	5.270916	0
