Voltage	Current	Temperature
0.002135	0.000004	0
1.969864	0.000090	0
2.668676	0.000125	0
4.063677	0.000187	0
5.435431	0.000263	0
6.811178	0.000332	0
8.191148	0.000415	0
9.583252	0.000500	0
10.964766	0.000590	0
12.339811	0.000688	0
13.717071	0.000778	0
15.101269	0.000890	0
16.486305	0.000999	0
17.874548	0.001119	0
19.256533	0.001250	0
20.635510	0.001382	0
22.022492	0.001529	0
23.405907	0.001679	0
24.789223	0.001842	0
26.171356	0.002016	0
27.551990	0.002209	0
28.939581	0.002420	0
30.322321	0.002653	0
31.702669	0.002909	0
33.090607	0.003196	0
34.472580	0.003513	0
35.861515	0.003882	0
37.241573	0.004306	0
38.624664	0.004800	0
40.010036	0.005387	0
41.390492	0.006109	0
42.780571	0.007040	0
44.157124	0.008273	0
45.546562	0.009928	0
46.932240	0.012234	0
48.310860	0.015909	0
49.691670	0.022271	0
51.076897	0.033320	0
52.449535	0.051847	0
53.824501	0.082704	0
55.180000	0.132805	0
56.521843	0.213179	0
57.852146	0.340490	0
59.139847	0.533229	0
60.396240	0.817972	0
61.589069	1.211946	0
62.725098	1.733864	0
63.809254	2.396328	0
64.825523	3.185871	0
65.793831	4.103744	0
66.722931	5.143964	0
