Voltage	Current	Temperature
0.001494	-0.000002	0
0.907468	0.000018	0
1.809593	0.000021	0
2.710554	0.000029	0
3.607774	0.000028	0
4.507585	0.000038	0
5.406928	0.000048	0
6.308625	0.000056	0
7.211131	0.000067	0
8.113004	0.000075	0
9.009545	0.000094	0
9.901717	0.000110	0
10.801700	0.000136	0
11.703813	0.000168	0
12.607131	0.000207	0
13.511713	0.000245	0
14.415484	0.000303	0
15.318342	0.000368	0
16.220739	0.000457	0
17.119669	0.000557	0
18.020836	0.000687	0
18.920231	0.000848	0
19.820059	0.001062	0
20.720648	0.001330	0
21.623251	0.001685	0
22.522123	0.002158	0
23.417267	0.002813	0
24.312176	0.003736	0
25.208553	0.005079	0
26.108898	0.007108	0
27.010338	0.010266	0
27.912092	0.015329	0
28.811918	0.023583	0
29.704056	0.037110	0
30.592617	0.059421	0
31.472075	0.095750	0
32.336594	0.153551	0
33.181980	0.242752	0
34.004906	0.375700	0
34.803863	0.566781	0
35.579914	0.831811	0
36.318920	1.178209	0
37.019802	1.610458	0
37.672127	2.118526	0
38.294281	2.710392	0
38.880852	3.373033	0
39.436733	4.102209	0
39.965893	4.891289	0
40.472622	5.736508	0
40.959373	6.632314	0
41.436340	7.588536	0
