Voltage	Current	Temperature
0.000958	-0.000017	0
1.922181	0.000027	0
2.817690	0.000047	0
4.259487	0.000093	0
5.729553	0.000134	0
7.212255	0.000181	0
8.657535	0.000229	0
10.137229	0.000282	0
11.594905	0.000336	0
13.090880	0.000401	0
14.547566	0.000473	0
15.992771	0.000546	0
17.487514	0.000629	0
18.975565	0.000724	0
20.427937	0.000826	0
21.878130	0.000936	0
23.366257	0.001058	0
24.857201	0.001200	0
26.322586	0.001350	0
27.805058	0.001529	0
29.263802	0.001724	0
30.751825	0.001953	0
32.207619	0.002215	0
33.659698	0.002512	0
35.151657	0.002870	0
36.637848	0.003285	0
38.090675	0.003779	0
39.541657	0.004375	0
41.046314	0.005158	0
42.531990	0.006144	0
43.989590	0.007467	0
45.441761	0.009384	0
46.934166	0.012517	0
48.419140	0.017949	0
49.868000	0.027363	0
51.346329	0.043891	0
52.792603	0.071105	0
54.261734	0.117103	0
55.673470	0.189611	0
57.063717	0.304075	0
58.448143	0.484503	0
59.778854	0.751812	0
61.016251	1.118869	0
62.209057	1.617508	0
63.291759	2.225876	0
64.343597	2.982302	0
65.270149	3.796255	0
66.056152	4.619314	0
66.992378	5.718327	0
67.851265	6.875889	0
68.672073	8.098007	0
