Voltage	Current	Temperature
2.134794	0.000053	22.925098
1.838059	0.000047	22.918848
2.799167	0.000075	22.926660
4.256842	0.000112	22.924951
5.713790	0.000158	22.905322
7.201838	0.000208	22.909277
8.644817	0.000255	22.904932
10.121560	0.000309	22.907227
11.571419	0.000360	22.912793
13.071392	0.000427	22.904980
14.520865	0.000494	22.916162
15.968816	0.000567	22.902686
17.455839	0.000648	22.903271
18.945181	0.000739	22.894922
20.398624	0.000839	22.908984
21.840754	0.000945	22.907568
23.333454	0.001063	22.895850
24.822449	0.001198	22.891699
26.282417	0.001346	22.904492
27.768791	0.001508	22.911230
29.223333	0.001693	22.895020
30.711124	0.001908	22.895801
32.161194	0.002146	22.902100
33.611244	0.002424	22.904102
35.103962	0.002757	22.896240
36.585873	0.003134	22.902246
38.037853	0.003567	22.897217
39.489521	0.004089	22.893848
40.993076	0.004761	22.893994
42.476070	0.005596	22.906494
43.928654	0.006652	22.899658
45.380234	0.008097	22.890820
46.873760	0.010337	22.890088
48.357571	0.014022	22.881299
49.804588	0.020363	22.882812
51.290340	0.031901	22.891553
52.736977	0.051269	22.887305
54.213738	0.084738	22.889941
55.639126	0.138556	22.889355
57.047607	0.225448	22.882227
58.463604	0.366694	22.885498
59.833649	0.583665	22.898682
61.119972	0.894350	22.909912
62.371262	1.336567	22.922363
63.527790	1.905712	22.952295
64.640305	2.632934	22.972168
65.646370	3.463239	23.034570
66.581055	4.392070	23.100537
67.441582	5.391664	23.205322
68.269028	6.480668	23.304102
69.078926	7.669832	23.436816
