Voltage	Current	Temperature
1.888092	-0.000005	22.425635
1.582951	-0.000005	22.423535
2.242091	0.000000	22.421338
3.438516	0.000005	22.424561
4.638849	0.000007	22.420166
5.865222	0.000013	22.418018
7.055831	0.000022	22.408691
8.247536	0.000034	22.406396
9.443868	0.000041	22.403760
10.648740	0.000052	22.407129
11.851207	0.000070	22.402197
13.060134	0.000088	22.406104
14.258725	0.000118	22.408008
15.454557	0.000151	22.403564
16.668905	0.000189	22.401807
17.873188	0.000241	22.402979
19.078049	0.000310	22.403076
20.281904	0.000392	22.401025
21.482142	0.000503	22.400342
22.685169	0.000639	22.393652
23.888626	0.000827	22.393701
25.089018	0.001062	22.409229
26.303703	0.001370	22.394580
27.498415	0.001774	22.374512
28.706942	0.002303	22.387354
29.910227	0.003001	22.394189
31.106216	0.003927	22.393994
32.320305	0.005190	22.392578
33.520073	0.006889	22.390527
34.720165	0.009244	22.401465
35.925152	0.012564	22.388867
37.126686	0.017269	22.389160
38.333401	0.024114	22.381152
39.529751	0.033958	22.382471
40.726490	0.048441	22.375244
41.919666	0.069966	22.380957
43.103962	0.102302	22.375293
44.274311	0.151292	22.376953
45.450142	0.226836	22.386572
46.591602	0.340458	22.375586
47.697975	0.509201	22.393457
48.761200	0.752429	22.407324
49.772850	1.087379	22.418945
50.742210	1.531983	22.434717
51.640923	2.073791	22.464600
52.487614	2.710781	22.504150
53.288803	3.432295	22.573877
54.038887	4.206029	22.645605
54.715393	4.997666	22.723437
55.420891	5.908064	22.821973
56.101948	6.826367	22.944727
