Voltage	Current	Temperature
-0.005021	-0.000004	23.891943
1.155872	0.000000	23.863525
2.316469	0.000005	23.852246
3.477643	0.000011	23.839600
4.633880	0.000016	23.832764
5.795371	0.000020	23.830078
6.956742	0.000031	23.807471
8.118504	0.000039	23.804932
9.279948	0.000045	23.804736
10.441546	0.000064	23.813477
11.602837	0.000080	23.800000
12.759852	0.000102	23.800342
13.920531	0.000124	23.800146
15.081568	0.000154	23.802979
16.241839	0.000193	23.796240
17.402607	0.000240	23.792920
18.563053	0.000298	23.799414
19.724058	0.000379	23.787354
20.884726	0.000476	23.791406
22.041464	0.000602	23.793408
23.202271	0.000764	23.782080
24.363733	0.000964	23.791553
25.524679	0.001237	23.786768
26.686073	0.001575	23.787305
27.847174	0.002022	23.787842
29.008369	0.002602	23.790674
30.164850	0.003359	23.789746
31.325926	0.004366	23.788965
32.485996	0.005704	23.791064
33.645977	0.007518	23.783936
34.805035	0.010005	23.785889
35.964012	0.013463	23.785400
37.122192	0.018350	23.783545
38.275505	0.025290	23.780713
39.431854	0.035319	23.779980
40.586670	0.049941	23.797070
41.738033	0.071490	23.787158
42.884811	0.103517	23.786865
44.023891	0.151317	23.785400
45.152531	0.223008	23.790527
46.260189	0.329929	23.787598
47.348846	0.489148	23.801465
48.404541	0.719707	23.800342
49.418774	1.040789	23.827148
50.383350	1.465292	23.838867
51.297966	1.998422	23.873633
52.163238	2.634280	23.914990
52.984352	3.361844	23.979541
53.756931	4.155678	24.057227
54.495132	5.013078	24.143750
55.216484	5.936162	24.246924
