Voltage	Current	Temperature
-0.005229	0.000024	22.856689
0.954151	0.000047	22.871387
1.917839	0.000057	22.862109
2.876848	0.000077	22.863916
3.835835	0.000093	22.867773
4.795240	0.000116	22.877734
5.759066	0.000142	22.868799
6.718502	0.000165	22.875439
7.678290	0.000194	22.880615
8.637729	0.000234	22.879346
9.602052	0.000277	22.888232
10.561610	0.000321	22.895605
11.521062	0.000379	22.887744
12.480711	0.000438	22.889746
13.444254	0.000517	22.894971
14.403470	0.000609	22.887793
15.362225	0.000723	22.889258
16.325447	0.000870	22.887207
17.284481	0.001052	22.889600
18.243010	0.001298	22.901807
19.202103	0.001632	22.904883
20.165455	0.002108	22.905713
21.124203	0.002760	22.908057
22.083376	0.003673	22.918408
23.041647	0.004916	22.904395
24.004683	0.006624	22.919775
24.962622	0.008926	22.904785
25.920397	0.012148	22.925146
26.877361	0.016824	22.920166
27.837519	0.023937	22.926807
28.790934	0.035103	22.936182
29.740240	0.053131	22.934912
30.683504	0.082635	22.927979
31.620232	0.131207	22.943408
32.535332	0.209439	22.944678
33.425652	0.332788	22.954102
34.283886	0.520256	22.948975
35.093433	0.787312	22.960449
35.851589	1.144572	22.974268
36.530151	1.574084	22.983691
37.193985	2.106168	23.011084
37.808884	2.709399	23.036279
38.387463	3.377874	23.070312
38.943481	4.115685	23.120020
39.468586	4.900564	23.148047
39.963215	5.718515	23.198486
40.406712	6.514919	23.259766
40.859867	7.404834	23.325537
41.288506	8.284491	23.411865
41.725216	9.249367	23.483838
42.148766	10.223746	23.574756
