Voltage	Current	Temperature
-0.005198	-0.000005	25.069189
0.977011	0.000012	25.041650
1.954399	0.000016	25.035352
2.936568	0.000020	25.044189
3.914071	0.000028	25.021094
4.896631	0.000031	25.014746
5.878819	0.000042	25.018701
6.856840	0.000056	25.009863
7.839774	0.000067	25.010791
8.822221	0.000085	25.008350
9.800144	0.000105	25.013770
10.782807	0.000128	25.010645
11.760673	0.000156	24.987256
12.743245	0.000189	24.996582
13.725249	0.000240	24.997900
14.702919	0.000299	24.995459
15.684500	0.000376	24.985645
16.666382	0.000472	24.983936
17.643478	0.000594	24.978613
18.625202	0.000762	24.967822
19.602728	0.000983	24.972998
20.584537	0.001283	24.972266
21.566641	0.001706	24.966064
22.544010	0.002317	24.960596
23.526066	0.003231	24.959717
24.507486	0.004655	24.966211
25.483902	0.006934	24.943262
26.464336	0.010747	24.949316
27.438360	0.017235	24.955762
28.414280	0.028576	24.938770
29.385178	0.048429	24.953760
30.342938	0.082827	24.950781
31.291178	0.141974	24.954785
32.216099	0.239905	24.945410
33.103973	0.393427	24.938672
33.952511	0.621351	24.948145
34.746986	0.934038	24.946143
35.491737	1.338319	24.952881
36.184139	1.828967	24.967139
36.825066	2.393219	24.976709
37.418724	3.010885	24.980225
37.908333	3.596107	24.998633
38.412895	4.298386	25.018555
38.948791	5.079822	25.052588
39.431740	5.887579	25.085889
39.916012	6.753507	25.140674
40.371841	7.615845	25.167627
40.842094	8.564872	25.224121
41.330318	9.625875	25.275830
41.778023	10.609794	25.341455
42.182430	11.543386	25.399170
