Voltage	Current	Temperature
-0.005260	0.000010	25.868311
1.435684	0.000059	25.847803
2.876652	0.000121	25.846875
4.317785	0.000193	25.836816
5.759422	0.000271	25.841455
7.196582	0.000354	25.823682
8.638217	0.000439	25.826465
10.080141	0.000536	25.811475
11.521503	0.000636	25.803223
12.963092	0.000744	25.801660
14.404314	0.000852	25.805811
15.844727	0.000973	25.789844
17.285683	0.001104	25.800293
18.725868	0.001256	25.783398
20.166866	0.001414	25.780273
21.603523	0.001589	25.781836
23.044684	0.001787	25.770508
24.486193	0.002003	25.771045
25.927578	0.002248	25.764209
27.368879	0.002522	25.761963
28.810511	0.002829	25.759180
30.251766	0.003171	25.759717
31.693321	0.003552	25.747510
33.134152	0.003974	25.742920
34.574165	0.004458	25.755420
36.010021	0.005008	25.737793
37.449814	0.005639	25.732178
38.890659	0.006384	25.738818
40.331722	0.007301	25.727637
41.772705	0.008466	25.723779
43.213497	0.010005	25.714746
44.653725	0.012082	25.704932
46.093571	0.015095	25.710254
47.532879	0.019815	25.712939
48.970066	0.027992	25.702686
50.399490	0.042028	25.707812
51.827301	0.065649	25.692480
53.245014	0.104680	25.700391
54.649002	0.168273	25.697021
56.031021	0.269809	25.696338
57.381721	0.427586	25.688623
58.688702	0.663527	25.691309
59.938484	0.999227	25.692529
61.121517	1.451118	25.711133
62.232708	2.025939	25.725586
63.270210	2.718225	25.748047
64.243965	3.520422	25.791846
65.150177	4.404877	25.841699
65.980560	5.342057	25.893164
66.791145	6.371892	25.968506
67.574059	7.470497	26.062354
