Voltage	Current	Temperature
-0.005262	0.000005	25.174072
1.215396	0.000007	25.175195
2.436195	0.000015	25.160107
3.656880	0.000020	25.160107
4.878172	0.000019	25.172705
6.099260	0.000021	25.155322
7.320733	0.000025	25.143848
8.542039	0.000032	25.159473
9.763374	0.000040	25.149121
10.980245	0.000049	25.142725
12.201636	0.000053	25.159961
13.422474	0.000074	25.132129
14.643402	0.000086	25.152148
15.863729	0.000113	25.135889
17.084387	0.000146	25.130518
18.304592	0.000186	25.129541
19.525269	0.000249	25.123438
20.745829	0.000328	25.125439
21.966961	0.000444	25.113135
23.187698	0.000604	25.122705
24.408915	0.000812	25.120752
25.629780	0.001090	25.123486
26.850948	0.001458	25.110352
28.071806	0.001944	25.100586
29.292736	0.002576	25.114355
30.513395	0.003403	25.105811
31.729303	0.004485	25.102588
32.949490	0.005926	25.098779
34.168510	0.007877	25.101465
35.387196	0.010579	25.104199
36.605034	0.014411	25.089600
37.822544	0.020017	25.085059
39.038032	0.028382	25.089502
40.251797	0.041136	25.085742
41.461182	0.060841	25.080664
42.664310	0.091640	25.094434
43.856365	0.140042	25.090381
45.032486	0.216096	25.087158
46.183460	0.334047	25.087207
47.299297	0.512007	25.089307
48.367722	0.768671	25.095654
49.378605	1.117919	25.109668
50.328182	1.565305	25.129687
51.214687	2.104427	25.144238
52.044502	2.723047	25.179297
52.823025	3.416261	25.222754
53.602875	4.197523	25.272266
54.322258	5.009471	25.333643
54.936356	5.759624	25.408594
55.613384	6.630059	25.503418
56.331539	7.647265	25.602002
