Voltage	Current	Temperature
-0.005179	0.000030	23.426465
0.954089	0.000060	23.407910
1.917723	0.000082	23.410547
2.876847	0.000107	23.409424
3.835972	0.000135	23.421582
4.795551	0.000162	23.421045
5.759502	0.000197	23.429004
6.718992	0.000234	23.412109
7.678844	0.000271	23.412451
8.638312	0.000318	23.413477
9.602606	0.000371	23.410889
10.562179	0.000432	23.411865
11.521527	0.000496	23.400195
12.481273	0.000577	23.409619
13.444712	0.000669	23.402393
14.404129	0.000779	23.397607
15.362783	0.000912	23.410010
16.326090	0.001076	23.399365
17.285049	0.001286	23.405469
18.243561	0.001557	23.410986
19.202448	0.001926	23.400293
20.165730	0.002422	23.415332
21.124292	0.003107	23.404492
22.083281	0.004077	23.396729
23.041378	0.005470	23.394580
24.003780	0.007502	23.399121
24.960804	0.010436	23.394092
25.917074	0.014743	23.407715
26.871521	0.021224	23.410059
27.827545	0.031392	23.398193
28.774258	0.047606	23.395850
29.712835	0.073856	23.399170
30.638540	0.116347	23.387598
31.545654	0.184352	23.404199
32.411339	0.287968	23.394824
33.187500	0.425998	23.398145
33.907314	0.634465	23.401758
34.672050	0.891010	23.421436
35.467686	1.304244	23.415479
36.155468	1.762740	23.431543
36.805332	2.291778	23.443066
37.426037	2.886166	23.462256
38.011013	3.531840	23.488477
38.588047	4.240511	23.530127
39.151989	5.001037	23.561475
39.679096	5.764787	23.608887
40.156639	6.522515	23.661377
40.624397	7.325896	23.697803
41.124886	8.134981	23.752637
41.544754	9.012972	23.806055
41.983658	9.897590	23.888330
