Voltage	Current	Temperature
-0.005195	-0.000003	21.823340
1.436020	0.000030	21.826807
2.877259	0.000067	21.818799
4.318564	0.000114	21.824219
5.760138	0.000152	21.822852
7.197438	0.000201	21.829248
8.639331	0.000253	21.818311
10.081437	0.000300	21.832275
11.523035	0.000364	21.832227
12.964776	0.000423	21.829248
14.406085	0.000491	21.831934
15.846670	0.000565	21.833447
17.287682	0.000645	21.835010
18.728161	0.000738	21.847314
20.169584	0.000829	21.830225
21.606436	0.000943	21.852539
23.047773	0.001060	21.847559
24.489391	0.001190	21.843896
25.931011	0.001335	21.840088
27.372604	0.001494	21.846582
28.814425	0.001681	21.846484
30.255983	0.001889	21.857129
31.697771	0.002136	21.857080
33.138886	0.002416	21.860303
34.579048	0.002734	21.850830
36.015018	0.003104	21.858008
37.455189	0.003526	21.855322
38.896358	0.004030	21.860107
40.338020	0.004641	21.854932
41.779461	0.005395	21.861670
43.220619	0.006362	21.857959
44.661446	0.007683	21.853662
46.102188	0.009603	21.868506
47.542793	0.012582	21.862402
48.982250	0.017583	21.861768
50.415432	0.026190	21.870117
51.849087	0.041120	21.876270
53.276123	0.066112	21.880664
54.695000	0.107234	21.879590
56.100243	0.173735	21.874756
57.485912	0.279246	21.886230
58.842682	0.442310	21.866943
60.157749	0.684997	21.882031
61.419220	1.029446	21.889014
62.617790	1.492422	21.885693
63.745556	2.078642	21.886572
64.810608	2.787739	21.880762
65.809181	3.596244	21.890625
66.752769	4.494396	21.899365
67.579567	5.316503	21.893604
68.279732	6.226586	21.899609
