Voltage	Current	Temperature
33.010910	0.006237	22.492285
33.061527	0.006309	22.483154
33.111984	0.006382	22.488672
33.162441	0.006457	22.484766
33.212711	0.006538	22.482861
33.263092	0.006615	22.484033
33.313507	0.006697	22.483838
33.363968	0.006778	22.483252
33.414307	0.006858	22.498145
33.464748	0.006942	22.491895
33.510731	0.007014	22.483447
33.561119	0.007100	22.499414
33.611496	0.007186	22.486035
33.661980	0.007280	22.481445
33.712345	0.007366	22.491016
33.762775	0.007452	22.495020
33.813099	0.007543	22.496436
33.863514	0.007635	22.481641
33.913914	0.007729	22.475488
33.964314	0.007820	22.491602
34.010136	0.007907	22.485107
34.060417	0.008005	22.486816
34.110813	0.008106	22.488135
34.161110	0.008206	22.494385
34.211616	0.008306	22.496045
34.261948	0.008406	22.490479
34.312363	0.008511	22.488770
34.362617	0.008620	22.492090
34.413094	0.008727	22.494971
34.463428	0.008834	22.488281
34.509220	0.008932	22.491406
34.559681	0.009042	22.488867
34.610054	0.009157	22.486377
34.660507	0.009273	22.493457
34.710930	0.009388	22.485693
34.761337	0.009505	22.489160
34.811668	0.009632	22.495117
34.862068	0.009749	22.481055
34.912411	0.009874	22.494824
34.962757	0.009994	22.495752
35.008537	0.010111	22.480908
35.058842	0.010242	22.479004
35.109276	0.010369	22.480762
35.159626	0.010506	22.485596
35.209946	0.010637	22.474121
35.260555	0.010774	22.479980
35.310944	0.010914	22.492822
35.361225	0.011053	22.491309
35.411686	0.011198	22.479590
35.461975	0.011339	22.490234
35.507809	0.011475	22.493115
