Voltage	Current	Temperature
0.005484	0.000006	24.317773
0.586876	0.000018	24.291406
1.174192	0.000034	24.307031
1.766477	0.000037	24.297266
2.353903	0.000050	24.299219
2.946033	0.000071	24.279688
3.537749	0.000093	24.308008
4.125266	0.000115	24.319727
4.717460	0.000131	24.333398
5.305067	0.000160	24.308008
5.897029	0.000183	24.308984
6.489365	0.000211	24.270898
7.077205	0.000238	24.341211
7.669593	0.000273	24.311914
8.261877	0.000302	24.283594
8.849781	0.000339	24.308008
9.442092	0.000380	24.324609
10.030047	0.000423	24.308008
10.622292	0.000469	24.284570
11.214679	0.000523	24.305078
11.802531	0.000589	24.289453
12.394783	0.000637	24.345117
12.982097	0.000701	24.324609
13.574049	0.000778	24.293359
14.166648	0.000848	24.311914
14.753832	0.000924	24.317773
15.345526	0.001021	24.308008
15.932969	0.001106	24.296289
16.524920	0.001218	24.306055
17.116744	0.001321	24.364648
17.703927	0.001441	24.272852
18.296010	0.001563	24.294336
18.887963	0.001703	24.328516
19.475533	0.001850	24.304102
20.067358	0.002016	24.318750
20.654799	0.002183	24.288477
21.247138	0.002373	24.312891
21.839090	0.002585	24.309961
22.426534	0.002807	24.293359
23.018228	0.003040	24.272852
23.605928	0.003315	24.280664
24.198138	0.003595	24.294336
24.789445	0.003922	24.314844
25.377147	0.004279	24.308008
25.969098	0.004684	24.309961
26.556798	0.005123	24.300195
27.148492	0.005613	24.284570
27.740575	0.006192	24.286523
28.327888	0.006837	24.303125
28.919969	0.007581	24.294336
29.511408	0.008455	24.285547
30.098720	0.009469	24.274805
30.690157	0.010673	24.273828
31.276954	0.012119	24.303125
31.867746	0.013900	24.321680
32.458538	0.016087	24.293359
33.044178	0.018798	24.314844
33.633682	0.022247	24.308984
34.217514	0.026615	24.312891
34.805472	0.032250	24.302148
35.392784	0.039543	24.303125
35.973526	0.048940	24.327539
36.556713	0.061258	24.296289
37.133072	0.077188	24.295313
37.711104	0.098143	24.288477
38.284498	0.125429	24.308008
38.847841	0.160492	24.261133
39.409119	0.206078	24.330469
39.961505	0.264426	24.323633
40.499198	0.337673	24.339258
41.028000	0.429827	24.282617
41.538112	0.542405	24.341211
42.035984	0.679836	24.309961
42.516711	0.843835	24.299219
42.976688	1.034863	24.309961
43.425325	1.258668	24.295313
43.852953	1.511971	24.347070
44.269627	1.800134	24.309961
44.667484	2.118129	24.303125
45.044591	2.460209	24.294336
45.406749	2.830706	24.323633
45.750475	3.221228	24.310938
46.065848	3.605023	24.351953
46.373619	4.027814	24.345117
46.654967	4.435476	24.313867
46.933093	4.868422	24.335352
47.214055	5.337257	24.326563
47.466663	5.772471	24.374414
47.688725	6.176589	24.353906
47.922773	6.592266	24.391992
48.151796	7.013588	24.375391
48.455571	7.492050	24.390039
48.713462	8.051466	24.391016
48.955630	8.602700	24.421289
49.191998	9.159114	24.420313
49.485462	9.879216	24.416406
49.767583	10.585424	24.455469
49.994672	11.230093	24.459375
50.226530	11.896212	24.498438
50.449496	12.556128	24.489648
50.720791	13.363485	24.499414
