Voltage	Current	Temperature
0.005054	0.000018	24.236719
0.380633	0.000040	24.262109
0.766219	0.000097	24.269922
1.151566	0.000150	24.265039
1.536908	0.000210	24.256250
1.922663	0.000262	24.270898
2.307824	0.000331	24.260156
2.689108	0.000392	24.245508
3.074592	0.000463	24.266992
3.459947	0.000536	24.292383
3.845301	0.000594	24.261133
4.230863	0.000674	24.249414
4.616205	0.000751	24.253320
5.001960	0.000838	24.250391
5.387599	0.000936	24.266016
5.773109	0.001026	24.230859
6.158463	0.001129	24.241602
6.544218	0.001232	24.273828
6.929741	0.001343	24.266016
7.315638	0.001463	24.280664
7.696767	0.001572	24.257227
8.082329	0.001706	24.262109
8.467890	0.001847	24.288477
8.853619	0.002002	24.281641
9.239206	0.002152	24.246484
9.624806	0.002333	24.254297
10.010586	0.002508	24.253320
10.396212	0.002699	24.240625
10.781747	0.002906	24.266016
11.167321	0.003132	24.229883
11.552894	0.003379	24.231836
11.938675	0.003633	24.286523
12.323899	0.003914	24.278711
12.704745	0.004207	24.281641
13.090100	0.004537	24.239648
13.475197	0.004894	24.242578
13.860942	0.005275	24.275781
14.246039	0.005702	24.251367
14.631265	0.006177	24.261133
15.016621	0.006685	24.264063
15.401331	0.007256	24.249414
15.786173	0.007874	24.242578
16.171141	0.008590	24.264063
16.556367	0.009380	24.289453
16.941079	0.010267	24.249414
17.325790	0.011286	24.255273
17.710243	0.012452	24.257227
18.090315	0.013780	24.261133
18.474511	0.015341	24.294336
18.858963	0.017162	24.261133
19.243031	0.019295	24.230859
19.626968	0.021854	24.264063
20.010135	0.024894	24.240625
20.393170	0.028546	24.262109
20.775690	0.032981	24.255273
21.157565	0.038394	24.266016
21.538538	0.044985	24.241602
21.918738	0.053128	24.305078
22.296880	0.063194	24.290430
22.673471	0.075790	24.233789
23.043747	0.091402	24.262109
23.414926	0.111249	24.241602
23.783269	0.136280	24.277734
24.146843	0.167642	24.265039
24.504617	0.206740	24.303125
24.856077	0.255107	24.266016
25.199677	0.314442	24.290430
25.534382	0.386245	24.283594
25.859936	0.472108	24.241602
26.174020	0.573156	24.246484
26.476892	0.690258	24.241602
26.768421	0.823942	24.274805
27.047836	0.974512	24.266992
27.313849	1.139774	24.260156
27.572643	1.323708	24.258203
27.823188	1.524420	24.295313
28.063809	1.740145	24.282617
28.295795	1.970008	24.341211
28.519921	2.212499	24.301172
28.734508	2.464733	24.340234
28.942007	2.727070	24.318750
29.135845	2.988866	24.327539
29.323109	3.255558	24.367578
29.499422	3.522612	24.402734
29.675603	3.799859	24.378320
29.841215	4.059580	24.403711
29.976927	4.302561	24.430078
30.136611	4.584486	24.412500
30.308023	4.893718	24.437891
30.464744	5.189149	24.466211
30.573777	5.403508	24.498438
30.791200	5.848812	24.505273
30.998054	6.231461	24.523828
31.178875	6.642563	24.516016
31.345003	7.009644	24.549219
31.488707	7.350900	24.613672
31.641817	7.724631	24.631250
31.820834	8.148530	24.674219
32.012093	8.613396	24.653711
32.158245	8.970051	24.728906
32.372446	9.506787	24.723047
