Voltage	Current	Temperature
0.170275	0.000004	24.592188
0.631431	0.000037	24.600000
1.085665	0.000076	24.573633
1.529065	0.000116	24.587305
1.961067	0.000169	24.568750
2.436642	0.000226	24.608789
2.927490	0.000304	24.586328
3.460128	0.000378	24.586328
3.927135	0.000459	24.581445
4.441812	0.000549	24.580469
4.953425	0.000646	24.560938
5.439196	0.000754	24.570703
5.940563	0.000874	24.587305
6.432664	0.000998	24.558008
6.953763	0.001141	24.575586
7.442440	0.001293	24.579492
7.936415	0.001454	24.567773
8.442369	0.001628	24.558984
8.943025	0.001808	24.539453
9.424414	0.002016	24.564844
9.942230	0.002230	24.584375
10.443415	0.002475	24.555078
10.929081	0.002730	24.550195
11.416686	0.003002	24.552148
11.929668	0.003270	24.551172
12.417982	0.003586	24.545313
12.914048	0.003927	24.550195
13.430347	0.004275	24.518945
13.936853	0.004650	24.524805
14.425055	0.005065	24.540430
14.931817	0.005501	24.537500
15.422339	0.005973	24.538477
15.923174	0.006513	24.543359
16.442179	0.007036	24.550195
16.919814	0.007620	24.538477
17.414331	0.008256	24.515039
17.934111	0.008990	24.544336
18.412390	0.009748	24.522852
18.923792	0.010536	24.529688
19.432100	0.011402	24.531641
19.924945	0.012386	24.533594
20.422813	0.013431	24.533594
20.927770	0.014622	24.507227
21.424221	0.015865	24.534570
21.923893	0.017325	24.513086
22.416997	0.018880	24.518945
22.920150	0.020662	24.513086
23.407580	0.022613	24.534570
23.912794	0.024801	24.536523
24.411565	0.027223	24.527734
24.909820	0.030012	24.516992
25.406145	0.033071	24.505273
25.904916	0.036486	24.513086
26.402527	0.040400	24.492578
26.901813	0.044870	24.528711
27.397235	0.049834	24.510156
27.892268	0.055404	24.498438
28.392457	0.061667	24.499414
28.884011	0.068681	24.503320
29.382655	0.076553	24.543359
29.872662	0.085289	24.534570
30.368211	0.095045	24.483789
30.857832	0.106503	24.485742
31.348612	0.119032	24.499414
31.840424	0.133632	24.475977
32.317155	0.150391	24.506250
32.804974	0.170000	24.488672
33.289181	0.192679	24.507227
33.766172	0.218424	24.497461
34.242517	0.247857	24.476953
34.718606	0.280832	24.495508
35.190053	0.317198	24.505273
35.659055	0.356866	24.488672
36.124575	0.400641	24.494531
36.587387	0.448490	24.495508
37.046206	0.501346	24.503320
37.500254	0.560106	24.500391
37.948118	0.625935	24.467188
38.389150	0.699365	24.487695
38.823483	0.782174	24.507227
39.250209	0.873949	24.495508
39.670362	0.974403	24.512109
40.083169	1.082196	24.508203
40.487470	1.198384	24.505273
40.883651	1.324778	24.522852
41.269653	1.459148	24.533594
41.648177	1.601213	24.545313
42.014847	1.751924	24.569727
42.374426	1.911360	24.578516
42.718797	2.072986	24.570703
43.030433	2.223517	24.571680
43.316549	2.379409	24.605859
43.622513	2.563742	24.617578
43.938659	2.748668	24.659570
44.245527	2.942744	24.632227
44.652663	3.234308	24.631250
44.949605	3.474918	24.694727
45.227862	3.694793	24.684961
45.685777	3.992040	24.731836
45.952046	4.172172	24.731836
45.951917	4.276878	24.792383
46.645817	4.801294	24.802148
