Voltage	Current	Temperature
0.131291	0.000006	23.376367
0.611721	0.000004	23.306055
1.093199	0.000005	23.352930
1.573903	0.000001	23.337305
2.054285	0.000010	23.335352
2.533943	0.000026	23.349023
3.012891	0.000031	23.312891
3.490882	0.000036	23.326563
3.978448	0.000044	23.342188
4.463158	0.000061	23.361719
4.947456	0.000071	23.347070
5.437864	0.000084	23.358789
5.934308	0.000098	23.370508
6.444229	0.000113	23.359766
6.934651	0.000122	23.343164
7.436095	0.000137	23.347070
7.944078	0.000148	23.331445
8.438389	0.000168	23.331445
8.943981	0.000195	23.363672
9.435372	0.000206	23.349023
9.938871	0.000231	23.346094
10.453804	0.000249	23.353906
10.959732	0.000284	23.361719
11.458927	0.000311	23.345117
11.949180	0.000335	23.385156
12.430999	0.000375	23.379297
12.954001	0.000398	23.338281
13.428929	0.000434	23.330469
13.957861	0.000481	23.341211
14.456374	0.000516	23.387109
14.944189	0.000561	23.346094
15.474665	0.000616	23.356836
15.941217	0.000669	23.340234
16.451458	0.000723	23.345117
16.952549	0.000802	23.355859
17.462017	0.000878	23.381250
17.968780	0.000955	23.332422
18.440228	0.001045	23.380273
18.954852	0.001143	23.387109
19.449627	0.001253	23.351953
19.951752	0.001365	23.336328
20.472690	0.001500	23.365625
20.965274	0.001647	23.377344
21.454121	0.001810	23.349023
21.948896	0.001959	23.366602
22.459528	0.002167	23.387109
22.922470	0.002387	23.381250
23.465448	0.002623	23.347070
23.926971	0.002877	23.375391
24.419298	0.003176	23.352930
24.917811	0.003522	23.352930
25.430375	0.003890	23.347070
25.919995	0.004319	23.361719
26.436423	0.004787	23.372461
26.941122	0.005323	23.368555
27.432677	0.005922	23.375391
27.933768	0.006652	23.377344
28.447876	0.007425	23.376367
28.938399	0.008307	23.376367
29.432661	0.009376	23.381250
29.934396	0.010639	23.338281
30.431235	0.012080	23.367578
30.941604	0.013756	23.358789
31.442824	0.015823	23.410547
31.927805	0.018175	23.370508
32.418327	0.021126	23.372461
32.924447	0.024607	23.365625
33.420382	0.028924	23.368555
33.914256	0.034086	23.381250
34.408516	0.040505	23.338281
34.905097	0.048443	23.398828
35.402579	0.058173	23.398828
35.893748	0.070123	23.375391
36.380275	0.084668	23.407617
36.872474	0.102849	23.381250
37.358227	0.124970	23.384180
37.840244	0.151584	23.412500
38.317621	0.184290	23.389063
38.791904	0.223311	23.381250
39.262452	0.270098	23.375391
39.725136	0.324903	23.400781
40.182537	0.388967	23.398828
40.632977	0.463161	23.380273
41.077104	0.548260	23.385156
41.510789	0.644351	23.388086
41.940093	0.752927	23.375391
42.360378	0.872828	23.428125
42.772025	1.005403	23.365625
43.177100	1.149903	23.452539
43.571476	1.304970	23.411523
43.959667	1.472370	23.434961
44.339094	1.650492	23.433008
44.712592	1.837879	23.430078
45.076553	2.036517	23.487695
45.431365	2.241636	23.464258
45.781536	2.455313	23.454492
46.121009	2.678048	23.484766
46.457779	2.901957	23.510156
46.644270	3.051238	23.525781
46.893784	3.249179	23.537500
47.406217	3.376540	23.572656
47.712826	3.855247	23.600977
48.009768	4.082055	23.600000
48.270626	4.301775	23.637109
48.160302	4.248823	23.633203
48.491915	4.554808	23.653711
48.820820	4.855226	23.704492
