Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
6.77521	9.86129	0.00000	40.0561	-0.173548	40.1055	-0.173548	1057050000000000	0.0000739292	13524.6
6.65871	9.86942	-0.694751	40.2035	-0.202139	40.2611	-0.202139	1154720000000000	0.0000805308	12415.4
6.73934	9.86583	-0.703010	40.1548	0.224630	40.0908	0.224630	1121550000000000	0.0000816819	12240.5
6.80431	9.86811	-0.709537	40.0625	0.776156	39.8417	0.776156	1061130000000000	0.0000819724	12197.4
7.38922	9.85681	1.81092	39.9555	1.36937	39.5662	1.36937	994837000000000	0.0000822201	12160.8
9.06236	9.85588	1.69001	39.8385	1.95914	39.2820	1.95914	926840000000000	0.0000823174	12146.7
10.7020	9.84736	1.75281	39.7194	2.50785	39.0076	2.50785	862087000000000	0.0000822797	12152.4
12.4123	9.85372	1.42755	39.5985	3.01884	38.7425	3.01884	800785000000000	0.0000821365	12173.8
14.2449	9.84946	1.34812	39.4777	3.49181	38.4885	3.49181	743623000000000	0.0000819371	12203.6
16.0432	9.84628	1.23333	39.3574	3.93156	38.2446	3.93156	690587000000000	0.0000817363	12233.7
17.8276	9.85292	0.900422	39.2341	4.33973	38.0069	4.33973	639975000000000	0.0000813455	12292.6
19.6178	9.84575	0.882640	39.1141	4.70557	37.7847	4.70557	594147000000000	0.0000808791	12363.5
21.4565	9.84421	0.725951	38.9980	5.03953	37.5755	5.03953	552781000000000	0.0000804598	12428.1
23.2207	9.83849	0.613059	38.8833	5.35559	37.3729	5.35559	514661000000000	0.0000801660	12473.7
25.0275	9.82955	0.485097	38.7679	5.64674	37.1767	5.64674	478860000000000	0.0000797423	12540.0
26.8110	9.82996	0.301198	38.6554	5.90815	36.9921	5.90815	446300000000000	0.0000792349	12620.4
27.3926	9.82908	0.247390	38.5445	6.15420	36.8133	6.15420	416293000000000	0.0000788130	12688.0
28.0062	9.82768	0.194911	38.4328	6.38694	36.6377	6.38694	388042000000000	0.0000783858	12757.2
28.6037	9.81772	0.186476	38.3210	6.60340	36.4666	6.60340	361639000000000	0.0000779061	12835.7
29.1977	9.79649	0.202516	38.2110	6.80297	36.3022	6.80297	337378000000000	0.0000774222	12916.0
29.7914	9.75840	0.230049	38.1021	6.98588	36.1435	6.98588	314917000000000	0.0000768648	13009.7
30.3771	9.70709	0.247265	37.9953	7.15631	35.9906	7.15631	294321000000000	0.0000763640	13095.0
30.9687	9.63370	0.261627	37.8888	7.31436	35.8415	7.31436	275090000000000	0.0000758037	13191.8
31.5586	9.54153	0.267762	37.7839	7.46172	35.6970	7.46172	257342000000000	0.0000752678	13285.8
32.1560	9.42152	0.270209	37.6781	7.59906	35.5545	7.59906	240593000000000	0.0000746412	13397.3
32.7311	9.26161	0.274559	37.5736	7.72727	35.4159	7.72727	225098000000000	0.0000740295	13508.0
33.2975	9.06395	0.275684	37.4711	7.84794	35.2815	7.84794	210862000000000	0.0000735040	13604.6
33.8635	8.80944	0.276511	37.3671	7.96254	35.1472	7.96254	197315000000000	0.0000729331	13711.1
34.4506	8.47983	0.275655	37.2643	8.06843	35.0166	8.06843	184765000000000	0.0000723276	13825.9
35.0159	8.08454	0.274406	37.1638	8.16657	34.8906	8.16657	173264000000000	0.0000717537	13936.5
35.5714	7.62289	0.271849	37.0631	8.25977	34.7657	8.25977	162447000000000	0.0000711885	14047.2
36.1232	7.06861	0.269732	36.9628	8.34585	34.6433	8.34585	152340000000000	0.0000705516	14174.0
36.6441	6.45545	0.268223	36.8645	8.42695	34.5242	8.42695	143035000000000	0.0000699876	14288.2
37.1729	5.75150	0.265561	36.7663	8.50288	34.4067	8.50288	134301000000000	0.0000693871	14411.9
37.6868	4.97830	0.264409	36.6697	8.57527	34.2917	8.57527	126220000000000	0.0000688830	14517.3
38.1765	4.15617	0.267728	36.5733	8.64321	34.1783	8.64321	118646000000000	0.0000683612	14628.2
38.6404	3.31507	0.270891	36.4779	8.70624	34.0673	8.70624	111589000000000	0.0000678039	14748.4
39.0838	2.44625	0.273874	36.3848	8.76459	33.9597	8.76459	105102000000000	0.0000672602	14867.6
32.6110	9.29824	0.274090	36.2927	8.81867	33.8543	8.81867	99052000000000	0.0000666758	14997.9
40.1071	0.00000	0.00000	36.2024	8.86969	33.7517	8.86969	93462300000000	0.0000661505	15117.0
0.00000	0.00000	0.00000	36.1117	8.91858	33.6492	8.91858	88157100000000	0.0000656313	15236.6
0.00000	0.00000	0.00000	36.0208	8.96400	33.5475	8.96400	83142300000000	0.0000650311	15377.3
0.00000	0.00000	0.00000	35.9310	9.00742	33.4475	9.00742	78468000000000	0.0000644958	15504.9
0.00000	0.00000	0.00000	35.8415	9.04818	33.3484	9.04818	74065900000000	0.0000639290	15642.3
0.00000	0.00000	0.00000	35.7520	9.08761	33.2498	9.08761	69910100000000	0.0000634178	15768.4
0.00000	0.00000	0.00000	35.6636	9.12358	33.1532	9.12358	66034900000000	0.0000628229	15917.7
0.00000	0.00000	0.00000	35.5759	9.15814	33.0577	9.15814	62403100000000	0.0000622857	16055.1
0.00000	0.00000	0.00000	35.4871	9.19067	32.9617	9.19067	58924200000000	0.0000616665	16216.3
0.00000	0.00000	0.00000	35.3995	9.22227	32.8671	9.22227	55684100000000	0.0000611569	16351.4
0.00000	0.00000	0.00000	35.3113	9.25123	32.7727	9.25123	52600900000000	0.0000605136	16525.2
0.00000	0.00000	0.00000	35.2255	9.27920	32.6810	9.27920	49764800000000	0.0000600012	16666.3
0.00000	0.00000	0.00000	35.1407	9.30549	32.5906	9.30549	47111000000000	0.0000594889	16809.9
0.00000	0.00000	0.00000	35.0571	9.33055	32.5018	9.33055	44632500000000	0.0000590197	16943.5
0.00000	0.00000	0.00000	34.9736	9.35413	32.4135	9.35413	42287200000000	0.0000585187	17088.6
0.00000	0.00000	0.00000	34.8895	9.37600	32.3251	9.37600	40049800000000	0.0000579197	17265.3
0.00000	0.00000	0.00000	34.8057	9.39768	32.2371	9.39768	37936500000000	0.0000574293	17412.7
0.00000	0.00000	0.00000	34.7234	9.41750	32.1511	9.41750	35971300000000	0.0000568858	17579.1
0.00000	0.00000	0.00000	34.6411	9.43681	32.0651	9.43681	34105000000000	0.0000563886	17734.1
0.00000	0.00000	0.00000	34.5589	9.45496	31.9797	9.45496	32340100000000	0.0000558591	17902.2
0.00000	0.00000	0.00000	34.4782	9.47278	31.8957	9.47278	30694500000000	0.0000554488	18034.7
0.00000	0.00000	0.00000	34.3965	9.49020	31.8109	9.49020	29113700000000	0.0000550622	18161.3
0.00000	0.00000	0.00000	34.3170	9.50571	31.7288	9.50571	27653300000000	0.0000545807	18321.5
0.00000	0.00000	0.00000	34.2374	9.52036	31.6469	9.52036	26265400000000	0.0000540692	18494.8
0.00000	0.00000	0.00000	34.1572	9.53437	31.5645	9.53437	24936200000000	0.0000535334	18679.9
0.00000	0.00000	0.00000	34.0796	9.54876	31.4845	9.54876	23714500000000	0.0000532538	18778.0
0.00000	0.00000	0.00000	34.0004	9.56211	31.4033	9.56211	22529200000000	0.0000528505	18921.3
0.00000	0.00000	0.00000	33.9224	9.57347	31.3238	9.57347	21418400000000	0.0000522266	19147.3
0.00000	0.00000	0.00000	33.8451	9.58626	31.2446	9.58626	20372900000000	0.0000519878	19235.3
0.00000	0.00000	0.00000	33.7685	9.59642	31.1668	9.59642	19386500000000	0.0000513679	19467.4
0.00000	0.00000	0.00000	33.6921	9.60799	31.0888	9.60799	18450600000000	0.0000511213	19561.3
0.00000	0.00000	0.00000	33.6187	9.61658	31.0147	9.61658	17594700000000	0.0000504622	19816.8
0.00000	0.00000	0.00000	33.5441	9.62748	30.9386	9.62748	16764400000000	0.0000503224	19871.9
0.00000	0.00000	0.00000	33.4708	9.63576	30.8646	9.63576	15987200000000	0.0000497515	20099.9
0.00000	0.00000	0.00000	33.3987	9.64588	30.7913	9.64588	15257200000000	0.0000497090	20117.1
0.00000	0.00000	0.00000	33.3267	9.65270	30.7188	9.65270	14561300000000	0.0000489927	20411.2
0.00000	0.00000	0.00000	33.2551	9.66201	30.6462	9.66201	13901300000000	0.0000489565	20426.3
0.00000	0.00000	0.00000	33.1834	9.66880	30.5742	9.66880	13270800000000	0.0000483865	20666.9
0.00000	0.00000	0.00000	33.1121	9.67576	30.5025	9.67576	12671500000000	0.0000479337	20862.2
0.00000	0.00000	0.00000	33.0418	9.68412	30.4314	9.68412	12107000000000	0.0000479603	20850.6
0.00000	0.00000	0.00000	32.9702	9.68967	30.3597	9.68967	11557700000000	0.0000472644	21157.6
0.00000	0.00000	0.00000	32.8992	9.69641	30.2884	9.69641	11038100000000	0.0000469839	21283.9
0.00000	0.00000	0.00000	32.8292	9.70333	30.2180	9.70333	10548700000000	0.0000468701	21335.6
0.00000	0.00000	0.00000	32.7589	9.70860	30.1478	9.70860	10079100000000	0.0000463286	21584.9
0.00000	0.00000	0.00000	32.6899	9.71372	30.0789	9.71372	9638230000000	0.0000458376	21816.2
0.00000	0.00000	0.00000	32.6207	9.72079	30.0092	9.72079	9215390000000	0.0000460319	21724.1
0.00000	0.00000	0.00000	32.5522	9.72575	29.9407	9.72575	8814920000000	0.0000456446	21908.4
0.00000	0.00000	0.00000	32.4845	9.72913	29.8735	9.72913	8436390000000	0.0000448015	22320.7
0.00000	0.00000	0.00000	32.4171	9.73429	29.8061	9.73429	8075570000000	0.0000446267	22408.1
0.00000	0.00000	0.00000	32.3490	9.74038	29.7379	9.74038	7727130000000	0.0000448511	22296.0
0.00000	0.00000	0.00000	32.2810	9.74446	29.6702	9.74446	7393960000000	0.0000444169	22514.0
0.00000	0.00000	0.00000	32.2131	9.74788	29.6027	9.74788	7075290000000	0.0000437862	22838.2
0.00000	0.00000	0.00000	32.1467	9.75116	29.5369	9.75116	6777240000000	0.0000431908	23153.1
0.00000	0.00000	0.00000	32.0819	9.75590	29.4722	9.75590	6498480000000	0.0000432752	23107.9
0.00000	0.00000	0.00000	32.0160	9.76066	29.4063	9.76066	6226560000000	0.0000434242	23028.6
0.00000	0.00000	0.00000	31.9520	9.76418	29.3428	9.76418	5973660000000	0.0000431738	23162.2
0.00000	0.00000	0.00000	31.8877	9.76634	29.2792	9.76634	5729690000000	0.0000423500	23612.8
0.00000	0.00000	0.00000	31.8209	9.76900	29.2131	9.76900	5486670000000	0.0000417222	23968.1
0.00000	0.00000	0.00000	31.7550	9.77192	29.1478	9.77192	5257180000000	0.0000412866	24220.9
0.00000	0.00000	0.00000	31.6900	9.77551	29.0832	9.77551	5040280000000	0.0000412362	24250.5
0.00000	0.00000	0.00000	31.6263	9.77926	29.0198	9.77926	4836360000000	0.0000413785	24167.1
0.00000	0.00000	0.00000	31.5597	9.78231	28.9538	9.78231	4631950000000	0.0000411576	24296.9
0.00000	0.00000	0.00000	31.4962	9.78471	28.8910	9.78471	4444980000000	0.0000407366	24547.9
0.00000	0.00000	0.00000	31.4323	9.78648	28.8279	9.78648	4264640000000	0.0000400087	24994.6
0.00000	0.00000	0.00000	31.3686	9.78873	28.7650	9.78873	4092010000000	0.0000395809	25264.7
0.00000	0.00000	0.00000	31.3054	9.79115	28.7024	9.79115	3927690000000	0.0000392988	25446.1
0.00000	0.00000	0.00000	31.2418	9.79404	28.6394	9.79404	3768980000000	0.0000393356	25422.2
0.00000	0.00000	0.00000	31.1787	9.79720	28.5768	9.79720	3617940000000	0.0000396194	25240.2
0.00000	0.00000	0.00000	31.1147	9.79963	28.5135	9.79963	3470740000000	0.0000395016	25315.4
0.00000	0.00000	0.00000	31.0515	9.80210	28.4510	9.80210	3331440000000	0.0000395031	25314.4
