Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
4.41724	9.83998	0.00000	40.2435	-0.635931	40.4228	-0.635931	1182630000000000	0.0000792299	12619.2
4.43968	9.84751	-0.463827	40.2540	-0.480262	40.3895	-0.480262	1190100000000000	0.0000809329	12353.6
4.50354	9.85005	-0.470309	40.1423	0.274638	40.0649	0.274638	1113200000000000	0.0000816777	12241.2
5.09757	9.85229	-0.530602	40.0201	0.965584	39.7480	0.965584	1034350000000000	0.0000818017	12222.9
6.85367	9.85234	-0.708843	39.8981	1.60113	39.4470	1.60113	960894000000000	0.0000818542	12215.3
8.64263	9.84665	-0.890667	39.7759	2.18687	39.1600	2.18687	892234000000000	0.0000818226	12220.2
10.6282	9.81763	1.89134	39.6548	2.72231	38.8884	2.72231	828782000000000	0.0000817212	12235.6
12.4516	9.81005	1.76003	39.5342	3.21653	38.6290	3.21653	769849000000000	0.0000815744	12257.8
14.2587	9.80982	1.57733	39.4140	3.67505	38.3800	3.67505	715055000000000	0.0000814036	12283.6
16.0578	9.80799	1.40612	39.2926	4.09342	38.1413	4.09342	663521000000000	0.0000810362	12339.4
17.8621	9.81066	1.20472	39.1741	4.48057	37.9143	4.48057	616647000000000	0.0000807517	12383.0
19.6599	9.82351	0.892867	39.0559	4.84406	37.6943	4.84406	573038000000000	0.0000805008	12421.7
21.4664	9.82275	0.723350	38.9377	5.18003	37.4822	5.18003	532408000000000	0.0000801854	12470.6
23.2600	9.80273	0.706281	38.8234	5.48532	37.2826	5.48532	495770000000000	0.0000799021	12514.9
25.0574	9.81062	0.471610	38.7079	5.76808	37.0882	5.76808	461225000000000	0.0000794966	12578.8
26.8555	9.81914	0.223865	38.5933	6.03279	36.8997	6.03279	429241000000000	0.0000791279	12637.5
27.4430	9.81980	0.156870	38.4811	6.27633	36.7197	6.27633	400026000000000	0.0000787818	12693.0
28.0549	9.81424	0.142683	38.3685	6.50414	36.5437	6.50414	372638000000000	0.0000783997	12754.9
28.6431	9.79726	0.184749	38.2587	6.70865	36.3770	6.70865	347687000000000	0.0000779277	12832.2
29.2414	9.76754	0.227206	38.1516	6.89821	36.2173	6.89821	324936000000000	0.0000775212	12899.5
29.8410	9.73532	0.237253	38.0441	7.07536	36.0607	7.07536	303567000000000	0.0000770641	12976.1
30.4260	9.68481	0.253620	37.9381	7.24053	35.9090	7.24053	283833000000000	0.0000766329	13049.1
31.0175	9.61008	0.268663	37.8327	7.39331	35.7613	7.39331	265455000000000	0.0000761462	13132.5
31.6173	9.51946	0.271892	37.7275	7.53615	35.6167	7.53615	248286000000000	0.0000756373	13220.9
