Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.606801	9.664341	0	39.45148	-0.919138	39.732952	-0.919138	7.31747E+14	4.852488E-5	20607.09476	17.656022	1.091638	0	0
4.612732	9.664193	1.59932	39.404976	-0.555677	39.575151	-0.555677	7.111173E+14	4.883392E-5	20476.729341	17.631722	1.08966	0	0
4.656315	9.669388	-0.497899	39.307768	0.051654	39.291948	0.051654	6.697694E+14	4.890041E-5	20448.980153	17.572004	1.087668	0	0
5.222966	9.664607	1.30895	39.197444	0.697334	38.983841	0.697334	6.256214E+14	4.896617E-5	20421.61389	17.623205	1.084555	0	0
7.488889	9.666087	-0.791159	39.08088	1.329941	38.673452	1.329941	5.820056E+14	4.901002E-5	20403.429645	17.618049	1.084489	0	0
10.012064	9.659983	1.591279	38.965476	1.917863	38.377867	1.917863	5.417055E+14	4.907847E-5	20375.04727	17.652249	1.083566	0	0
12.467776	9.655766	1.497237	38.851934	2.453459	38.100137	2.453459	5.046823E+14	4.912038E-5	20357.72599	17.607813	1.083091	0	0
14.885269	9.654497	1.279742	38.741169	2.93809	37.840768	2.93809	4.709218E+14	4.91369E-5	20350.937851	17.587424	1.081429	0	0
17.289425	9.648334	1.137708	38.630959	3.378217	37.595561	3.378217	4.39501E+14	4.90692E-5	20379.063913	17.6127	1.078329	0	0
19.679832	9.626913	1.064529	38.525584	3.780651	37.366717	3.780651	4.113624E+14	4.906897E-5	20379.198567	17.597577	1.074636	0	0
22.099661	9.626666	0.814497	38.422382	4.146086	37.151365	4.146086	3.855017E+14	4.90294E-5	20395.68042	17.618204	1.070072	0	0
24.485438	9.620403	0.596945	38.318968	4.491094	36.94204	4.491094	3.61175E+14	4.899892E-5	20408.395176	17.597332	1.066128	0	0
26.883126	9.614184	0.373609	38.213789	4.822078	36.735225	4.822078	3.37968E+14	4.898456E-5	20414.406263	17.608015	1.063555	0	0
27.788854	9.613645	0.281542	38.107989	5.131795	36.534288	5.131795	3.160928E+14	4.894456E-5	20431.11465	17.64291	1.059783	0	0
28.685506	9.587294	0.268114	38.000834	5.422961	36.337662	5.422961	2.953482E+14	4.88719E-5	20461.510505	17.593894	1.057145	0	0
29.574114	9.524637	0.287434	37.896783	5.687742	36.152218	5.687742	2.764811E+14	4.879616E-5	20493.286928	17.61309	1.051565	0	0
30.47233	9.416401	0.299242	37.793499	5.936159	35.972546	5.936159	2.58922E+14	4.874205E-5	20516.05456	17.586549	1.046685	0	0
31.346261	9.243974	0.306488	37.689202	6.166846	35.797282	6.166846	2.423013E+14	4.862174E-5	20566.832812	17.608144	1.04125	0	0
32.209417	8.997516	0.304915	37.587601	6.379535	35.630227	6.379535	2.271188E+14	4.85261E-5	20607.382839	17.635715	1.03542	0	0
33.081873	8.603626	0.307406	37.485901	6.579003	35.467116	6.579003	2.128589E+14	4.841959E-5	20652.72153	17.599098	1.03112	0	0
33.921648	8.069554	0.306344	37.385329	6.763252	35.309792	6.763252	1.996243E+14	4.829302E-5	20706.858172	17.635185	1.02587	0	0
34.745298	7.371369	0.304269	37.286749	6.933323	35.158805	6.933323	1.874393E+14	4.816905E-5	20760.159873	17.622346	1.020818	0	0
35.550093	6.499286	0.302163	37.190489	7.09127	35.013854	7.09127	1.762494E+14	4.807373E-5	20801.331031	17.628746	1.015502	0	0
36.324774	5.478451	0.298385	37.094001	7.239423	34.871671	7.239423	1.656946E+14	4.795604E-5	20852.386113	17.646271	1.008841	0	0
37.066779	4.330504	0.29709	36.99596	7.379299	34.730464	7.379299	1.556095E+14	4.779405E-5	20923.064919	17.609113	1.003393	0	0
37.77787	3.084993	0.302562	36.898638	7.511623	34.592288	7.511623	1.461987E+14	4.766376E-5	20980.265068	17.650027	0.996758	0	0
38.413757	1.861095	0.316053	36.801219	7.635849	34.456492	7.635849	1.373422E+14	4.75185E-5	21044.402635	17.638234	0.991456	0	0
38.926637	0.82014	0.33202	36.703652	7.7521	34.32299	7.7521	1.290047E+14	4.734726E-5	21120.518011	17.644265	0.985902	0	0
31.75928	9.133465	0.307772	36.608143	7.860435	34.193976	7.860435	1.213289E+14	4.720436E-5	21184.458264	17.657518	0.979822	0	0
