Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
6.49776	9.88398	0.00000	40.0850	-0.250444	40.1527	-0.250444	1075530000000000	0.0000744828	13424.0
6.53452	9.91182	-0.683010	40.0883	-0.101076	40.1157	-0.101076	1077710000000000	0.0000757500	13199.4
6.56349	9.89842	-0.687236	39.9747	0.616634	39.8077	0.616634	1006440000000000	0.0000762196	13118.3
6.63512	9.91395	-0.692952	39.8532	1.27611	39.5071	1.27611	935153000000000	0.0000762463	13113.9
7.24539	9.90143	-0.755811	39.7322	1.88173	39.2211	1.88173	868866000000000	0.0000762031	13121.6
8.79624	9.87077	1.93380	39.6113	2.45244	38.9442	2.45244	807043000000000	0.0000762167	13119.4
10.5913	9.87680	1.58654	39.4887	2.98290	38.6762	2.98290	748647000000000	0.0000761363	13133.4
12.3542	9.86681	1.66654	39.3677	3.47287	38.4205	3.47287	694996000000000	0.0000760819	13142.9
14.1774	9.86687	1.48054	39.2460	3.91891	38.1757	3.91891	644681000000000	0.0000758510	13183.0
15.9647	9.87157	1.18865	39.1294	4.31371	37.9497	4.31371	599780000000000	0.0000755697	13232.2
17.8197	9.87649	0.865561	39.0156	4.67589	37.7353	4.67589	558854000000000	0.0000753098	13278.0
19.5688	9.86827	0.902265	38.9043	5.01514	37.5295	5.01514	521456000000000	0.0000751664	13303.4
21.4290	9.85871	0.835289	38.7920	5.33247	37.3284	5.33247	486141000000000	0.0000749616	13339.8
23.1709	9.85137	0.706200	38.6805	5.62836	37.1337	5.62836	453352000000000	0.0000747662	13374.7
24.9822	9.83813	0.594118	38.5686	5.90312	36.9444	5.90312	422643000000000	0.0000745124	13420.3
26.7465	9.83361	0.433608	38.4574	6.16160	36.7599	6.16160	394087000000000	0.0000743025	13458.2
27.3392	9.82590	0.400583	38.3493	6.39345	36.5859	6.39345	368159000000000	0.0000740245	13508.8
27.9513	9.82855	0.329248	38.2447	6.60562	36.4206	6.60562	344632000000000	0.0000737787	13553.9
28.5626	9.82554	0.277276	38.1397	6.80438	36.2586	6.80438	322496000000000	0.0000734956	13606.1
29.1460	9.81563	0.248913	38.0355	6.98914	36.1011	6.98914	301915000000000	0.0000731968	13661.7
29.7457	9.78176	0.263007	37.9321	7.16307	35.9473	7.16307	282743000000000	0.0000729306	13711.5
30.3241	9.74038	0.266778	37.8294	7.32287	35.7980	7.32287	264890000000000	0.0000725887	13776.1
