Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
4.45042	9.88601	0.00000	40.2927	-0.825406	40.5245	-0.825406	1217850000000000	0.0000797956	12529.6
4.46506	9.89355	-0.463618	40.2815	-0.479940	40.4163	-0.479940	1209720000000000	0.0000819048	12206.9
4.52242	9.90046	-0.470720	40.1623	0.266180	40.0876	0.266180	1126630000000000	0.0000821950	12164.1
5.13226	9.89598	-0.531498	40.0370	0.970124	39.7648	0.970124	1044930000000000	0.0000822539	12155.7
6.86189	9.89213	-0.705646	39.9100	1.62627	39.4539	1.62627	967877000000000	0.0000822405	12157.9
8.68062	9.88490	1.18689	39.7834	2.22606	39.1594	2.22606	896342000000000	0.0000821259	12175.1
10.6389	9.88881	-1.08705	39.6588	2.77144	38.8822	2.77144	830822000000000	0.0000819581	12200.2
12.4615	9.87521	1.54872	39.5357	3.27670	38.6179	3.27670	770555000000000	0.0000818239	12220.4
14.2601	9.87658	1.33268	39.4103	3.74597	38.3616	3.74597	713437000000000	0.0000815486	12261.8
16.0536	9.86559	1.35760	39.2863	4.17404	38.1183	4.17404	660954000000000	0.0000812114	12312.8
17.8670	9.87716	0.951465	39.1636	4.56830	37.8858	4.56830	612645000000000	0.0000808567	12366.9
19.6599	9.86778	0.965426	39.0445	4.92702	37.6670	4.92702	568990000000000	0.0000805274	12417.6
21.4677	9.86978	0.748105	38.9273	5.25836	37.4578	5.25836	528965000000000	0.0000802229	12464.8
23.2596	9.86399	0.642535	38.8117	5.56394	37.2575	5.56394	492158000000000	0.0000799180	12512.4
25.0606	9.86695	0.428941	38.6947	5.84598	37.0624	5.84598	457430000000000	0.0000794645	12583.9
26.8545	9.88085	-0.0931259	38.5808	6.11144	36.8751	6.11144	425876000000000	0.0000791860	12628.2
27.4472	9.86152	0.237473	38.4675	6.35414	36.6948	6.35414	396599000000000	0.0000788094	12688.6
28.0500	9.86544	0.143363	38.3562	6.57905	36.5215	6.57905	369747000000000	0.0000784709	12743.3
28.6546	9.86159	0.114511	38.2450	6.78720	36.3531	6.78720	344707000000000	0.0000780704	12808.8
29.2435	9.83460	0.195023	38.1356	6.97935	36.1909	6.97935	321670000000000	0.0000776692	12874.9
29.8437	9.80607	0.215117	38.0282	7.15395	36.0356	7.15395	300524000000000	0.0000772006	12953.1
30.4285	9.75749	0.242210	37.9264	7.31172	35.8906	7.31172	281727000000000	0.0000768077	13019.4
31.0219	9.68999	0.257194	37.8241	7.46046	35.7477	7.46046	264006000000000	0.0000763901	13090.6
31.6187	9.59121	0.270471	37.7210	7.59969	35.6066	7.59969	247255000000000	0.0000758998	13175.2
32.2077	9.46991	0.273626	37.6203	7.73121	35.4701	7.73121	231896000000000	0.0000755298	13239.7
32.7940	9.30702	0.276284	37.5184	7.85476	35.3348	7.85476	217323000000000	0.0000750886	13317.5
33.3724	9.09479	0.277737	37.4189	7.96902	35.2043	7.96902	203955000000000	0.0000746702	13392.2
33.9398	8.83368	0.276842	37.3198	8.07549	35.0764	8.07549	191444000000000	0.0000742115	13474.9
