Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
5.449851	9.805313	0	40.145439	-1.812381	40.645636	-1.812381	1.115274E+15	6.737422E-5	14840.408094	18.036578	1.184536	0	0
5.46326	9.807709	-0.55726	40.08322	-1.376905	40.463551	-1.376905	1.074402E+15	6.743273E-5	14827.678347	17.948616	1.183359	0	0
5.494004	9.806053	-0.560462	39.985784	-0.772095	40.199334	-0.772095	1.01319E+15	6.722702E-5	14873.266426	17.964528	1.181389	0	0
5.558503	9.80409	1.692774	39.874937	-0.127473	39.910247	-0.127473	9.475259E+14	6.695023E-5	14934.978239	17.987636	1.178375	0	0
6.04411	9.805437	0.809416	39.758439	0.512577	39.616233	0.512577	8.828312E+14	6.667547E-5	14996.725219	17.989364	1.174924	0	0
7.474062	9.799572	1.894014	39.640078	1.120024	39.32885	1.120024	8.213789E+14	6.637298E-5	15065.251194	17.952627	1.171354	0	0
9.312482	9.742536	2.234416	39.520933	1.68708	39.051383	1.68708	7.636182E+14	6.601563E-5	15146.959834	17.975496	1.169318	0	0
11.328161	9.719661	2.088583	39.400563	2.214483	38.78323	2.214483	7.091889E+14	6.556993E-5	15250.058976	17.986486	1.166859	0	0
13.241182	9.717745	1.896208	39.281206	2.70413	38.526168	2.70413	6.58876E+14	6.511859E-5	15355.876859	17.987325	1.163196	0	0
15.048	9.710025	1.727386	39.164626	3.153667	38.282696	3.153667	6.130348E+14	6.468268E-5	15459.465476	17.952006	1.158489	0	0
16.860334	9.715592	1.528634	39.052636	3.566443	38.053781	3.566443	5.718843E+14	6.433308E-5	15543.560937	17.967571	1.154073	0	0
18.660113	9.706306	1.36279	38.940302	3.952891	37.831556	3.952891	5.33278E+14	6.395141E-5	15636.399208	17.982115	1.14971	0	0
20.460026	9.702195	1.185258	38.826581	4.315187	37.614381	4.315187	4.967545E+14	6.350261E-5	15746.973609	18.002588	1.145757	0	0
22.263671	9.696087	1.010554	38.713186	4.654431	37.403716	4.654431	4.62744E+14	6.305089E-5	15859.848422	17.980926	1.14183	0	0
24.060264	9.694092	0.828783	38.601653	4.969793	37.20139	4.969793	4.314933E+14	6.26272E-5	15967.194333	17.983156	1.138353	0	0
25.854127	9.686561	0.65637	38.49092	5.262295	37.006067	5.262295	4.024938E+14	6.217943E-5	16082.219181	17.99301	1.13428	0	0
26.453063	9.68428	0.598112	38.382736	5.531599	36.819659	5.531599	3.759928E+14	6.174563E-5	16195.244535	17.999896	1.129759	0	0
27.048737	9.680164	0.542815	38.276642	5.78117	36.640752	5.78117	3.516554E+14	6.133042E-5	16304.916748	17.986106	1.124549	0	0
27.639646	9.678964	0.483606	38.170582	6.016365	36.465756	6.016365	3.288616E+14	6.091533E-5	16416.050103	17.992152	1.119856	0	0
28.248344	9.683132	0.414548	38.066285	6.233655	36.297458	6.233655	3.078552E+14	6.049349E-5	16530.546062	18.006961	1.115083	0	0
28.847913	9.676605	0.362297	37.963638	6.436636	36.134747	6.436636	2.884633E+14	6.009845E-5	16639.2271	18.016593	1.110415	0	0
29.443904	9.66041	0.322347	37.860109	6.627633	35.974386	6.627633	2.701167E+14	5.965862E-5	16761.915298	18.006087	1.105008	0	0
30.037962	9.621344	0.304002	37.757626	6.805173	35.818783	6.805173	2.530828E+14	5.920429E-5	16890.56204	18.004946	1.099759	0	0
30.628782	9.552944	0.300576	37.658246	6.969041	35.670129	6.969041	2.375728E+14	5.878695E-5	17010.484926	18.015817	1.09414	0	0
31.217414	9.458607	0.298293	37.561365	7.121897	35.527065	7.121897	2.233527E+14	5.841648E-5	17118.374783	18.022131	1.088679	0	0
31.804158	9.331821	0.295977	37.463766	7.265751	35.385726	7.265751	2.098739E+14	5.800047E-5	17241.165291	18.020752	1.083033	0	0
32.374766	9.169422	0.293481	37.367653	7.401135	35.248236	7.401135	1.973835E+14	5.762038E-5	17354.905807	18.023121	1.077692	0	0
32.945163	8.952535	0.293114	37.272046	7.528231	35.113546	7.528231	1.856859E+14	5.723111E-5	17472.957588	18.032749	1.072126	0	0
33.513847	8.680672	0.291313	37.176423	7.64984	34.980323	7.64984	1.746704E+14	5.687332E-5	17582.885884	18.033345	1.066599	0	0
34.074319	8.344898	0.289648	37.081208	7.764789	34.849347	7.764789	1.64343E+14	5.652512E-5	17691.205283	18.036392	1.060266	0	0
34.626065	7.940669	0.288143	36.986664	7.87168	34.721299	7.87168	1.546853E+14	5.614446E-5	17811.157286	18.031933	1.054356	0	0
35.17499	7.462926	0.286026	36.894177	7.970075	34.597742	7.970075	1.45781E+14	5.574944E-5	17937.365307	18.039241	1.048406	0	0
35.712646	6.909405	0.28547	36.804353	8.061647	34.478829	8.061647	1.376187E+14	5.539187E-5	18053.158614	18.044148	1.042496	0	0
36.243295	6.285487	0.283412	36.715558	8.147765	34.362489	8.147765	1.299946E+14	5.504163E-5	18168.038941	18.055986	1.036387	0	0
36.752927	5.604032	0.282335	36.627645	8.229719	34.248205	8.229719	1.228585E+14	5.472591E-5	18272.854899	18.041482	1.030768	0	0
37.262801	4.851504	0.281658	36.53996	8.306933	34.135476	8.306933	1.161276E+14	5.439331E-5	18384.591742	18.056284	1.024924	0	0
37.752268	4.053522	0.280796	36.453468	8.37996	34.025139	8.37996	1.098465E+14	5.408736E-5	18488.588894	18.053811	1.01949	0	0
38.224196	3.223571	0.283834	36.367826	8.449569	33.916622	8.449569	1.039592E+14	5.381671E-5	18581.571006	18.067477	1.013607	0	0
38.658874	2.399133	0.293727	36.282298	8.517092	33.808785	8.517092	9.839217E+13	5.36046E-5	18655.098384	18.050248	1.008199	0	0
39.058707	1.60574	0.309563	36.196116	8.580705	33.701367	8.580705	9.308192E+13	5.334581E-5	18745.600644	18.066347	1.002857	0	0
39.403077	0.908401	0.332927	36.110882	8.640168	33.596095	8.640168	8.811004E+13	5.307344E-5	18841.803844	18.062987	0.997926	0	0
32.07775	9.256696	0.295898	36.027641	8.695789	33.493961	8.695789	8.350915E+13	5.282376E-5	18930.863716	18.077144	0.99273	0	0
39.894151	0	0	35.944334	8.748038	33.392708	8.748038	7.914367E+13	5.253637E-5	19034.423552	18.059634	0.987983	0	0
0	0	0	35.862971	8.796739	33.294467	8.796739	7.509912E+13	5.225875E-5	19135.542946	18.080178	0.982866	0	0
0	0	0	35.782752	8.843112	33.198058	8.843112	7.131267E+13	5.201551E-5	19225.026182	18.06655	0.977921	0	0
0	0	0	35.702516	8.886564	33.102459	8.886564	6.77154E+13	5.172763E-5	19332.019788	18.083351	0.972646	0	0
0	0	0	35.621529	8.927708	33.006733	8.927708	6.426748E+13	5.13954E-5	19456.987542	18.064988	0.967569	0	0
