Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
5.356152	9.459212	0	38.923086	-1.447926	39.412474	-1.447926	5.275871E+14	3.39481E-5	29456.270461	16.758598	1.155224	0	0
5.475871	9.458957	1.385712	38.861667	-1.018431	39.20558	-1.018431	5.077581E+14	3.401146E-5	29401.42574	16.728934	1.153095	0	0
5.489555	9.459703	0.588781	38.760115	-0.390314	38.891723	-0.390314	4.765376E+14	3.395579E-5	29449.679138	16.709085	1.150278	0	0
5.782401	9.458823	1.398589	38.640284	0.287384	38.543553	0.287384	4.42079E+14	3.382798E-5	29561.003977	16.736247	1.147528	0	0
7.428962	9.451491	1.992159	38.518591	0.919721	38.209574	0.919721	4.095581E+14	3.366011E-5	29708.475685	16.758384	1.146166	0	0
9.9323	9.447716	1.813457	38.401635	1.485641	37.903334	1.485641	3.804969E+14	3.349117E-5	29858.379617	16.751248	1.144909	0	0
12.551853	9.444144	1.592982	38.285986	2.007759	37.61371	2.007759	3.537356E+14	3.331731E-5	30014.223853	16.724257	1.143494	0	0
14.983531	9.44126	1.370254	38.169781	2.498027	37.334781	2.498027	3.286952E+14	3.313922E-5	30175.549945	16.716009	1.141048	0	0
17.389441	9.432715	1.19163	38.053446	2.9568	37.066798	2.9568	3.053617E+14	3.295885E-5	30340.709852	16.725117	1.137649	0	0
19.786996	9.421497	1.005468	37.934628	3.391305	36.804985	3.391305	2.832028E+14	3.275598E-5	30528.644839	16.728457	1.133008	0	0
22.196596	9.41094	0.796647	37.816806	3.791214	36.556165	3.791214	2.627864E+14	3.253907E-5	30732.168796	16.724713	1.128207	0	0
24.591394	9.402044	0.573763	37.69985	4.163636	36.317783	4.163636	2.43949E+14	3.23309E-5	30930.062688	16.728089	1.123777	0	0
26.985886	9.397533	0.333036	37.583711	4.510584	36.089071	4.510584	2.265565E+14	3.213097E-5	31122.534715	16.738835	1.120365	0	0
27.886149	9.392035	0.252851	37.468617	4.827542	35.8717	4.827542	2.105246E+14	3.190048E-5	31347.420394	16.741952	1.116662	0	0
28.783104	9.339544	0.263033	37.354977	5.123567	35.663019	5.123567	1.957918E+14	3.169369E-5	31551.961071	16.733821	1.112087	0	0
29.665569	9.227705	0.290832	37.242954	5.395215	35.464281	5.395215	1.82264E+14	3.1476E-5	31770.182526	16.726308	1.106652	0	0
30.555999	9.040494	0.30822	37.132793	5.645507	35.274684	5.645507	1.698609E+14	3.125924E-5	31990.494692	16.737262	1.100899	0	0
31.424368	8.764762	0.315756	37.022926	5.880347	35.090722	5.880347	1.583214E+14	3.104747E-5	32208.698465	16.747698	1.095173	0	0
32.286287	8.370768	0.318331	36.913354	6.09918	34.912552	6.09918	1.475846E+14	3.082689E-5	32439.175076	16.755453	1.089407	0	0
33.139368	7.829461	0.320046	36.803944	6.304124	34.739326	6.304124	1.375826E+14	3.060442E-5	32674.982352	16.755025	1.083986	0	0
33.967625	7.138518	0.320614	36.695025	6.495259	34.571311	6.495259	1.282921E+14	3.037809E-5	32918.431147	16.756224	1.078736	0	0
34.778985	6.293957	0.319963	36.587478	6.673541	34.409025	6.673541	1.197285E+14	3.016475E-5	33151.251583	16.766906	1.073142	0	0
35.565269	5.320008	0.31805	36.48158	6.838967	34.252712	6.838967	1.118502E+14	2.995897E-5	33378.968853	16.766349	1.06735	0	0
36.333159	4.22816	0.313214	36.377431	6.992789	34.102035	6.992789	1.046035E+14	2.976534E-5	33596.103219	16.770712	1.060843	0	0
37.047002	3.066438	0.317997	36.272971	7.136031	33.954656	7.136031	9.780325E+13	2.954625E-5	33845.231691	16.769473	1.054601	0	0
37.699305	1.90379	0.331852	36.170373	7.269991	33.81223	7.269991	9.15516E+13	2.935002E-5	34071.513534	16.780186	1.048492	0	0
38.228069	0.906216	0.354392	36.066909	7.396856	33.671404	7.396856	8.564907E+13	2.914681E-5	34309.055672	16.786379	1.042686	0	0
30.919931	8.937701	0.312171	35.963331	7.51622	33.533023	7.51622	8.011877E+13	2.893979E-5	34554.495813	16.789543	1.036802	0	0
38.721813	0	0	35.861207	7.627632	33.39873	7.627632	7.501374E+13	2.874399E-5	34789.876428	16.787505	1.030917	0	0
0	0	0	35.760161	7.731533	33.268008	7.731533	7.028104E+13	2.855006E-5	35026.18359	16.797447	1.024754	0	0
0	0	0	35.657759	7.828548	33.138303	7.828548	6.57878E+13	2.831476E-5	35317.263865	16.803196	1.018711	0	0
0	0	0	35.559506	7.916542	33.015582	7.916542	6.174556E+13	2.809083E-5	35598.803552	16.804187	1.012549	0	0
0	0	0	35.464831	7.998308	32.89838	7.998308	5.808456E+13	2.790429E-5	35836.778127	16.808538	1.00636	0	0
0	0	0	35.372818	8.07421	32.785689	8.07421	5.473373E+13	2.773553E-5	36054.835102	16.812243	1.000475	0	0
0	0	0	35.28025	8.146995	32.673532	8.146995	5.155691E+13	2.757485E-5	36264.926914	16.816694	0.994828	0	0
0	0	0	35.188024	8.216539	32.562806	8.216539	4.857452E+13	2.743365E-5	36451.577452	16.820449	0.989129	0	0
0	0	0	35.096387	8.2829	32.453723	8.2829	4.578143E+13	2.731485E-5	36610.115953	16.821757	0.983389	0	0
0	0	0	35.004031	8.343756	32.345766	8.343756	4.312835E+13	2.713577E-5	36851.721755	16.822129	0.977531	0	0
0	0	0	34.91406	8.402173	32.240925	8.402173	4.069122E+13	2.701729E-5	37013.329939	16.823256	0.971686	0	0
0	0	0	34.82399	8.455908	32.13753	8.455908	3.838895E+13	2.68538E-5	37238.673624	16.833165	0.965867	0	0
0	0	0	34.735244	8.507153	32.036241	8.507153	3.624757E+13	2.672066E-5	37424.225217	16.829346	0.960366	0	0
