Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.041433	5.192035	0	45.062361	-0.271804	45.093918	-0.271804	8.65355E+14	7.136732E-5	14010.773153	1.521073E+16	9.666967E+13	6.853836E-5	12.54308	1.155041	0	0
4.0537	5.191098	1.770397	44.920152	0.09344	44.907098	0.09344	8.141718E+14	7.195624E-5	13896.234583	1.497069E+16	0	0	12.513142	1.152348	0	0
5.013878	5.190128	2.321985	44.771621	0.45072	44.697549	0.45072	7.634796E+14	7.256072E-5	13780.592846	1.473295E+16	0	0	12.534796	1.146906	0	0
10.101407	5.182783	3.21459	44.624691	0.784742	44.476594	0.784742	7.160048E+14	7.320604E-5	13659.224404	1.45103E+16	0	0	12.551494	1.143477	0	0
15.477756	5.17389	2.85831	44.48204	1.084191	44.25177	1.084191	6.723522E+14	7.375405E-5	13557.827202	1.430557E+16	0	0	12.536884	1.140273	0	0
20.830319	5.156331	2.353094	44.340011	1.358238	44.019528	1.358238	6.311813E+14	7.418703E-5	13478.784444	1.411249E+16	0	0	12.546234	1.134607	0	0
26.182809	5.070385	2.050809	44.199762	1.613633	43.781467	1.613633	5.9268E+14	7.463356E-5	13398.215856	1.393192E+16	0	0	12.557734	1.126096	0	0
27.047377	5.039439	2.005826	44.058418	1.853518	43.534471	1.853518	5.559547E+14	7.503931E-5	13325.835064	1.375968E+16	0	0	12.578865	1.117633	0	0
27.903011	5.005517	1.948299	43.918332	2.073879	43.28389	2.073879	5.215279E+14	7.536725E-5	13267.911522	1.359823E+16	0	0	12.597587	1.110257	0	0
28.769442	4.967741	1.878848	43.779096	2.274283	43.030805	2.274283	4.891729E+14	7.554696E-5	13236.402171	1.344649E+16	0	0	12.601181	1.101282	0	0
29.628504	4.930995	1.791302	43.644972	2.457575	42.781683	2.457575	4.596882E+14	7.57521E-5	13200.603213	1.330821E+16	0	0	12.624492	1.090669	0	0
30.491612	4.891149	1.697793	43.509901	2.628504	42.52766	2.628504	4.315926E+14	7.586445E-5	13181.095071	1.317644E+16	0	0	12.650115	1.079897	0	0
31.34999	4.852218	1.593205	43.375222	2.788509	42.270877	2.788509	4.051062E+14	7.594916E-5	13166.430425	1.305222E+16	0	0	12.669972	1.069868	0	0
32.21269	4.812939	1.479467	43.241376	2.93743	42.012818	2.93743	3.80229E+14	7.599375E-5	13158.737365	1.293555E+16	0	0	12.688133	1.060158	0	0
33.076886	4.772022	1.359137	43.113084	3.076691	41.760789	3.076691	3.576774E+14	7.619272E-5	13124.400945	1.282979E+16	0	0	12.703821	1.049649	0	0
33.931948	4.730941	1.23578	42.9778	3.206958	41.496265	3.206958	3.352069E+14	7.609191E-5	13141.814268	1.272441E+16	0	0	12.731633	1.038661	0	0
34.798163	4.683945	1.109519	42.844052	3.328291	41.232603	3.328291	3.142533E+14	7.597953E-5	13161.276138	1.262614E+16	0	0	12.7524	1.028392	0	0
35.652174	4.632776	0.983287	42.711219	3.442135	40.968786	3.442135	2.946267E+14	7.586857E-5	13180.544601	1.253409E+16	0	0	12.769003	1.018354	0	0
36.509	4.556557	0.874295	42.579758	3.546854	40.706951	3.546854	2.763094E+14	7.568066E-5	13213.288983	1.244818E+16	0	0	12.787866	1.008109	0	0
37.357656	4.438524	0.791175	42.449587	3.64444	40.446539	3.64444	2.592048E+14	7.547252E-5	13249.744895	1.236797E+16	0	0	12.807551	0.99768	0	0
38.195325	4.262027	0.735426	42.320821	3.734743	40.188349	3.734743	2.432476E+14	7.521506E-5	13295.112136	1.229313E+16	0	0	12.821062	0.987803	0	0
39.022416	4.00285	0.708977	42.192415	3.819671	39.930069	3.819671	2.282421E+14	7.494272E-5	13343.437784	1.222275E+16	0	0	12.838713	0.978189	0	0
39.797842	3.686339	0.696876	42.063257	3.899027	39.670353	3.899027	2.140178E+14	7.458504E-5	13407.437688	1.215604E+16	0	0	12.853023	0.968751	0	0
40.572703	3.308707	0.686568	41.935226	3.972238	39.413009	3.972238	2.007351E+14	7.415473E-5	13485.249619	1.209375E+16	0	0	12.874498	0.958978	0	0
41.340094	2.87118	0.677003	41.808763	4.041538	39.15774	4.041538	1.883738E+14	7.377989E-5	13553.769689	1.203578E+16	0	0	12.888497	0.949508	0	0
42.084896	2.386066	0.66668	41.682611	4.106408	38.903083	4.106408	1.76756E+14	7.336628E-5	13630.187363	1.198129E+16	0	0	12.898057	0.940094	0	0
42.806657	1.864528	0.670714	41.55801	4.16695	38.651356	4.16695	1.659447E+14	7.294683E-5	13708.569908	1.193059E+16	0	0	12.90304	0.930927	0	0
43.43473	1.361848	0.686419	41.433377	4.223431	38.399986	4.223431	1.557564E+14	7.246073E-5	13800.537574	1.188281E+16	0	0	12.909103	0.921569	0	0
43.993969	0.893496	0.69114	41.309756	4.276398	38.150609	4.276398	1.462373E+14	7.196772E-5	13895.08318	1.183816E+16	0	0	12.909173	0.912203	0	0
44.447539	0.497351	0.666977	41.187622	4.325684	37.904406	4.325684	1.373763E+14	7.145312E-5	13995.159582	1.179661E+16	0	0	12.909573	0.903077	0	0
35.64693	4.630036	0.987465	41.064688	4.372041	37.657108	4.372041	1.289744E+14	7.087544E-5	14109.232008	1.17572E+16	0	0	12.907302	0.893839	0	0
44.957688	0	0	40.941427	4.416197	37.409113	4.416197	1.210435E+14	7.030291E-5	14224.13865	1.172001E+16	0	0	12.897527	0.884976	0	0
0	0	0	40.819913	4.457502	37.164691	4.457502	1.136828E+14	6.974076E-5	14338.796092	1.168549E+16	0	0	12.886987	0.876178	0	0
0	0	0	40.698694	4.496977	36.920654	4.496977	1.067684E+14	6.921888E-5	14446.906864	1.165306E+16	0	0	12.86955	0.867387	0	0
0	0	0	40.578667	4.536064	36.677453	4.536064	1.003211E+14	6.891449E-5	14510.719603	1.162282E+16	0	0	12.841073	0.858996	0	0
0	0	0	40.458918	4.570043	36.437678	4.570043	9.426308E+13	6.829046E-5	14643.319117	1.159441E+16	0	0	12.820181	0.850573	0	0
0	0	0	40.339038	4.603137	36.197119	4.603137	8.855267E+13	6.77586E-5	14758.262082	1.156763E+16	0	0	12.793903	0.842174	0	0
0	0	0	40.220612	4.633827	35.960025	4.633827	8.324056E+13	6.719579E-5	14881.872313	1.154272E+16	0	0	12.765829	0.833871	0	0
0	0	0	40.100895	4.662328	35.721492	4.662328	7.818476E+13	6.651044E-5	15035.222608	1.1519E+16	0	0	12.735468	0.825871	0	0
0	0	0	39.982649	4.689204	35.486001	4.689204	7.348408E+13	6.58528E-5	15185.374763	1.149696E+16	0	0	12.70491	0.817792	0	0
0	0	0	39.865725	4.714707	35.253155	4.714707	6.910656E+13	6.52388E-5	15328.293898	1.147643E+16	0	0	12.67217	0.809888	0	0
0	0	0	39.749505	4.738488	35.022294	4.738488	6.50073E+13	6.458667E-5	15483.064876	1.14572E+16	0	0	12.650929	0.802001	0	0
0	0	0	39.633447	4.761381	34.79171	4.761381	6.115069E+13	6.398475E-5	15628.718069	1.143912E+16	0	0	12.604196	0.794113	0	0
0	0	0	39.517618	4.782994	34.561981	4.782994	5.752468E+13	6.337105E-5	15780.071203	1.142211E+16	0	0	12.567569	0.786369	0	0
0	0	0	39.403782	4.803025	34.336673	4.803025	5.416617E+13	6.274373E-5	15937.842833	1.140636E+16	0	0	12.527433	0.778897	0	0
0	0	0	39.289097	4.821825	34.110399	4.821825	5.097687E+13	6.204815E-5	16116.511664	1.13914E+16	0	0	12.479093	0.771561	0	0
0	0	0	39.172827	4.839758	33.881503	4.839758	4.793152E+13	6.131118E-5	16310.23389	1.137712E+16	0	0	12.436003	0.764353	0	0
0	0	0	39.060052	4.856663	33.659369	4.856663	4.514853E+13	6.066246E-5	16484.656322	1.136407E+16	0	0	12.387234	0.757136	0	0
0	0	0	38.948274	4.872427	33.439695	4.872427	4.254691E+13	5.998656E-5	16670.39889	1.135187E+16	0	0	12.340255	0.750024	0	0
0	0	0	38.836774	4.887209	33.221068	4.887209	4.009872E+13	5.927648E-5	16870.094479	1.134039E+16	0	0	12.287137	0.742959	0	0
0	0	0	38.726221	4.901266	33.004458	4.901266	3.780833E+13	5.859265E-5	17066.984865	1.132964E+16	0	0	12.234821	0.736007	0	0
0	0	0	38.61508	4.914705	32.786999	4.914705	3.563572E+13	5.790172E-5	17270.643342	1.131946E+16	0	0	12.179596	0.729102	0	0
0	0	0	38.50572	4.927466	32.573095	4.927466	3.361817E+13	5.725839E-5	17464.686582	1.130999E+16	0	0	12.126685	0.722102	0	0
0	0	0	38.395445	4.939353	32.358132	4.939353	3.169792E+13	5.652752E-5	17690.497911	1.130099E+16	0	0	12.064303	0.715261	0	0
0	0	0	38.284598	4.950903	32.142111	4.950903	2.987689E+13	5.583214E-5	17910.828852	1.129245E+16	0	0	12.005847	0.708436	0	0
0	0	0	38.174813	4.961651	31.928612	4.961651	2.817527E+13	5.510848E-5	18146.025319	1.128447E+16	0	0	11.947057	0.701763	0	0
0	0	0	38.065616	4.971744	31.716629	4.971744	2.657788E+13	5.436605E-5	18393.830745	1.127698E+16	0	0	11.882591	0.695162	0	0
