Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.989792	4.565567	0	44.573531	-0.157527	44.670487	-0.157527	2.87774E+14	2.745541E-5	36422.557841	3.511801E+16	1.724377E+13	2.237415E-5	11.392425	1.116431	0	0
5.063889	4.564694	2.341901	44.433396	0.173187	44.325513	0.173187	2.675033E+14	2.744304E-5	36438.986373	3.502294E+16	0	0	11.378511	1.114453	0	0
4.787886	4.563492	3.491814	44.298015	0.476187	43.997964	0.476187	2.492352E+14	2.746343E-5	36411.954472	3.493727E+16	0	0	11.393212	1.111246	0	0
10.24361	4.552955	4.329118	44.161474	0.758087	43.678299	0.758087	2.32037E+14	2.746139E-5	36414.677516	3.485661E+16	0	0	11.396121	1.109779	0	0
15.814709	4.539172	3.717206	44.027089	1.013155	43.374116	1.013155	2.162378E+14	2.742908E-5	36457.574381	3.478252E+16	0	0	11.38091	1.107123	0	0
21.382396	4.53275	2.648599	43.897049	1.2438	43.08684	1.2438	2.019481E+14	2.739513E-5	36502.764801	3.47155E+16	0	0	11.395717	1.10185	0	0
26.948733	4.526793	1.534346	43.765881	1.461985	42.803367	1.461985	1.884678E+14	2.736383E-5	36544.53942	3.465228E+16	0	0	11.404361	1.095286	0	0
27.824779	4.520613	1.437795	43.632003	1.667957	42.522031	1.667957	1.756153E+14	2.731023E-5	36616.261712	3.4592E+16	0	0	11.410997	1.089208	0	0
28.699813	4.51763	1.285116	43.50224	1.857478	42.253353	1.857478	1.639773E+14	2.728499E-5	36650.143154	3.453742E+16	0	0	11.417248	1.083138	0	0
29.553971	4.510126	1.188286	43.373082	2.030701	41.993804	2.030701	1.531442E+14	2.722378E-5	36732.552732	3.448661E+16	0	0	11.408863	1.075274	0	0
30.428324	4.500594	1.09132	43.2435	2.192692	41.739111	2.192692	1.429812E+14	2.715233E-5	36829.215261	3.443895E+16	0	0	11.418771	1.065726	0	0
31.276838	4.481208	1.056785	43.113639	2.344298	41.489074	2.344298	1.334612E+14	2.707427E-5	36935.409151	3.43943E+16	0	0	11.431673	1.056434	0	0
32.142589	4.452103	1.033109	42.98899	2.486113	41.249698	2.486113	1.249101E+14	2.706769E-5	36944.393397	3.43542E+16	0	0	11.433546	1.047373	0	0
32.991478	4.413743	1.006544	42.861024	2.617105	41.012312	2.617105	1.166924E+14	2.698693E-5	37054.958029	3.431566E+16	0	0	11.441497	1.037921	0	0
33.84694	4.365335	0.967471	42.73038	2.738787	40.776717	2.738787	1.08852E+14	2.685055E-5	37243.164905	3.427889E+16	0	0	11.457185	1.027623	0	0
34.7017	4.29934	0.931902	42.603492	2.851966	40.549884	2.851966	1.01735E+14	2.675245E-5	37379.738707	3.424551E+16	0	0	11.464828	1.017206	0	0
35.503748	4.21831	0.896262	42.479415	2.956098	40.331353	2.956098	9.521996E+13	2.665928E-5	37510.373829	3.421496E+16	0	0	11.475509	1.00738	0	0
36.337308	4.106952	0.862325	42.357166	3.052171	40.119486	3.052171	8.920432E+13	2.65605E-5	37649.881291	3.418675E+16	0	0	11.47588	0.997705	0	0
37.164759	3.9589	0.833597	42.234787	3.141108	39.911496	3.141108	8.355863E+13	2.643288E-5	37831.658566	3.416027E+16	0	0	11.479247	0.987718	0	0
37.987394	3.769204	0.806906	42.112914	3.224971	39.70673	3.224971	7.82877E+13	2.631471E-5	38001.54273	3.413555E+16	0	0	11.485756	0.977923	0	0
38.797617	3.532192	0.782617	41.989931	3.304025	39.503193	3.304025	7.33024E+13	2.618299E-5	38192.719714	3.411217E+16	0	0	11.49775	0.968145	0	0
39.655734	3.240083	0.744639	41.866784	3.377448	39.302706	3.377448	6.862561E+13	2.60273E-5	38421.19014	3.409023E+16	0	0	11.500868	0.95902	0	0
40.389411	2.896601	0.737742	41.746055	3.445303	39.108381	3.445303	6.43279E+13	2.58751E-5	38647.179601	3.407008E+16	0	0	11.507891	0.949608	0	0
41.164315	2.493169	0.71834	41.626191	3.509062	38.917376	3.509062	6.032513E+13	2.57294E-5	38866.034422	3.405131E+16	0	0	11.508833	0.94014	0	0
41.975195	1.997796	0.705623	41.506475	3.569122	38.728614	3.569122	5.657398E+13	2.558387E-5	39087.122813	3.403371E+16	0	0	11.508724	0.930816	0	0
42.703694	1.486429	0.716729	41.386856	3.625781	38.541873	3.625781	5.30572E+13	2.544009E-5	39308.038988	3.401722E+16	0	0	11.510275	0.921827	0	0
43.360927	0.980491	0.732675	41.26696	3.67828	38.357372	3.67828	4.975013E+13	2.526582E-5	39579.165222	3.400171E+16	0	0	11.510542	0.912909	0	0
43.897245	0.535217	0.74294	41.15002	3.727548	38.178321	3.727548	4.672203E+13	2.512295E-5	39804.235746	3.398751E+16	0	0	11.513	0.903936	0	0
35.269781	4.244653	0.906055	41.031855	3.773633	37.999744	3.773633	4.384825E+13	2.494975E-5	40080.556444	3.397403E+16	0	0	11.518975	0.894835	0	0
44.508383	0	0	40.914164	3.817078	37.823297	3.817078	4.116072E+13	2.477997E-5	40355.173026	3.396143E+16	0	0	11.52647	0.88571	0	0
0	0	0	40.796261	3.857473	37.64854	3.857473	3.863264E+13	2.45848E-5	40675.540318	3.394957E+16	0	0	11.526276	0.876928	0	0
0	0	0	40.680073	3.895875	37.476986	3.895875	3.629252E+13	2.441995E-5	40950.117563	3.39386E+16	0	0	11.524197	0.868011	0	0
0	0	0	40.565404	3.9313	37.30926	3.9313	3.412138E+13	2.424138E-5	41251.776317	3.392841E+16	0	0	11.524318	0.859197	0	0
0	0	0	40.451633	3.965927	37.142856	3.965927	3.209506E+13	2.411853E-5	41461.887833	3.391891E+16	0	0	11.520456	0.850623	0	0
0	0	0	40.336751	3.999068	36.975937	3.999068	3.017053E+13	2.399865E-5	41669.017413	3.390988E+16	0	0	11.519081	0.841968	0	0
0	0	0	40.222507	4.029066	36.812046	4.029066	2.837068E+13	2.382881E-5	41966.003996	3.390144E+16	0	0	11.519477	0.833625	0	0
0	0	0	40.10952	4.057599	36.65057	4.057599	2.669589E+13	2.368163E-5	42226.827348	3.389359E+16	0	0	11.516917	0.825226	0	0
0	0	0	39.997236	4.084048	36.491395	4.084048	2.512913E+13	2.35162E-5	42523.884302	3.388624E+16	0	0	11.515865	0.817059	0	0
