Carrier_Density_(cm-3)	Lifetime_(s)
2.877042000000000000e+14	2.589431999999999842e-05
2.679723000000000000e+14	2.587886999999999843e-05
2.496753000000000000e+14	2.588120999999999949e-05
2.325650000000000000e+14	2.587684999999999942e-05
2.164355000000000000e+14	2.583251000000000113e-05
2.018083000000000000e+14	2.579614999999999865e-05
1.881848000000000000e+14	2.575460999999999972e-05
1.752211000000000000e+14	2.571579000000000134e-05
1.632177000000000000e+14	2.564780999999999932e-05
1.521571000000000000e+14	2.557959000000000084e-05
1.419133000000000000e+14	2.549984999999999947e-05
1.325263000000000000e+14	2.540674000000000131e-05
1.240331000000000000e+14	2.536171999999999949e-05
1.160586000000000000e+14	2.530450000000000142e-05
1.083149000000000000e+14	2.516884000000000143e-05
1.012757000000000000e+14	2.507036000000000030e-05
9.472448000000000000e+13	2.495998000000000018e-05
8.865156000000000000e+13	2.486026000000000040e-05
8.288184000000000000e+13	2.472642999999999968e-05
7.755824000000000000e+13	2.459485000000000051e-05
7.269198000000000000e+13	2.446880999999999926e-05
6.809547000000000000e+13	2.432438999999999972e-05
6.379883000000000000e+13	2.416652999999999849e-05
5.982819000000000000e+13	2.401962000000000094e-05
5.612000000000000000e+13	2.388043000000000134e-05
5.265201000000000000e+13	2.372904999999999942e-05
4.943935000000000000e+13	2.358625000000000139e-05
4.641619000000000000e+13	2.342913000000000111e-05
4.357450000000000000e+13	2.325960000000000004e-05
4.093204000000000000e+13	2.310730999999999883e-05
3.839937000000000000e+13	2.291744999999999858e-05
3.608949000000000000e+13	2.275805000000000143e-05
3.394862000000000000e+13	2.259114000000000068e-05
3.194937000000000000e+13	2.247962999999999944e-05
3.007662000000000000e+13	2.236810000000000019e-05
2.832617000000000000e+13	2.219783999999999888e-05
2.669319000000000000e+13	2.207835999999999913e-05
2.515203000000000000e+13	2.191949999999999910e-05
2.368017000000000000e+13	2.173462000000000164e-05
2.229888000000000000e+13	2.154969000000000069e-05
2.102328000000000000e+13	2.138764999999999842e-05
1.982726000000000000e+13	2.121117999999999975e-05
1.871410000000000000e+13	2.107008999999999938e-05
1.765271000000000000e+13	2.091790999999999909e-05
1.666664000000000000e+13	2.073714999999999847e-05
1.573511000000000000e+13	2.057321999999999951e-05
1.484795000000000000e+13	2.036466999999999962e-05
1.400936000000000000e+13	2.018056999999999913e-05
1.323681000000000000e+13	2.000600999999999855e-05
1.250238000000000000e+13	1.982443000000000155e-05
1.181499000000000000e+13	1.963788999999999978e-05
1.116809000000000000e+13	1.947214999999999957e-05
1.054837000000000000e+13	1.927386999999999983e-05
9.972127000000000000e+12	1.907798999999999858e-05
9.428988000000000000e+12	1.891294999999999991e-05
8.913823000000000000e+12	1.870087000000000040e-05
8.426771000000000000e+12	1.849461999999999878e-05
7.970028000000000000e+12	1.830018000000000001e-05
7.541540000000000000e+12	1.812240999999999849e-05
7.134052000000000000e+12	1.792730000000000029e-05
6.749632000000000000e+12	1.774283999999999833e-05
6.384444000000000000e+12	1.754010999999999900e-05
6.039265000000000000e+12	1.731293000000000027e-05
5.712078000000000000e+12	1.712615999999999935e-05
5.406370000000000000e+12	1.693397999999999944e-05
5.108125000000000000e+12	1.671317999999999979e-05
4.832459000000000000e+12	1.650432999999999924e-05
4.574242000000000000e+12	1.631673000000000124e-05
4.327561000000000000e+12	1.608949999999999901e-05
4.094609000000000000e+12	1.589463000000000066e-05
3.871900000000000000e+12	1.569625000000000070e-05
3.663464000000000000e+12	1.548495000000000156e-05
3.463583000000000000e+12	1.526221999999999903e-05
3.276134000000000000e+12	1.504645000000000059e-05
3.095682000000000000e+12	1.484877000000000047e-05
2.924107000000000000e+12	1.460966000000000066e-05
2.764916000000000000e+12	1.439699999999999955e-05
2.614135000000000000e+12	1.417197999999999945e-05
2.470526000000000000e+12	1.397558000000000079e-05
2.335588000000000000e+12	1.375431999999999946e-05
2.206108000000000000e+12	1.351740000000000038e-05
2.084116000000000000e+12	1.330500000000000051e-05
1.968122000000000000e+12	1.309822000000000078e-05
1.856040000000000000e+12	1.284942999999999973e-05
1.753247000000000000e+12	1.259822000000000048e-05
1.656000000000000000e+12	1.240897999999999956e-05
1.563745000000000000e+12	1.218267000000000071e-05
1.475807000000000000e+12	1.194324000000000053e-05
1.392851000000000000e+12	1.172875999999999915e-05
1.313732000000000000e+12	1.148817999999999984e-05
1.238889000000000000e+12	1.122997999999999950e-05
1.166773000000000000e+12	1.100296000000000011e-05
1.098592000000000000e+12	1.075324000000000006e-05
1.034358000000000000e+12	1.047611000000000023e-05
9.737851000000000000e+11	1.029861999999999966e-05
9.157718000000000000e+11	1.002801999999999924e-05
8.612522000000000000e+11	9.805484000000000799e-06
8.092346000000000000e+11	9.610782999999999696e-06
7.599826000000000000e+11	9.349707000000000436e-06
7.134569000000000000e+11	9.122325000000000789e-06
6.684264000000000000e+11	8.857666000000000245e-06
6.263927000000000000e+11	8.621380999999999847e-06
5.869398000000000000e+11	8.378304999999999398e-06
5.494522000000000000e+11	8.185270000000000661e-06
5.138550000000000000e+11	7.921759000000000466e-06
4.803475000000000000e+11	7.711383999999999960e-06
4.488186000000000000e+11	7.506795999999999743e-06
4.187302000000000000e+11	7.255715000000000038e-06
3.901313000000000000e+11	7.021814000000000225e-06
3.634920000000000000e+11	6.799569000000000289e-06
3.382025000000000000e+11	6.549877000000000173e-06
3.142642000000000000e+11	6.347718999999999694e-06
2.923737000000000000e+11	6.173695000000000358e-06
2.726692000000000000e+11	5.920214999999999865e-06
2.529960000000000000e+11	5.800347000000000422e-06
2.344686000000000000e+11	5.535969000000000224e-06
2.171868000000000000e+11	5.321813000000000169e-06
2.010792000000000000e+11	5.112809000000000026e-06
1.859609000000000000e+11	4.862138999999999596e-06
1.717652000000000000e+11	4.720218999999999606e-06
1.584796000000000000e+11	4.499332000000000309e-06
1.458837000000000000e+11	4.348584999999999972e-06
1.342912000000000000e+11	4.154980000000000324e-06
1.234454000000000000e+11	3.945480000000000043e-06
1.134063000000000000e+11	3.730381000000000004e-06
1.039779000000000000e+11	3.583378999999999916e-06
9.525079000000000000e+10	3.408136999999999994e-06
8.708377000000000000e+10	3.195116999999999956e-06
7.952215000000000000e+10	3.069417999999999858e-06
7.254213000000000000e+10	2.926152999999999799e-06
6.605509000000000000e+10	2.794477999999999912e-06
