Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
5.47487	3.82303	0.00000	65.0732	0.704954	63.8724	0.704954	2995030000000000	0.000432829	2295.49
6.02921	3.82022	7.85160	67.1930	0.319146	66.5890	0.319146	5323910000000000	0.000684674	1413.50
8.43953	3.81210	10.2392	67.9623	0.150106	67.6679	0.150106	6478310000000000	0.000794790	1188.53
10.9790	3.81370	9.34784	68.2109	0.178607	67.8566	0.178607	6894050000000000	0.000852410	1094.25
13.6854	3.81135	8.95120	68.2335	0.313895	67.6103	0.313895	6933000000000000	0.000890274	1043.46
16.5677	3.80975	8.39488	68.1564	0.495858	67.1754	0.495858	6801110000000000	0.000921101	1008.87
19.4478	3.80483	8.16273	68.0315	0.693737	66.6667	0.693737	6591800000000000	0.000949205	981.383
22.4406	3.80346	7.48355	67.8848	0.887974	66.1495	0.887974	6353200000000000	0.000975391	958.227
25.3628	3.80407	6.67101	67.7257	1.07178	65.6464	1.07178	6102580000000000	0.000999505	938.674
28.2302	3.80406	5.91866	67.5659	1.24677	65.1649	1.24677	5859540000000000	0.00102489	918.724
31.1016	3.80203	5.30851	67.4005	1.41065	64.7047	1.41065	5616570000000000	0.00104912	900.809
34.0139	3.79913	4.71918	67.2356	1.56226	64.2731	1.56226	5382970000000000	0.00107292	883.932
36.9177	3.79795	4.01865	67.0691	1.70294	63.8651	1.70294	5155370000000000	0.00109574	868.505
37.8281	3.79631	3.86580	66.9074	1.83242	63.4863	1.83242	4942220000000000	0.00111876	853.300
38.7778	3.79371	3.73699	66.7430	1.95513	63.1214	1.95513	4733090000000000	0.00114181	838.616
39.7290	3.79481	3.43769	66.5788	2.06777	62.7789	2.06777	4531740000000000	0.00116339	825.466
40.6620	3.79507	3.17913	66.4177	2.17275	62.4560	2.17275	4341060000000000	0.00118533	812.363
41.6348	3.79132	3.08297	66.2539	2.27021	62.1477	2.27021	4154190000000000	0.00120550	800.885
42.5809	3.79089	2.84726	66.0962	2.36074	61.8595	2.36074	3980750000000000	0.00122669	788.898
43.5674	3.78548	2.77168	65.9325	2.44639	61.5778	2.44639	3807030000000000	0.00124615	778.416
44.4855	3.78487	2.54845	65.7725	2.52467	61.3146	2.52467	3643400000000000	0.00126448	768.803
45.4355	3.78217	2.37921	65.6133	2.59889	61.0612	2.59889	3486400000000000	0.00128336	759.027
46.3769	3.77698	2.26792	65.4566	2.66782	60.8210	2.66782	3337390000000000	0.00130181	749.675
47.3306	3.77088	2.15500	65.3005	2.73244	60.5907	2.73244	3194240000000000	0.00131980	740.756
48.2896	3.76185	2.07372	65.1446	2.79333	60.3687	2.79333	3056440000000000	0.00133753	732.138
49.2151	3.75224	1.98040	64.9889	2.84889	60.1576	2.84889	2923730000000000	0.00135243	725.217
50.1697	3.74135	1.87327	64.8363	2.89989	59.9580	2.89989	2798340000000000	0.00136594	719.096
51.1149	3.72702	1.78292	64.6842	2.94874	59.7637	2.94874	2677880000000000	0.00138018	712.638
52.0652	3.71591	1.63575	64.5345	2.99482	59.5771	2.99482	2563460000000000	0.00139473	706.077
53.0152	3.69894	1.52298	64.3823	3.03866	59.3937	3.03866	2451390000000000	0.00140828	700.111
