Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.338033	3.738913	0	64.60771	-0.491916	65.296219	-0.491916	2.218319E+15	0.000236	4224.347639	14.856627	1.121433	0	0
4.927656	3.737078	6.054654	64.770281	-0.413201	65.343578	-0.413201	2.33505E+15	0.000253	3937.068093	14.835182	1.120249	0	0
9.462268	3.715061	9.503972	64.689138	-0.19666	64.963192	-0.19666	2.276157E+15	0.000261	3828.496762	14.836286	1.116825	0	0
13.794195	3.708294	8.728802	64.52032	0.066165	64.427279	0.066165	2.157628E+15	0.000265	3769.835703	14.833231	1.114114	0	0
18.303761	3.636194	9.375603	64.321772	0.316489	63.872013	0.316489	2.024931E+15	0.000267	3743.965345	14.834354	1.11219	0	0
22.43323	3.683449	7.298181	64.122245	0.54175	63.344264	0.54175	1.898608E+15	0.000268	3731.047279	14.857877	1.111529	0	0
26.760398	3.681886	6.164199	63.920553	0.754551	62.825566	0.754551	1.777786E+15	0.000268	3720.120635	14.836424	1.110472	0	0
31.081715	3.678667	5.071895	63.719433	0.954768	62.319495	0.954768	1.663905E+15	0.000269	3708.707953	14.857651	1.108409	0	0
35.411919	3.673306	4.018799	63.516638	1.141264	61.825894	1.141264	1.555466E+15	0.00027	3702.082648	14.826661	1.105295	0	0
39.720991	3.666038	2.995616	63.315355	1.3123	61.351418	1.3123	1.453911E+15	0.00027	3700.395713	14.862706	1.100998	0	0
44.045384	3.632314	2.346499	63.117624	1.468617	60.897973	1.468617	1.359787E+15	0.00027	3702.105368	14.835901	1.096621	0	0
45.462682	3.607406	2.233891	62.920016	1.614781	60.455525	1.614781	1.271061E+15	0.00027	3705.937412	14.873665	1.09202	0	0
