Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.17156	3.824374	0	49.233897	-0.440327	49.982562	-0.440327	6.043089E+12	6.385183E-7	1566125.745902	11.368683	1.117007	0	0
5.396986	3.818392	6.412654	49.468299	-0.261415	49.909368	-0.261415	6.644867E+12	7.328468E-7	1364541.681731	11.316732	1.115598	0	0
9.974422	3.648554	9.013326	49.467605	-0.014813	49.492598	-0.014813	6.642999E+12	7.797006E-7	1282543.634476	11.256726	1.112703	0	0
14.309367	3.611446	8.030165	49.377601	0.237511	48.975667	0.237511	6.405228E+12	8.046791E-7	1242731.368222	11.205907	1.11021	0	0
18.629674	3.604681	6.866422	49.258399	0.475937	48.449834	0.475937	6.103356E+12	8.213523E-7	1217504.289322	11.163049	1.108333	0	0
22.924708	3.500476	6.09877	49.127068	0.704238	47.925511	0.704238	5.787198E+12	8.35791E-7	1196471.335195	11.137265	1.107487	0	0
27.197916	3.303444	5.492142	48.987775	0.917006	47.416106	0.917006	5.469731E+12	8.47752E-7	1179590.2159	11.107917	1.105774	0	0
31.495712	3.300038	4.200073	48.848359	1.113103	46.931981	1.113103	5.169407E+12	8.591533E-7	1163936.696439	11.085163	1.103302	0	0
35.809002	3.294082	2.904181	48.707921	1.293028	46.471694	1.293028	4.883538E+12	8.693326E-7	1150307.72893	11.061995	1.099355	0	0
40.08545	3.12933	1.88135	48.570302	1.460912	46.032565	1.460912	4.618735E+12	8.805974E-7	1135592.710511	11.06828	1.095025	0	0
44.218937	2.086003	1.773302	48.43354	1.615472	45.615053	1.615472	4.369797E+12	8.914309E-7	1121791.886598	11.058628	1.090588	0	0
45.537034	1.596011	1.837196	48.296738	1.756991	45.218	1.756991	4.134198E+12	9.011005E-7	1109754.136776	11.073237	1.086675	0	0
46.80564	1.065383	1.981432	48.161201	1.888622	44.837598	1.888622	3.913299E+12	9.109536E-7	1097750.740905	11.064979	1.083429	0	0
