Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
5.302051	10.764914	0	49.191039	-1.694929	49.575223	-1.694929	1.502386E+15	8.331798E-5	11998.464207	19.739372	1.144692	0	0
5.309863	10.764236	1.448899	49.111358	-1.134373	49.367766	-1.134373	1.443899E+15	8.384663E-5	11923.07743	19.770717	1.144275	0	0
5.880534	10.76217	1.995721	48.98323	-0.341784	49.060137	-0.341784	1.354271E+15	8.425397E-5	11865.831901	19.742993	1.144334	0	0
12.178805	10.715672	2.397083	48.836544	0.479475	48.729212	0.479475	1.258047E+15	8.45169E-5	11829.325503	19.722166	1.144076	0	0
18.31248	10.667803	1.979008	48.692996	1.217938	48.421742	1.217938	1.17011E+15	8.468971E-5	11805.536634	19.741823	1.14344	0	0
24.425664	10.648933	1.44513	48.556585	1.862307	48.143836	1.862307	1.09193E+15	8.47515E-5	11797.222282	19.695594	1.142645	0	0
30.518144	10.598581	0.950168	48.426284	2.437518	47.888568	2.437518	1.021875E+15	8.479269E-5	11791.736542	19.722977	1.142148	0	0
36.627677	10.519716	0.45379	48.297894	2.975526	47.644525	2.975526	9.570242E+14	8.48964E-5	11777.541938	19.72551	1.141095	0	0
37.413765	10.51639	0.381928	48.166432	3.4871	47.404369	3.4871	8.946818E+14	8.49449E-5	11771.008592	19.708366	1.140916	0	0
38.190896	10.509762	0.3136	48.034138	3.964134	47.171985	3.964134	8.358595E+14	8.49267E-5	11773.700094	19.755781	1.139942	0	0
38.982773	10.506395	0.240708	47.90124	4.411195	46.946508	4.411195	7.804973E+14	8.488151E-5	11780.118131	19.720848	1.139366	0	0
39.771872	10.484628	0.181849	47.76937	4.829446	46.729167	4.829446	7.290441E+14	8.48728E-5	11781.455519	19.749068	1.138889	0	0
40.550497	10.378159	0.172314	47.637582	5.217059	46.519347	5.217059	6.808842E+14	8.480429E-5	11791.086076	19.757785	1.137855	0	0
41.322713	10.185735	0.180276	47.508163	5.576102	46.318695	5.576102	6.365775E+14	8.477212E-5	11795.658735	19.72951	1.138014	0	0
42.0868	9.910995	0.186393	47.380246	5.906622	46.126269	5.906622	5.955244E+14	8.470043E-5	11805.726592	19.768822	1.137239	0	0
42.845099	9.532291	0.190744	47.253539	6.213749	45.940604	6.213749	5.573876E+14	8.462612E-5	11816.166743	19.720725	1.137021	0	0
