Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.723748	6.853657	0	47.124727	-0.990131	45.903709	-0.990131	5.21046E+14	4.590075E-5	21785.683615	9.709796	1.138201	0	0
3.721057	6.855574	-0.530025	47.052152	-0.684016	46.236477	-0.684016	5.015939E+14	4.598166E-5	21747.383447	9.481511	1.13611	0	0
6.010123	6.796512	4.409012	46.9276	-0.228456	46.671131	-0.228456	4.698429E+14	4.584156E-5	21813.899324	9.753393	1.133398	0	0
12.682124	6.391509	4.460096	46.783415	0.257117	47.051265	0.257117	4.355252E+14	4.562121E-5	21919.315808	9.529568	1.131586	0	0
18.79135	5.81138	4.154864	46.638363	0.715434	47.325454	0.715434	4.03471E+14	4.541918E-5	22016.860211	9.720868	1.130944	0	0
24.89771	5.760943	3.148414	46.491629	1.141779	47.494203	1.141779	3.733923E+14	4.517062E-5	22138.051843	9.6324	1.130514	0	0
30.996257	5.631696	2.179481	46.346414	1.533892	47.568357	1.533892	3.457883E+14	4.49146E-5	22264.276149	9.618806	1.129231	0	0
37.074997	5.34226	1.243847	46.205332	1.885585	47.55823	1.885585	3.208887E+14	4.463095E-5	22405.805749	9.680819	1.126684	0	0
37.86299	5.303655	1.113525	46.065491	2.214332	47.480578	2.214332	2.979466E+14	4.437653E-5	22534.289449	9.592479	1.122986	0	0
38.624503	5.275878	0.982428	45.92699	2.513182	47.33782	2.513182	2.768148E+14	4.406783E-5	22692.164512	9.696162	1.118693	0	0
39.354018	5.259011	0.851308	45.791641	2.788228	47.145199	2.788228	2.575904E+14	4.378173E-5	22840.4656	9.629216	1.114248	0	0
40.102585	5.243839	0.715	45.655933	3.048093	46.903624	3.048093	2.39636E+14	4.351137E-5	22982.405833	9.692404	1.110537	0	0
40.848212	5.213175	0.582877	45.520486	3.292079	46.617942	3.292079	2.229474E+14	4.325434E-5	23118.986251	9.686326	1.107223	0	0
41.581043	5.112332	0.475337	45.382295	3.522314	46.283481	3.522314	2.071029E+14	4.295725E-5	23278.884896	9.681844	1.103704	0	0
42.301669	4.924877	0.391264	45.246521	3.733343	45.917384	3.733343	1.926199E+14	4.265525E-5	23443.709556	9.707633	1.099073	0	0
43.005923	4.639355	0.324341	45.11408	3.929087	45.528238	3.929087	1.794581E+14	4.240047E-5	23584.588632	9.674914	1.093642	0	0
43.68419	4.199113	0.287947	44.978176	4.111471	45.098144	4.111471	1.668771E+14	4.205033E-5	23780.98025	9.734019	1.087762	0	0
44.322306	3.62028	0.267974	44.846976	4.279049	44.656937	4.279049	1.55561E+14	4.175027E-5	23951.901223	9.72234	1.08204	0	0
44.937974	2.927948	0.260574	44.716887	4.434168	44.196409	4.434168	1.450918E+14	4.143706E-5	24132.950957	9.76905	1.076556	0	0
45.46776	2.225592	0.26582	44.58853	4.579187	43.721345	4.579187	1.35447E+14	4.114896E-5	24301.919681	9.768605	1.071436	0	0
45.912381	1.587961	0.273177	44.458457	4.719042	43.220494	4.719042	1.263221E+14	4.089116E-5	24455.137681	9.793468	1.066309	0	0
46.270385	1.028177	0.285693	44.32894	4.84736	42.705169	4.84736	1.178426E+14	4.058605E-5	24638.983699	9.810158	1.060846	0	0
39.21118	5.261382	0.87745	44.202559	4.965708	42.187137	4.965708	1.101137E+14	4.030145E-5	24812.979896	9.816169	1.055038	0	0
46.892698	0	0	44.075508	5.075949	41.653614	5.075949	1.028515E+14	3.997788E-5	25013.816293	9.840642	1.0487	0	0
0	0	0	43.948947	5.178748	41.110373	5.178748	9.609069E+13	3.964239E-5	25225.508869	9.848388	1.042423	0	0
0	0	0	43.82549	5.274521	40.569173	5.274521	8.992174E+13	3.934728E-5	25414.703759	9.881143	1.036436	0	0
0	0	0	43.703356	5.3637	40.02454	5.3637	8.420666E+13	3.905192E-5	25606.923615	9.885654	1.030774	0	0
