Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
5.837324	10.428896	0	47.679136	-0.904025	47.910053	-0.904025	6.957483E+14	4.242091E-5	23572.473936	7.784571E+16	2.318937E+13	3.105685E-5	18.285691	1.147971	0	0
5.855386	10.428427	0.531766	47.569857	-0.310838	47.648896	-0.310838	6.573586E+14	4.229398E-5	23643.311901	7.766567E+16	0	0	18.231952	1.144671	0	0
6.195797	10.42967	-0.592752	47.450974	0.305392	47.373703	0.305392	6.179134E+14	4.217611E-5	23709.472689	7.748068E+16	0	0	18.248957	1.139276	0	0
10.972034	10.381902	2.344877	47.330875	0.896596	47.105156	0.896596	5.803894E+14	4.207184E-5	23768.307963	7.730469E+16	0	0	18.249685	1.13633	0	0
16.380925	10.331655	2.038096	47.215167	1.431614	46.856507	1.431614	5.463274E+14	4.195767E-5	23833.048376	7.714495E+16	0	0	18.203287	1.132931	0	0
21.768613	10.312948	1.562787	47.101321	1.933231	46.619317	1.933231	5.14708E+14	4.186328E-5	23886.841697	7.699666E+16	0	0	18.211319	1.126959	0	0
27.156045	10.282289	1.099807	46.991631	2.393279	46.397699	2.393279	4.859268E+14	4.178509E-5	23931.588761	7.686168E+16	0	0	18.209879	1.118273	0	0
32.525725	10.250148	0.625525	46.878451	2.828518	46.179891	2.828518	4.578716E+14	4.16273E-5	24022.350511	7.67301E+16	0	0	18.219924	1.110059	0	0
33.338817	10.247349	0.550006	46.763998	3.243768	45.966806	3.243768	4.311064E+14	4.145908E-5	24119.861302	7.660458E+16	0	0	18.224631	1.102871	0	0
34.121994	10.241687	0.48084	46.650505	3.637919	45.760809	3.637919	4.060744E+14	4.131836E-5	24202.042386	7.648718E+16	0	0	18.196083	1.093942	0	0
34.907534	10.234874	0.412581	46.53762	4.00595	45.562696	4.00595	3.825863E+14	4.115899E-5	24295.782748	7.637702E+16	0	0	18.201948	1.083339	0	0
35.670548	10.232054	0.341496	46.425126	4.352914	45.370936	4.352914	3.605027E+14	4.099791E-5	24391.270564	7.627345E+16	0	0	18.200456	1.072732	0	0
36.424234	10.227647	0.272927	46.313299	4.682592	45.184801	4.682592	3.397882E+14	4.085916E-5	24474.124318	7.61763E+16	0	0	18.197081	1.063154	0	0
37.181493	10.209974	0.218256	46.200865	4.990468	45.004098	4.990468	3.201383E+14	4.067561E-5	24584.589756	7.608415E+16	0	0	18.205456	1.053621	0	0
37.929537	10.175432	0.178446	46.091566	5.278976	44.83171	5.278976	3.021069E+14	4.053497E-5	24669.905046	7.599958E+16	0	0	18.203677	1.043141	0	0
38.687926	10.074931	0.178994	45.980425	5.551018	44.662164	5.551018	2.847949E+14	4.034326E-5	24787.155619	7.591839E+16	0	0	18.216427	1.032581	0	0
39.43195	9.915349	0.187978	45.867854	5.810595	44.49486	5.810595	2.682549E+14	4.013609E-5	24915.114114	7.584082E+16	0	0	18.220542	1.02263	0	0
40.181536	9.679804	0.197431	45.758065	6.053468	44.334705	6.053468	2.530355E+14	3.996047E-5	25024.623983	7.576945E+16	0	0	18.204531	1.012866	0	0
40.911869	9.370007	0.204133	45.648747	6.283265	44.178613	6.283265	2.38727E+14	3.979061E-5	25131.459969	7.570234E+16	0	0	18.20005	1.002784	0	0
41.644867	8.956854	0.208042	45.539586	6.49885	44.026507	6.49885	2.252355E+14	3.960125E-5	25251.643275	7.563907E+16	0	0	18.198472	0.992427	0	0
42.373108	8.447566	0.207308	45.432836	6.698901	43.880737	6.698901	2.127702E+14	3.941598E-5	25370.3475	7.558061E+16	0	0	18.1948	0.982437	0	0
43.077085	7.795591	0.209596	45.326321	6.888435	43.738062	6.888435	2.010117E+14	3.923116E-5	25489.877898	7.552546E+16	0	0	18.208062	0.972851	0	0
43.773927	7.015656	0.209348	45.219885	7.06802	43.598168	7.06802	1.899034E+14	3.904361E-5	25612.327729	7.547336E+16	0	0	18.212203	0.963234	0	0
44.444396	6.119418	0.207618	45.115683	7.237006	43.463162	7.237006	1.796168E+14	3.888379E-5	25717.602331	7.542512E+16	0	0	18.216407	0.953192	0	0
45.091092	5.112686	0.205313	45.012932	7.394739	43.332423	7.394739	1.700134E+14	3.871818E-5	25827.612361	7.538008E+16	0	0	18.239985	0.943169	0	0
45.72435	3.995217	0.201319	44.909102	7.542749	43.203233	7.542749	1.608257E+14	3.850408E-5	25971.233857	7.533699E+16	0	0	18.215125	0.933528	0	0
46.315655	2.805216	0.205199	44.80637	7.682274	43.077286	7.682274	1.522193E+14	3.829486E-5	26113.123189	7.529663E+16	0	0	18.215051	0.924134	0	0
46.871657	1.57416	0.211797	44.705148	7.813905	42.954794	7.813905	1.44186E+14	3.809978E-5	26246.834858	7.525896E+16	0	0	18.223262	0.914767	0	0
39.164152	9.982472	0.183528	44.604337	7.937881	42.834668	7.937881	1.366032E+14	3.789257E-5	26390.363942	7.522339E+16	0	0	18.23107	0.905253	0	0
47.511365	0	0	44.504879	8.056185	42.717302	8.056185	1.295099E+14	3.771619E-5	26513.784676	7.519013E+16	0	0	18.236567	0.895942	0	0
0	0	0	44.403539	8.16845	42.599799	8.16845	1.226583E+14	3.749493E-5	26670.247641	7.515799E+16	0	0	18.238882	0.886957	0	0
0	0	0	44.304433	8.2745	42.485942	8.2745	1.16306E+14	3.730322E-5	26807.316838	7.51282E+16	0	0	18.223042	0.878124	0	0
0	0	0	44.20421	8.375999	42.372283	8.375999	1.102143E+14	3.709714E-5	26956.238869	7.509963E+16	0	0	18.211515	0.869393	0	0
0	0	0	44.104889	8.473049	42.260629	8.473049	1.044902E+14	3.691563E-5	27088.777186	7.507279E+16	0	0	18.209907	0.860786	0	0
0	0	0	44.005666	8.564503	42.15048	8.564503	9.906675E+13	3.67164E-5	27235.766165	7.504735E+16	0	0	18.210491	0.852512	0	0
