Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.722929	5.904829	0	46.303214	-0.33742	45.902984	-0.33742	3.379784E+14	3.741257E-5	26728.792902	7.616782E+16	8.843337E+13	3.24801E-5	7.281972	1.136215	0	0
3.711929	5.909996	-0.71177	46.151824	0.091874	46.248928	0.091874	3.119209E+14	3.707808E-5	26969.95419	7.604561E+16	0	0	7.258662	1.134295	0	0
4.765308	5.888689	4.749969	45.998377	0.509662	46.470304	0.509662	2.875235E+14	3.682461E-5	27155.613288	7.593119E+16	0	0	7.266773	1.130737	0	0
8.149251	5.839718	4.858404	45.842365	0.897465	46.553877	0.897465	2.64643E+14	3.651918E-5	27382.753837	7.582388E+16	0	0	7.284168	1.129491	0	0
12.163108	5.492075	5.176441	45.69924	1.224161	46.520216	1.224161	2.452341E+14	3.620285E-5	27622.037619	7.573286E+16	0	0	7.271201	1.127866	0	0
16.055046	4.682326	5.728519	45.558469	1.530047	46.400746	1.530047	2.275142E+14	3.593534E-5	27827.670576	7.564975E+16	0	0	7.264097	1.123134	0	0
20.02579	4.613696	4.97766	45.415377	1.820727	46.195303	1.820727	2.107973E+14	3.566467E-5	28038.877143	7.557135E+16	0	0	7.26718	1.116015	0	0
23.970551	4.515939	4.245883	45.274834	2.087599	45.918656	2.087599	1.955602E+14	3.53999E-5	28248.607374	7.549989E+16	0	0	7.277622	1.109342	0	0
27.91964	4.4396	3.454305	45.135761	2.333135	45.578359	2.333135	1.81555E+14	3.512398E-5	28470.518909	7.543421E+16	0	0	7.287374	1.103692	0	0
31.865848	4.315694	2.678773	44.995544	2.565984	45.175223	2.565984	1.684394E+14	3.485919E-5	28686.793843	7.53727E+16	0	0	7.28192	1.096169	0	0
33.004805	4.281971	2.442989	44.855083	2.782624	44.716331	2.782624	1.562418E+14	3.457845E-5	28919.703937	7.53155E+16	0	0	7.290733	1.08643	0	0
34.171716	4.254095	2.193447	44.715846	2.982232	44.212729	2.982232	1.450148E+14	3.428571E-5	29166.63314	7.526284E+16	0	0	7.313625	1.076544	0	0
35.304068	4.218589	1.954575	44.578243	3.167969	43.671723	3.167969	1.347058E+14	3.400975E-5	29403.306809	7.521449E+16	0	0	7.32802	1.067376	0	0
36.450933	4.186979	1.703459	44.443875	3.339489	43.105279	3.339489	1.253413E+14	3.376127E-5	29619.71005	7.517058E+16	0	0	7.343064	1.05798	0	0
37.601373	4.140402	1.458901	44.310796	3.497964	42.511361	3.497964	1.167039E+14	3.350451E-5	29846.701812	7.513007E+16	0	0	7.356252	1.047571	0	0
38.73602	4.084611	1.216079	44.178257	3.645527	41.890512	3.645527	1.086892E+14	3.324158E-5	30082.790242	7.509248E+16	0	0	7.377679	1.037073	0	0
39.883914	4.020832	0.968635	44.045947	3.782651	41.244975	3.782651	1.012339E+14	3.296201E-5	30337.938175	7.505752E+16	0	0	7.402572	1.027322	0	0
40.988964	3.860698	0.767218	43.913358	3.912535	40.573441	3.912535	9.427291E+13	3.269665E-5	30584.156478	7.502487E+16	0	0	7.419551	1.017747	0	0
42.062869	3.588096	0.598909	43.779725	4.036781	39.873313	4.036781	8.773867E+13	3.245434E-5	30812.510661	7.499422E+16	0	0	7.438789	1.007672	0	0
43.101057	3.186692	0.451573	43.648786	4.1507	39.168257	4.1507	8.17735E+13	3.221224E-5	31044.093259	7.496625E+16	0	0	7.460692	0.997514	0	0
44.003085	2.717383	0.320757	43.518452	4.256305	38.450444	4.256305	7.623676E+13	3.1955E-5	31293.999858	7.494028E+16	0	0	7.485035	0.987791	0	0
