Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
4.14076	7.61489	0.00000	29.5257	-0.489905	29.6454	-0.489905	147001000000000	0.0000212158	47134.6
4.11271	7.62098	-0.576737	29.5058	-0.362907	29.5945	-0.362907	144674000000000	0.0000212123	47142.5
4.14720	7.62387	-0.580826	29.4096	0.197961	29.3612	0.197961	133925000000000	0.0000211212	47345.7
4.37776	7.61884	-0.611847	29.3121	0.730291	29.1336	0.730291	123851000000000	0.0000210427	47522.5
5.63583	7.61288	-0.00741427	29.2148	1.22603	28.9149	1.22603	114535000000000	0.0000209698	47687.5
7.10689	7.60415	1.04623	29.1161	1.68830	28.7029	1.68830	105800000000000	0.0000208816	47889.1
8.66403	7.60003	1.08244	29.0183	2.10932	28.5019	2.10932	97797100000000	0.0000207780	48127.8
10.2259	7.58797	1.17419	28.9218	2.49550	28.3106	2.49550	90488800000000	0.0000206755	48366.3
11.7608	7.57437	1.14970	28.8241	2.85198	28.1253	2.85198	83639900000000	0.0000205410	48683.2
13.2767	7.56255	1.04689	28.7282	3.17722	27.9494	3.17722	77426400000000	0.0000204087	48998.8
14.8189	7.55182	0.907097	28.6349	3.47641	27.7824	3.47641	71812600000000	0.0000202974	49267.4
16.3238	7.52587	0.817987	28.5412	3.75491	27.6201	3.75491	66590200000000	0.0000201793	49555.8
17.8411	7.49760	0.696897	28.4477	4.01279	27.4629	4.01279	61752100000000	0.0000200529	49868.1
18.5620	7.49146	0.615114	28.3561	4.24926	27.3129	4.24926	57352000000000	0.0000199325	50169.2
19.3075	7.47599	0.547808	28.2665	4.46513	27.1698	4.46513	53346800000000	0.0000198112	50476.5
20.0487	7.47134	0.457395	28.1776	4.66729	27.0309	4.66729	49653500000000	0.0000197043	50750.2
20.8048	7.46065	0.374956	28.0874	4.85568	26.8939	4.85568	46162200000000	0.0000195696	51099.7
21.5350	7.44546	0.301424	27.9978	5.03095	26.7607	5.03095	42938600000000	0.0000194377	51446.4
22.2979	7.39216	0.266863	27.9098	5.19164	26.6327	5.19164	39990700000000	0.0000193037	51803.5
23.0219	7.29632	0.255227	27.8233	5.33971	26.5093	5.33971	37290000000000	0.0000191716	52160.6
23.7655	7.13366	0.250235	27.7379	5.47715	26.3897	5.47715	34802800000000	0.0000190432	52512.1
24.4910	6.87850	0.248617	27.6516	5.60594	26.2711	5.60594	32455800000000	0.0000188975	52917.2
25.1998	6.49986	0.247124	27.5677	5.72300	26.1579	5.72300	30326900000000	0.0000187505	53331.9
25.8957	5.96333	0.246089	27.4837	5.83347	26.0462	5.83347	28334700000000	0.0000186051	53748.6
26.5534	5.27845	0.244903	27.3996	5.93676	25.9361	5.93676	26471100000000	0.0000184512	54197.1
27.1968	4.42069	0.242450	27.3173	6.03389	25.8293	6.03389	24764900000000	0.0000183225	54577.7
27.8030	3.44070	0.240856	27.2345	6.12406	25.7238	6.12406	23160000000000	0.0000181715	55031.2
28.3727	2.37098	0.249449	27.1524	6.20763	25.6206	6.20763	21672200000000	0.0000180139	55512.6
23.8242	7.12110	0.248353	27.0705	6.28550	25.5189	6.28550	20281000000000	0.0000178450	56038.1
29.4306	0.00000	0.00000	26.9888	6.35854	25.4186	6.35854	18982600000000	0.0000176736	56581.6
0.00000	0.00000	0.00000	26.9069	6.42650	25.3195	6.42650	17765800000000	0.0000174866	57186.8
0.00000	0.00000	0.00000	26.8267	6.49058	25.2228	6.49058	16647800000000	0.0000173200	57736.7
0.00000	0.00000	0.00000	26.7467	6.55125	25.1274	6.55125	15604400000000	0.0000171605	58273.2
0.00000	0.00000	0.00000	26.6666	6.60923	25.0324	6.60923	14624000000000	0.0000170095	58790.5
0.00000	0.00000	0.00000	26.5862	6.66408	24.9378	6.66408	13701900000000	0.0000168564	59324.6
0.00000	0.00000	0.00000	26.5067	6.71470	24.8452	6.71470	12846700000000	0.0000166932	59904.7
0.00000	0.00000	0.00000	26.4269	6.76270	24.7530	6.76270	12043200000000	0.0000165305	60494.4
0.00000	0.00000	0.00000	26.3491	6.80655	24.6638	6.80655	11307100000000	0.0000163621	61117.0
0.00000	0.00000	0.00000	26.2718	6.84717	24.5759	6.84717	10620700000000	0.0000161819	61797.5
0.00000	0.00000	0.00000	26.1956	6.88566	24.4896	6.88566	9984730000000	0.0000160158	62438.3
0.00000	0.00000	0.00000	26.1186	6.92159	24.4032	6.92159	9381510000000	0.0000158282	63178.4
0.00000	0.00000	0.00000	26.0419	6.95611	24.3173	6.95611	8815810000000	0.0000156532	63884.8
