Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
3.61518	5.15517	0.00000	43.5067	-0.343894	43.7429	-0.343894	96715200000000	0.0000132086	75708.1
3.70837	5.15558	-0.814224	43.4722	-0.279900	43.6644	-0.279900	94939200000000	0.0000131187	76226.8
5.83130	5.15103	0.327474	43.4354	-0.181941	43.5603	-0.181941	93082900000000	0.0000130983	76345.6
8.07206	5.14395	1.13823	43.2812	0.203500	43.1414	0.203500	85689800000000	0.0000129966	76943.3
10.2567	5.14056	1.04178	43.1232	0.566160	42.7345	0.566160	78721200000000	0.0000128832	77620.3
12.4371	5.14167	0.508289	42.9679	0.895636	42.3529	0.895636	72417700000000	0.0000127683	78318.7
14.5969	5.13490	0.656485	42.8100	1.20015	41.9859	1.20015	66524500000000	0.0000126324	79161.6
16.7871	5.12971	0.545725	42.6526	1.47772	41.6380	1.47772	61123600000000	0.0000124829	80109.8
18.9498	5.12354	0.434023	42.4977	1.73210	41.3085	1.73210	56236300000000	0.0000123382	81048.8
21.1463	5.11264	0.418420	42.3476	1.96624	40.9977	1.96624	51872500000000	0.0000122165	81856.8
23.2887	5.10171	0.332626	42.1968	2.18221	40.6986	2.18221	47825000000000	0.0000120814	82771.6
25.4369	5.08637	0.290208	42.0434	2.38279	40.4076	2.38279	44034100000000	0.0000119286	83832.4
27.6008	5.06045	0.341893	41.8955	2.56554	40.1343	2.56554	40662100000000	0.0000117924	84800.1
28.6702	5.04138	0.393540	41.7493	2.73358	39.8728	2.73358	37580900000000	0.0000116552	85798.7
29.7413	5.01159	0.493413	41.6012	2.89106	39.6166	2.89106	34698000000000	0.0000115096	86884.1
30.8181	4.97437	0.550738	41.4559	3.03518	39.3725	3.03518	32083400000000	0.0000113658	87983.4
31.8875	4.91958	0.614240	41.3109	3.16992	39.1351	3.16992	29670300000000	0.0000112243	89092.4
32.9684	4.83956	0.659899	41.1655	3.29432	38.9044	3.29432	27432800000000	0.0000110716	90320.9
34.0274	4.72627	0.682298	41.0206	3.40990	38.6801	3.40990	25369200000000	0.0000109169	91601.4
35.0880	4.56815	0.688437	40.8755	3.51784	38.4610	3.51784	23459100000000	0.0000107604	92933.1
36.1298	4.35125	0.686080	40.7309	3.61742	38.2482	3.61742	21698600000000	0.0000105973	94363.3
37.1817	4.04426	0.680291	40.5871	3.71076	38.0404	3.71076	20078200000000	0.0000104397	95788.3
38.1945	3.64807	0.674075	40.4426	3.79797	37.8361	3.79797	18571800000000	0.0000102769	97305.3
39.2045	3.15506	0.663143	40.3002	3.87756	37.6392	3.87756	17197700000000	0.0000101093	98918.4
40.1876	2.56868	0.651129	40.1571	3.95136	37.4455	3.95136	15919200000000	0.00000993154	100689
41.1357	1.90362	0.656589	40.0131	4.02168	37.2534	4.02168	14728500000000	0.00000975875	102472
42.0148	1.20604	0.682265	39.8693	4.08688	37.0649	4.08688	13628200000000	0.00000958082	104375
34.3715	4.68025	0.685890	39.7277	4.14727	36.8820	4.14727	12624900000000	0.00000940723	106301
43.3606	0.00000	0.00000	39.5837	4.20365	36.6993	4.20365	11680000000000	0.00000921883	108474
0.00000	0.00000	0.00000	39.4386	4.25638	36.5182	4.25638	10800000000000	0.00000902449	110810
0.00000	0.00000	0.00000	39.2912	4.30585	36.3370	4.30585	9973520000000	0.00000881919	113389
0.00000	0.00000	0.00000	39.1433	4.35216	36.1574	4.35216	9207520000000	0.00000861143	116125
0.00000	0.00000	0.00000	38.9906	4.39551	35.9750	4.39551	8478590000000	0.00000838225	119300
0.00000	0.00000	0.00000	38.8350	4.43659	35.7913	4.43659	7794730000000	0.00000814666	122750
0.00000	0.00000	0.00000	38.6779	4.47577	35.6074	4.47577	7160550000000	0.00000791546	126335
0.00000	0.00000	0.00000	38.5206	4.51298	35.4247	4.51298	6577140000000	0.00000769173	130010
0.00000	0.00000	0.00000	38.3612	4.54675	35.2423	4.54675	6034630000000	0.00000744901	134246
0.00000	0.00000	0.00000	38.2016	4.57831	35.0611	4.57831	5535870000000	0.00000720730	138748
0.00000	0.00000	0.00000	38.0420	4.60774	34.8814	4.60774	5078400000000	0.00000696715	143531
0.00000	0.00000	0.00000	37.8837	4.63550	34.7042	4.63550	4662060000000	0.00000673756	148422
0.00000	0.00000	0.00000	37.7247	4.66144	34.5276	4.66144	4278330000000	0.00000650786	153660
0.00000	0.00000	0.00000	37.5633	4.68617	34.3493	4.68617	3920870000000	0.00000627868	159269
0.00000	0.00000	0.00000	37.4003	4.70927	34.1706	4.70927	3590410000000	0.00000604734	165362
0.00000	0.00000	0.00000	37.2376	4.73106	33.9930	4.73106	3288040000000	0.00000582261	171744
0.00000	0.00000	0.00000	37.0724	4.75177	33.8138	4.75177	3007270000000	0.00000559869	178613
0.00000	0.00000	0.00000	36.9046	4.77144	33.6326	4.77144	2746510000000	0.00000537540	186033
0.00000	0.00000	0.00000	36.7336	4.78989	33.4491	4.78989	2504110000000	0.00000514850	194231
0.00000	0.00000	0.00000	36.5585	4.80762	33.2619	4.80762	2277950000000	0.00000492243	203152
0.00000	0.00000	0.00000	36.3798	4.82387	33.0722	4.82387	2068240000000	0.00000468851	213287
0.00000	0.00000	0.00000	36.1973	4.83953	32.8791	4.83953	1873980000000	0.00000445887	224272
0.00000	0.00000	0.00000	36.0113	4.85421	32.6832	4.85421	1694740000000	0.00000422914	236455
0.00000	0.00000	0.00000	35.8202	4.86801	32.4828	4.86801	1528440000000	0.00000399738	250164
0.00000	0.00000	0.00000	35.6226	4.88183	32.2759	4.88183	1373600000000	0.00000377403	264969
0.00000	0.00000	0.00000	35.4178	4.89398	32.0629	4.89398	1229650000000	0.00000353576	282825
0.00000	0.00000	0.00000	35.2080	4.90578	31.8452	4.90578	1097850000000	0.00000330620	302462
0.00000	0.00000	0.00000	34.9900	4.91729	31.6195	4.91729	975814000000	0.00000308076	324595
0.00000	0.00000	0.00000	34.7713	4.92761	31.3938	4.92761	866990000000	0.00000286139	349480
0.00000	0.00000	0.00000	34.5465	4.93790	31.1621	4.93790	767789000000	0.00000265399	376791
0.00000	0.00000	0.00000	34.3193	4.94725	30.9287	4.94725	679068000000	0.00000245285	407689
0.00000	0.00000	0.00000	34.0903	4.95654	30.6935	4.95654	599994000000	0.00000226864	440792
0.00000	0.00000	0.00000	33.8573	4.96517	30.4548	4.96517	528996000000	0.00000209104	478231
0.00000	0.00000	0.00000	33.6186	4.97348	30.2105	4.97348	464951000000	0.00000192192	520313
0.00000	0.00000	0.00000	33.3770	4.98151	29.9636	4.98151	408022000000	0.00000176461	566699
0.00000	0.00000	0.00000	33.1302	4.98836	29.7123	4.98836	357066000000	0.00000160766	622022
0.00000	0.00000	0.00000	32.8802	4.99538	29.4577	4.99538	311927000000	0.00000146609	682086
0.00000	0.00000	0.00000	32.6268	5.00236	29.1997	5.00236	271997000000	0.00000133681	748048
0.00000	0.00000	0.00000	32.3683	5.00850	28.9373	5.00850	236536000000	0.00000121118	825642
