Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
3.66195	5.16553	0.00000	43.5625	-0.367322	43.7625	-0.367322	99650500000000	0.0000135264	73929.5
3.72395	5.16732	-0.808469	43.5112	-0.259452	43.6526	-0.259452	96947300000000	0.0000134211	74509.3
5.87006	5.15717	1.91640	43.4799	-0.175643	43.5757	-0.175643	95335600000000	0.0000134051	74598.4
8.09356	5.13874	3.09356	43.3404	0.174595	43.2449	0.174595	88457100000000	0.0000133108	75127.2
10.2676	5.05222	4.30613	43.1869	0.531815	42.8952	0.531815	81457600000000	0.0000132024	75743.6
12.4479	5.03773	3.99563	43.0314	0.866077	42.5551	0.866077	74931000000000	0.0000130888	76401.1
14.6160	5.02529	3.65776	42.8779	1.16955	42.2330	1.16955	68997200000000	0.0000129676	77115.2
16.8116	5.02037	3.25434	42.7201	1.45156	41.9174	1.45156	63383800000000	0.0000128171	78020.5
18.9603	5.00851	2.90185	42.5645	1.71096	41.6158	1.71096	58295000000000	0.0000126733	78906.1
21.1491	4.97859	2.63003	42.4129	1.95052	41.3285	1.95052	53727800000000	0.0000125507	79676.7
23.3032	4.96741	2.25178	42.2615	2.17164	41.0509	2.17164	49523100000000	0.0000124229	80496.4
25.4773	4.95584	1.86620	42.1095	2.37472	40.7821	2.37472	45629700000000	0.0000122792	81438.7
27.6492	4.94005	1.49196	41.9591	2.56188	40.5233	2.56188	42078800000000	0.0000121376	82388.6
28.7533	4.93447	1.29089	41.8122	2.73257	40.2768	2.73257	38877300000000	0.0000120009	83327.3
29.8074	4.92780	1.10137	41.6647	2.89178	40.0356	2.89178	35904700000000	0.0000118593	84321.7
30.9078	4.92014	0.904837	41.5187	3.03901	39.8024	3.03901	33188600000000	0.0000117212	85315.6
31.9790	4.90898	0.724734	41.3710	3.17802	39.5715	3.17802	30647200000000	0.0000115807	86350.8
33.0388	4.86741	0.634205	41.2261	3.30345	39.3509	3.30345	28343900000000	0.0000114318	87475.5
34.1163	4.78304	0.612123	41.0831	3.41869	39.1377	3.41869	26239500000000	0.0000112812	88643.4
35.1652	4.65815	0.599331	40.9395	3.52687	38.9275	3.52687	24282800000000	0.0000111291	89854.2
36.2186	4.47105	0.588886	40.7954	3.62773	38.7207	3.62773	22466700000000	0.0000109722	91139.6
37.2566	4.19381	0.582659	40.6531	3.72177	38.5195	3.72177	20806700000000	0.0000108233	92393.4
38.2917	3.80900	0.575162	40.5120	3.80825	38.3235	3.80825	19280800000000	0.0000106686	93732.8
39.3057	3.31414	0.565975	40.3696	3.88951	38.1290	3.88951	17854500000000	0.0000105086	95160.6
40.2861	2.71758	0.554948	40.2303	3.96271	37.9420	3.96271	16560600000000	0.0000103402	96709.9
41.2287	2.02306	0.556042	40.0900	4.03196	37.7562	4.03196	15352400000000	0.0000101714	98314.4
42.1056	1.27483	0.582567	39.9483	4.09783	37.5707	4.09783	14222200000000	0.0000100039	99960.5
34.9531	4.68909	0.601632	39.8079	4.15891	37.3891	4.15891	13183400000000	0.00000983589	101668
43.4049	0.00000	0.00000	39.6678	4.21576	37.2102	4.21576	12223200000000	0.00000966545	103461
0.00000	0.00000	0.00000	39.5263	4.26852	37.0320	4.26852	11323900000000	0.00000948098	105474
0.00000	0.00000	0.00000	39.3857	4.31825	36.8563	4.31825	10495600000000	0.00000930317	107490
0.00000	0.00000	0.00000	39.2429	4.36432	36.6804	4.36432	9716550000000	0.00000910790	109795
0.00000	0.00000	0.00000	39.0995	4.40785	36.5052	4.40785	8992060000000	0.00000891307	112195
0.00000	0.00000	0.00000	38.9525	4.44859	36.3278	4.44859	8305930000000	0.00000870085	114931
0.00000	0.00000	0.00000	38.8069	4.48755	36.1527	4.48755	7677270000000	0.00000850442	117586
0.00000	0.00000	0.00000	38.6628	4.52390	35.9808	4.52390	7102430000000	0.00000831341	120288
0.00000	0.00000	0.00000	38.5180	4.55699	35.8098	4.55699	6567890000000	0.00000810568	123370
0.00000	0.00000	0.00000	38.3695	4.58852	35.6359	4.58852	6061660000000	0.00000788978	126746
0.00000	0.00000	0.00000	38.2191	4.61797	35.4612	4.61797	5588570000000	0.00000766526	130459
0.00000	0.00000	0.00000	38.0671	4.64571	35.2857	4.64571	5147930000000	0.00000743763	134452
0.00000	0.00000	0.00000	37.9125	4.67199	35.1082	4.67199	4735200000000	0.00000720553	138782
0.00000	0.00000	0.00000	37.7550	4.69628	34.9289	4.69628	4349010000000	0.00000696051	143668
0.00000	0.00000	0.00000	37.5931	4.71947	34.7454	4.71947	3984490000000	0.00000670863	149062
0.00000	0.00000	0.00000	37.4269	4.74161	34.5581	4.74161	3642210000000	0.00000645263	154976
0.00000	0.00000	0.00000	37.2557	4.76247	34.3663	4.76247	3320460000000	0.00000618702	161629
