Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.329928	7.270501	0	29.402886	-0.641897	29.501174	-0.641897	4.030906E+13	5.959028E-6	167812.613999	12.058981	1.096584	0	0
3.390386	7.272573	-0.488296	29.359975	-0.39408	29.42104	-0.39408	3.893191E+13	5.941528E-6	168306.864857	12.037932	1.096359	0	0
3.413361	7.270832	-0.203471	29.278759	0.04984	29.270863	0.04984	3.645282E+13	5.905205E-6	169342.138002	12.043216	1.094102	0	0
4.468331	7.26193	1.315437	29.181323	0.548596	29.092124	0.548596	3.368584E+13	5.861865E-6	170594.172171	12.020289	1.09137	0	0
6.869409	7.248416	1.48099	29.083086	1.021633	28.912683	1.021633	3.110855E+13	5.823168E-6	171727.836442	12.074772	1.089205	0	0
9.429097	7.222462	1.478267	28.98565	1.460926	28.735888	1.460926	2.874695E+13	5.787997E-6	172771.353042	12.034535	1.08832	0	0
11.859093	7.166731	1.43952	28.889292	1.856134	28.564317	1.856134	2.658774E+13	5.744001E-6	174094.663956	12.067998	1.086974	0	0
14.277641	7.119222	1.235972	28.797001	2.210062	28.401339	2.210062	2.46718E+13	5.702869E-6	175350.348945	12.007131	1.085311	0	0
16.646802	7.023587	1.062952	28.707357	2.536281	28.243571	2.536281	2.294299E+13	5.668687E-6	176407.695335	12.057157	1.082473	0	0
19.000821	6.876102	0.867852	28.615001	2.844575	28.083607	2.844575	2.128843E+13	5.626267E-6	177737.73698	12.019681	1.079397	0	0
19.715256	6.850328	0.782831	28.523984	3.12839	27.927396	3.12839	1.977459E+13	5.584272E-6	179074.357161	12.062188	1.074988	0	0
20.424562	6.827467	0.694177	28.4322	3.394907	27.771463	3.394907	1.835693E+13	5.540418E-6	180491.784911	12.030813	1.071332	0	0
