Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
2.092447	4.996184	0	43.630999	-0.694793	44.004313	-0.694793	1.033815E+14	1.364294E-5	73297.986099	11.914856	1.10122	0	0
2.096333	4.998469	-0.487663	43.500877	-0.343073	43.685794	-0.343073	9.641309E+13	1.356147E-5	73738.285068	12.002265	1.10027	0	0
2.733441	4.99426	1.095932	43.347723	0.022644	43.335473	0.022644	8.880637E+13	1.341004E-5	74570.963776	11.904818	1.099993	0	0
6.371055	4.976014	3.098692	43.184981	0.382766	42.97709	0.382766	8.137578E+13	1.32472E-5	75487.64945	11.994903	1.098608	0	0
10.271665	4.937721	3.518557	43.017274	0.721941	42.623585	0.721941	7.436456E+13	1.306647E-5	76531.733729	11.902012	1.098212	0	0
13.903633	4.927474	2.939825	42.853617	1.016971	42.296868	1.016971	6.810233E+13	1.285335E-5	77800.70984	11.99406	1.096866	0	0
17.525039	4.8784	2.706413	42.696004	1.278705	41.993333	1.278705	6.256791E+13	1.264023E-5	79112.509209	11.904383	1.096589	0	0
21.115751	4.747942	2.665317	42.533818	1.529847	41.689899	1.529847	5.73399E+13	1.242332E-5	80493.74392	11.985638	1.095402	0	0
24.698033	4.601276	2.361559	42.369654	1.761971	41.393909	1.761971	5.249103E+13	1.2189E-5	82041.164289	11.909316	1.094769	0	0
28.30229	4.523474	1.756097	42.199709	1.977857	41.100019	1.977857	4.790124E+13	1.191879E-5	83901.147423	12.002444	1.093582	0	0
29.387032	4.510572	1.544168	42.028767	2.17481	40.814714	2.17481	4.368792E+13	1.162927E-5	85989.919865	11.928902	1.093067	0	0
30.459433	4.501062	1.324008	41.85281	2.358765	40.530646	2.358765	3.97365E+13	1.13152E-5	88376.692801	12.008043	1.092473	0	0
31.544005	4.492182	1.100705	41.675171	2.529863	40.25123	2.529863	3.610869E+13	1.099547E-5	90946.55096	11.933342	1.092553	0	0
32.634846	4.484755	0.872105	41.496307	2.687939	39.977112	2.687939	3.278954E+13	1.066854E-5	93733.504889	12.003728	1.092038	0	0
33.701044	4.468475	0.661777	41.316855	2.833653	39.70866	2.833653	2.976533E+13	1.033713E-5	96738.606452	11.940806	1.091247	0	0
34.769908	4.346132	0.609036	41.137696	2.967579	39.446549	2.967579	2.702373E+13	1.000459E-5	99954.072642	12.000562	1.091247	0	0
35.823534	4.150753	0.606415	40.958522	3.092588	39.188896	3.092588	2.453394E+13	9.679307E-6	103313.178009	11.937889	1.090495	0	0
36.867087	3.901734	0.602567	40.775557	3.210665	38.930692	3.210665	2.222763E+13	9.349327E-6	106959.57325	11.986294	1.090257	0	0
37.895511	3.589983	0.591928	40.585978	3.323093	38.668281	3.323093	2.0066E+13	9.007265E-6	111021.495858	11.94014	1.089228	0	0
38.918823	3.19018	0.580083	40.394846	3.426643	38.408836	3.426643	1.809912E+13	8.660374E-6	115468.451964	11.967254	1.089109	0	0
39.918453	2.688407	0.570329	40.202114	3.523141	38.151306	3.523141	1.631068E+13	8.31588E-6	120251.850184	11.929326	1.087645	0	0
40.87738	2.094893	0.562892	40.008957	3.61295	37.896754	3.61295	1.469538E+13	7.978787E-6	125332.338128	11.964386	1.087131	0	0
41.787852	1.411049	0.604326	39.816012	3.695316	37.646342	3.695316	1.32414E+13	7.644559E-6	130811.987379	11.944825	1.085389	0	0
