Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
3.994549	8.263372	0	24.038475	-0.868123	24.167148	-0.868123	1.261139E+15	5.903603E-5	16936.167258	12.269196	1.093001	0	0
10.224393	8.158612	0.231227	23.996201	-0.594873	24.084878	-0.594873	1.210223E+15	5.840014E-5	17120.814608	12.264288	1.092242	0	0
11.720653	8.103325	0.266945	23.908746	-0.085431	23.921631	-0.085431	1.110806E+15	5.687352E-5	17580.825564	12.224503	1.090277	0	0
13.219152	8.02389	0.27111	23.797425	0.498891	23.721065	0.498891	9.951219E+14	5.47848E-5	18251.595827	12.286738	1.088153	0	0
14.636953	7.898777	0.275305	23.672547	1.068438	23.506333	1.068438	8.786707E+14	5.2203E-5	19154.705632	12.254563	1.087236	0	0
16.071783	7.706904	0.262282	23.547775	1.581337	23.297809	1.581337	7.751033E+14	4.958462E-5	20166.545005	12.271356	1.086319	0	0
16.559922	7.614095	0.257805	23.425967	2.035259	23.099272	2.035259	6.851351E+14	4.70236E-5	21265.137794	12.26969	1.085554	0	0
17.044115	7.511439	0.250995	23.305703	2.441907	22.907837	2.441907	6.060466E+14	4.450102E-5	22470.787844	12.227369	1.083865	0	0
17.523256	7.38677	0.2437	23.184117	2.819019	22.717924	2.819019	5.349482E+14	4.200119E-5	23808.375252	12.27706	1.081207	0	0
17.992739	7.240916	0.23694	23.06627	3.15943	22.536307	3.15943	4.736841E+14	3.967156E-5	25206.602895	12.238038	1.077764	0	0
18.472411	7.06492	0.229851	22.944716	3.486375	22.351402	3.486375	4.175676E+14	3.736526E-5	26762.540226	12.247869	1.073496	0	0
18.932116	6.864628	0.220898	22.820034	3.79872	22.164054	3.79872	3.666832E+14	3.510747E-5	28483.746685	12.264689	1.069684	0	0
19.404931	6.613372	0.212975	22.695139	4.08906	21.978768	4.08906	3.217493E+14	3.294798E-5	30350.698667	12.222892	1.06657	0	0
19.868069	6.320532	0.204516	22.569052	4.361024	21.793995	4.361024	2.818269E+14	3.087114E-5	32392.583449	12.272645	1.063134	0	0
20.323358	5.985991	0.19585	22.442859	4.612933	21.611343	4.612933	2.467185E+14	2.889035E-5	34613.532468	12.218788	1.05975	0	0
20.776432	5.590018	0.185766	22.315759	4.848554	21.429397	4.848554	2.156892E+14	2.699958E-5	37037.529098	12.232451	1.054941	0	0
