Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
2.365709	2.638833	0	21.702192	-0.247172	22.258967	-0.247172	3.972111E+12	1.756167E-7	5694217.85073	6.753018	1.095318	0	0
9.46295	2.499267	2.77286	21.66102	-0.143226	21.984092	-0.143226	3.82347E+12	1.75361E-7	5702522.298949	6.783355	1.095311	0	0
10.559998	2.440573	2.697226	21.580711	0.017354	21.541462	0.017354	3.549343E+12	1.7276E-7	5788378.396306	6.747755	1.093306	0	0
11.688821	2.355194	2.618667	21.481789	0.19341	21.04291	0.19341	3.238535E+12	1.689803E-7	5917848.289666	6.791519	1.090331	0	0
12.807985	2.238919	2.543486	21.374258	0.366436	20.539794	0.366436	2.931464E+12	1.646045E-7	6075167.112848	6.763861	1.088465	0	0
13.927416	2.085381	2.47111	21.268148	0.525784	20.066612	0.525784	2.656996E+12	1.604438E-7	6232710.457423	6.801682	1.087462	0	0
15.03208	1.89261	2.411024	21.162373	0.670971	19.623717	0.670971	2.408968E+12	1.561989E-7	6402093.977652	6.772648	1.086816	0	0
16.127716	1.658359	2.361944	21.057815	0.802824	19.210484	0.802824	2.186552E+12	1.519591E-7	6580719.752278	6.785774	1.08543	0	0
16.67445	1.526376	2.346572	20.954956	0.922807	18.824402	0.922807	1.987793E+12	1.478049E-7	6765674.265686	6.781458	1.082957	0	0
17.201201	1.389714	2.329926	20.853085	1.033061	18.460066	1.033061	1.808754E+12	1.437266E-7	6957654.882423	6.78693	1.079527	0	0
17.743348	1.240478	2.316144	20.750699	1.135906	18.110701	1.135906	1.645054E+12	1.396638E-7	7160052.250805	6.802804	1.075279	0	0
18.269279	1.08684	2.316747	20.645766	1.232965	17.77046	1.232965	1.492639E+12	1.354727E-7	7381562.026853	6.790894	1.070959	0	0
18.785589	0.929753	2.327195	20.541559	1.32272	17.446576	1.32272	1.355255E+12	1.313922E-7	7610800.577809	6.822765	1.067238	0	0
19.29427	0.768498	2.349257	20.437605	1.406243	17.136199	1.406243	1.230804E+12	1.274124E-7	7848528.44536	6.794392	1.064059	0	0
19.797515	0.604002	2.382132	20.331373	1.485667	16.831635	1.485667	1.115422E+12	1.23421E-7	8102348.136389	6.833627	1.060563	0	0
20.293495	0.440032	2.414005	20.224651	1.55942	16.538661	1.55942	1.010397E+12	1.194389E-7	8372480.421515	6.796547	1.056625	0	0
20.755883	0.285017	2.446519	20.118582	1.627583	16.258496	1.627583	9.158135E+11	1.155553E-7	8653866.452952	6.837712	1.051632	0	0
21.215611	0.130109	2.459164	20.013354	1.690582	15.990477	1.690582	8.307308E+11	1.117837E-7	8945846.476652	6.813414	1.046744	0	0
13.672909	2.132224	2.461669	19.90775	1.749655	15.730411	1.749655	7.532898E+11	1.080973E-7	9250925.77991	6.848855	1.041369	0	0
21.58431	0	0	19.802784	1.804232	15.480899	1.804232	6.834708E+11	1.044919E-7	9570118.497158	6.834282	1.036712	0	0
0	0	0	19.699369	1.854182	15.243414	1.854182	6.210149E+11	1.009874E-7	9902225.308838	6.848998	1.031989	0	0
0	0	0	19.594183	1.900692	15.011423	1.900692	5.6334E+11	9.738064E-8	1.026898E+7	6.853595	1.02753	0	0
0	0	0	19.489821	1.943776	14.787925	1.943776	5.11412E+11	9.388411E-8	1.065143E+7	6.848978	1.022596	0	0
