Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
2.233409	2.359386	0	23.953158	-0.218731	24.430533	-0.218731	3.189732E+13	1.578676E-6	633442.185401	6.233019	1.097695	0	0
9.352504	2.120165	4.925681	23.925038	-0.137555	24.22775	-0.137555	3.107935E+13	1.5882E-6	629643.522968	6.224825	1.095994	0	0
10.440652	2.070539	4.720646	23.852283	0.009925	23.829975	0.009925	2.905879E+13	1.578159E-6	633649.659477	6.237089	1.093019	0	0
11.551285	2.014678	4.489166	23.761887	0.171473	23.366421	0.171473	2.672985E+13	1.558863E-6	641493.179221	6.253778	1.091053	0	0
12.669884	1.951077	4.240923	23.668004	0.322281	22.905144	0.322281	2.450796E+13	1.535095E-6	651425.414558	6.247584	1.089754	0	0
13.808236	1.87463	3.987839	23.572201	0.462179	22.449532	0.462179	2.243052E+13	1.508572E-6	662878.503953	6.267094	1.08914	0	0
14.936264	1.785229	3.735423	23.474978	0.589389	22.006212	0.589389	2.050185E+13	1.477957E-6	676609.482208	6.244616	1.087636	0	0
16.075219	1.674336	3.494571	23.376284	0.707595	21.567737	0.707595	1.871325E+13	1.445558E-6	691774.15023	6.275017	1.085156	0	0
16.635508	1.610343	3.385699	23.275875	0.816076	21.13702	0.816076	1.705334E+13	1.40993E-6	709254.920514	6.251957	1.081766	0	0
17.187985	1.539567	3.286466	23.17491	0.916252	20.713617	0.916252	1.553246E+13	1.373331E-6	728156.54485	6.294215	1.077373	0	0
17.751397	1.458957	3.187349	23.073717	1.009616	20.295488	1.009616	1.414404E+13	1.337073E-6	747902.15738	6.262891	1.073151	0	0
18.31123	1.369687	3.103542	22.97009	1.09787	19.875361	1.09787	1.285058E+13	1.299785E-6	769357.939541	6.306936	1.068904	0	0
18.861066	1.272825	3.022917	22.864846	1.180035	19.458112	1.180035	1.165782E+13	1.261292E-6	792837.906781	6.274018	1.066074	0	0
19.396813	1.168623	2.961321	22.757528	1.256973	19.041351	1.256973	1.055535E+13	1.221715E-6	818521.198228	6.316672	1.06238	0	0
19.94493	1.051135	2.911006	22.651083	1.328176	18.63288	1.328176	9.564786E+12	1.183504E-6	844948.836871	6.28494	1.058785	0	0
20.479147	0.927686	2.883555	22.544173	1.393351	18.232362	1.393351	8.663363E+12	1.144288E-6	873906.021025	6.31965	1.053508	0	0
