Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.452568	7.418688	0	29.323784	-0.263903	29.400646	-0.263903	3.780805E+13	5.756486E-6	173717.080431	1.167178E+17	1.644138E+12	3.565716E-6	12.323289	1.14743	0	0
4.476329	7.420578	-0.610815	29.226544	0.265142	29.149269	0.265142	3.494384E+13	5.713867E-6	175012.827399	1.167098E+17	0	0	12.290266	1.144234	0	0
4.49765	7.419372	-0.618018	29.127246	0.773969	28.901518	0.773969	3.224263E+13	5.675899E-6	176183.546475	1.167022E+17	0	0	12.307442	1.138273	0	0
5.029772	7.418354	-0.224236	29.029402	1.241391	28.667104	1.241391	2.978514E+13	5.640037E-6	177303.804565	1.166953E+17	0	0	12.316078	1.135637	0	0
7.072579	7.410427	0.834215	28.933942	1.658252	28.449663	1.658252	2.756806E+13	5.597984E-6	178635.751955	1.16689E+17	0	0	12.291057	1.133064	0	0
9.529231	7.395405	1.081242	28.840443	2.033073	28.246314	2.033073	2.555647E+13	5.550681E-6	180158.058247	1.166834E+17	0	0	12.295832	1.127559	0	0
11.966478	7.381943	0.96354	28.74843	2.38004	28.052462	2.38004	2.372013E+13	5.506604E-6	181600.120883	1.166782E+17	0	0	12.29446	1.118778	0	0
14.380934	7.358357	0.845695	28.657838	2.705164	27.866301	2.705164	2.204104E+13	5.469747E-6	182823.811422	1.166735E+17	0	0	12.301363	1.110221	0	0
16.785766	7.309281	0.744729	28.565988	3.012698	27.683904	3.012698	2.045989E+13	5.431761E-6	184102.358819	1.16669E+17	0	0	12.303354	1.10283	0	0
19.194251	7.211797	0.621934	28.474302	3.296048	27.508643	3.296048	1.899463E+13	5.389347E-6	185551.219235	1.166649E+17	0	0	12.285358	1.093546	0	0
19.916258	7.193534	0.547481	28.383759	3.557479	27.340854	3.557479	1.76506E+13	5.347086E-6	187017.75979	1.166611E+17	0	0	12.292306	1.082264	0	0
20.633738	7.176573	0.469693	28.292546	3.801484	27.177406	3.801484	1.639274E+13	5.301021E-6	188642.897607	1.166576E+17	0	0	12.302593	1.071389	0	0
21.360225	7.160898	0.386346	28.201481	4.029954	27.018575	4.029954	1.522631E+13	5.255789E-6	190266.374102	1.166543E+17	0	0	12.300968	1.061745	0	0
22.08374	7.129788	0.317797	28.113894	4.243119	26.867665	4.243119	1.418278E+13	5.224211E-6	191416.472399	1.166514E+17	0	0	12.305292	1.05211	0	0
22.781028	7.029441	0.300376	28.023564	4.442034	26.718098	4.442034	1.31814E+13	5.179811E-6	193057.24878	1.166486E+17	0	0	12.306177	1.041315	0	0
23.389366	6.878861	0.299117	27.930391	4.627903	26.569425	4.627903	1.22225E+13	5.122885E-6	195202.517776	1.166459E+17	0	0	12.311203	1.030425	0	0
24.022992	6.650611	0.299533	27.841857	4.798898	26.429744	4.798898	1.137605E+13	5.079322E-6	196876.674892	1.166435E+17	0	0	12.319936	1.020461	0	0
24.681544	6.321048	0.296863	27.752588	4.959002	26.292465	4.959002	1.058189E+13	5.032274E-6	198717.328369	1.166412E+17	0	0	12.31931	1.010953	0	0
25.330285	5.876759	0.295102	27.6643	5.107223	26.159619	5.107223	9.850977E+12	4.985087E-6	200598.290496	1.166392E+17	0	0	12.321941	1.00103	0	0
25.978843	5.298256	0.291627	27.576354	5.245558	26.029981	5.245558	9.173093E+12	4.937544E-6	202529.829526	1.166373E+17	0	0	12.327184	0.991018	0	0
26.587379	4.616261	0.289022	27.487592	5.375354	25.901988	5.375354	8.536193E+12	4.886587E-6	204641.798772	1.166355E+17	0	0	12.329566	0.981278	0	0
27.17175	3.830937	0.285113	27.40043	5.49457	25.778688	5.49457	7.953821E+12	4.835318E-6	206811.645943	1.166338E+17	0	0	12.332683	0.972042	0	0
27.752626	2.928034	0.286411	27.315343	5.604287	25.66025	5.604287	7.423649E+12	4.785916E-6	208946.404226	1.166323E+17	0	0	12.331652	0.962878	0	0
28.281357	1.999157	0.294806	27.230746	5.706064	25.544616	5.706064	6.931563E+12	4.734238E-6	211227.233685	1.16631E+17	0	0	12.331512	0.95317	0	0
28.743554	1.115079	0.300196	27.145822	5.801781	25.430409	5.801781	6.470377E+12	4.680856E-6	213636.140094	1.166297E+17	0	0	12.334091	0.943534	0	0
23.327119	6.894379	0.300734	27.06116	5.892587	25.317885	5.892587	6.041151E+12	4.630386E-6	215964.706017	1.166285E+17	0	0	12.333364	0.934321	0	0
29.276264	0	0	26.97586	5.977297	25.206491	5.977297	5.637482E+12	4.574926E-6	218582.750032	1.166273E+17	0	0	12.333772	0.925237	0	0
0	0	0	26.892374	6.056091	25.098654	6.056091	5.268522E+12	4.522747E-6	221104.584629	1.166263E+17	0	0	12.332678	0.916136	0	0
0	0	0	26.808381	6.129306	24.991932	6.129306	4.921686E+12	4.464914E-6	223968.48278	1.166253E+17	0	0	12.330558	0.907084	0	0
0	0	0	26.726022	6.198303	24.888089	6.198303	4.603773E+12	4.412632E-6	226622.111092	1.166244E+17	0	0	12.333429	0.898031	0	0
0	0	0	26.643075	6.263432	24.784776	6.263432	4.304341E+12	4.35822E-6	229451.489085	1.166236E+17	0	0	12.336801	0.889146	0	0
0	0	0	26.560372	6.325343	24.682644	6.325343	4.025182E+12	4.306347E-6	232215.35384	1.166228E+17	0	0	12.333511	0.880613	0	0
0	0	0	26.477	6.3834	24.580957	6.3834	3.762082E+12	4.250575E-6	235262.262054	1.16622E+17	0	0	12.33444	0.871848	0	0
0	0	0	26.394135	6.439386	24.480379	6.439386	3.517622E+12	4.201589E-6	238005.203632	1.166214E+17	0	0	12.32994	0.863562	0	0
0	0	0	26.311269	6.493768	24.38026	6.493768	3.289046E+12	4.159552E-6	240410.487866	1.166207E+17	0	0	12.329177	0.855245	0	0
0	0	0	26.228698	6.541846	24.282296	6.541846	3.076055E+12	4.103493E-6	243694.796177	1.166201E+17	0	0	12.328362	0.847055	0	0
0	0	0	26.147694	6.587827	24.186529	6.587827	2.880516E+12	4.0553E-6	246590.910586	1.166196E+17	0	0	12.321127	0.839137	0	0
0	0	0	26.065645	6.630332	24.090723	6.630332	2.69512E+12	3.998862E-6	250071.151744	1.16619E+17	0	0	12.321012	0.831171	0	0
0	0	0	25.982894	6.670206	23.994974	6.670206	2.520221E+12	3.938568E-6	253899.393394	1.166186E+17	0	0	12.317841	0.823213	0	0
0	0	0	25.901254	6.707627	23.90107	6.707627	2.358795E+12	3.880288E-6	257712.814139	1.166181E+17	0	0	12.312151	0.815383	0	0
