Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
5.160969	4.935009	0	43.346445	-0.168612	43.41718	-0.168612	8.874772E+13	1.305962E-5	76571.919009	3.519585E+16	4.278892E+12	4.614019E-6	11.022552	1.117436	0	0
5.295988	4.938609	-1.079065	43.188325	0.193672	43.103457	0.193672	8.152415E+13	1.29133E-5	77439.551418	3.517552E+16	0	0	11.009894	1.11494	0	0
5.352984	4.938671	-1.090314	43.024326	0.526996	42.783178	0.526996	7.46488E+13	1.271838E-5	78626.37953	3.515617E+16	0	0	11.024195	1.111071	0	0
7.023457	4.906087	3.572482	42.861943	0.832412	42.465064	0.832412	6.840961E+13	1.252304E-5	79852.784086	3.513862E+16	0	0	11.03116	1.109675	0	0
10.625103	4.808047	4.315464	42.70366	1.105095	42.156097	1.105095	6.28277E+13	1.232009E-5	81168.249637	3.512291E+16	0	0	11.004703	1.10725	0	0
14.240057	4.720597	4.059672	42.545198	1.355417	41.848217	1.355417	5.769358E+13	1.210447E-5	82614.126416	3.510846E+16	0	0	11.012899	1.101522	0	0
17.860143	4.581603	3.793347	42.387504	1.586398	41.54218	1.586398	5.299914E+13	1.188655E-5	84128.713139	3.509525E+16	0	0	11.027268	1.094399	0	0
21.492495	4.496005	3.238621	42.224745	1.806347	41.227472	1.806347	4.855263E+13	1.165483E-5	85801.348032	3.508274E+16	0	0	11.030369	1.088137	0	0
25.122555	4.42964	2.58399	42.055894	2.012179	40.904825	2.012179	4.433212E+13	1.139113E-5	87787.632727	3.507086E+16	0	0	11.038693	1.082218	0	0
28.76715	4.384841	1.850389	41.883237	2.202106	40.578583	2.202106	4.039438E+13	1.110065E-5	90084.842537	3.505978E+16	0	0	11.036208	1.074529	0	0
29.851767	4.380521	1.611376	41.706513	2.379105	40.2473	2.379105	3.672477E+13	1.079111E-5	92668.860447	3.504946E+16	0	0	11.050552	1.065172	0	0
30.95614	4.363916	1.387206	41.528939	2.541456	39.916809	2.541456	3.337236E+13	1.047117E-5	95500.265493	3.504002E+16	0	0	11.066988	1.056429	0	0
32.043386	4.326426	1.199911	41.348621	2.692942	39.583006	2.692942	3.028038E+13	1.014295E-5	98590.630958	3.503132E+16	0	0	11.069408	1.047974	0	0
33.112097	4.236819	1.085544	41.164774	2.834348	39.244859	2.834348	2.742201E+13	9.803809E-6	102001.166448	3.502328E+16	0	0	11.07587	1.038976	0	0
34.140885	4.105946	1.005649	40.980552	2.96542	38.907284	2.96542	2.482789E+13	9.467074E-6	105629.254474	3.501598E+16	0	0	11.086898	1.028893	0	0
35.186357	3.929165	0.945084	40.796363	3.08779	38.570319	3.08779	2.247913E+13	9.139298E-6	109417.597188	3.500937E+16	0	0	11.103063	1.018682	0	0
36.207788	3.710013	0.894387	40.612517	3.201171	38.235175	3.201171	2.035597E+13	8.817289E-6	113413.545461	3.50034E+16	0	0	11.116443	1.009182	0	0
37.228489	3.432385	0.849812	40.428033	3.306355	37.900484	3.306355	1.842672E+13	8.497102E-6	117687.178243	3.499797E+16	0	0	11.123493	0.999881	0	0
38.239913	3.091716	0.81333	40.242619	3.404268	37.565616	3.404268	1.667168E+13	8.179549E-6	122256.131217	3.499303E+16	0	0	11.132482	0.990045	0	0
39.242514	2.676373	0.77951	40.055114	3.495049	37.229268	3.495049	1.506658E+13	7.858068E-6	127257.744852	3.498851E+16	0	0	11.140208	0.980034	0	0
40.207702	2.188261	0.756933	39.86738	3.580261	36.893196	3.580261	1.361416E+13	7.547168E-6	132500.029241	3.498443E+16	0	0	11.144362	0.970406	0	0
41.152288	1.620921	0.767117	39.677784	3.660141	36.555223	3.660141	1.228925E+13	7.239556E-6	138130.020026	3.49807E+16	0	0	11.152952	0.960882	0	0
42.022844	1.014515	0.791236	39.488318	3.734264	36.218898	3.734264	1.109395E+13	6.938848E-6	144116.143712	3.497733E+16	0	0	11.154623	0.951278	0	0
42.654584	0.53127	0.773829	39.296729	3.803994	35.88012	3.803994	1.000334E+13	6.642452E-6	150546.819994	3.497427E+16	0	0	11.159456	0.941378	0	0
32.790195	4.268782	1.113	39.10661	3.869375	35.544331	3.869375	9.027027E+12	6.36192E-6	157185.252053	3.497152E+16	0	0	11.160468	0.931782	0	0
43.274961	0	0	38.919285	3.930486	35.213722	3.930486	8.158241E+12	6.099415E-6	163950.143404	3.496907E+16	0	0	11.16153	0.922138	0	0
0	0	0	38.73521	3.987272	34.889363	3.987272	7.385979E+12	5.852908E-6	170855.251944	3.49669E+16	0	0	11.158282	0.912701	0	0
0	0	0	38.553781	4.039445	34.570991	4.039445	6.696347E+12	5.61556E-6	178076.618757	3.496496E+16	0	0	11.16074	0.903041	0	0
0	0	0	38.375456	4.087678	34.258955	4.087678	6.081265E+12	5.390043E-6	185527.289152	3.496323E+16	0	0	11.159923	0.893389	0	0
0	0	0	38.194403	4.133173	33.943639	4.133173	5.51452E+12	5.165044E-6	193609.206301	3.496163E+16	0	0	11.159111	0.884032	0	0
0	0	0	38.012876	4.176259	33.628199	4.176259	4.999293E+12	4.948359E-6	202087.1884	3.496018E+16	0	0	11.158996	0.874875	0	0
0	0	0	37.828899	4.21722	33.309514	4.21722	4.526189E+12	4.735734E-6	211160.518764	3.495885E+16	0	0	11.151545	0.866005	0	0
0	0	0	37.642276	4.25541	32.988101	4.25541	4.091986E+12	4.522028E-6	221139.697449	3.495763E+16	0	0	11.145702	0.857286	0	0
0	0	0	37.452369	4.293101	32.660611	4.293101	3.692867E+12	4.320584E-6	231450.187226	3.495651E+16	0	0	11.136443	0.848487	0	0
0	0	0	37.258608	4.328308	32.32843	4.328308	3.32573E+12	4.116836E-6	242904.975686	3.495548E+16	0	0	11.128484	0.839761	0	0
0	0	0	37.065483	4.360169	31.999489	4.360169	2.996115E+12	3.914383E-6	255468.112333	3.495455E+16	0	0	11.119536	0.831201	0	0
0	0	0	36.871656	4.390578	31.669748	4.390578	2.698137E+12	3.721968E-6	268675.075928	3.495371E+16	0	0	11.109689	0.822834	0	0
0	0	0	36.676458	4.418847	31.339109	4.418847	2.427988E+12	3.532741E-6	283066.297792	3.495295E+16	0	0	11.094214	0.814793	0	0
0	0	0	36.481683	4.444941	31.01049	4.444941	2.185383E+12	3.349058E-6	298591.386613	3.495227E+16	0	0	11.082232	0.806744	0	0
0	0	0	36.284394	4.470036	30.678078	4.470036	1.964344E+12	3.172792E-6	315179.777094	3.495164E+16	0	0	11.069266	0.798743	0	0
0	0	0	36.089407	4.49359	30.349991	4.49359	1.767857E+12	3.007795E-6	332469.50117	3.495109E+16	0	0	11.054199	0.79095	0	0
0	0	0	35.894551	4.515828	30.02273	4.515828	1.591135E+12	2.850738E-6	350786.382604	3.495059E+16	0	0	11.040564	0.783181	0	0
0	0	0	35.699761	4.537379	29.695454	4.537379	1.432126E+12	2.704916E-6	369697.272796	3.495015E+16	0	0	11.028222	0.775475	0	0
0	0	0	35.504954	4.557254	29.369417	4.557254	1.288996E+12	2.562672E-6	390217.772178	3.494974E+16	0	0	11.007966	0.768056	0	0
0	0	0	35.313202	4.575858	29.048912	4.575858	1.162085E+12	2.430035E-6	411516.791068	3.494939E+16	0	0	10.98839	0.76071	0	0
0	0	0	35.124716	4.59348	28.733972	4.59348	1.049521E+12	2.307888E-6	433296.637384	3.494907E+16	0	0	10.965572	0.753451	0	0
0	0	0	34.938599	4.610125	28.423286	4.610125	9.490734E+11	2.193928E-6	455803.479308	3.494879E+16	0	0	10.94492	0.746343	0	0
