Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
4.41368	9.74025	0.00000	39.9018	-0.517693	40.0527	-0.517693	963041000000000	0.0000658896	15175.4
4.41797	9.75207	-0.465032	39.9425	-0.558050	40.1053	-0.558050	987059000000000	0.0000672682	14864.2
4.48967	9.75190	-0.472395	39.9433	-0.459000	40.0772	-0.459000	987536000000000	0.0000679543	14714.1
5.26053	9.75512	-0.551207	39.8239	0.267293	39.7461	0.267293	918633000000000	0.0000680595	14691.6
7.03350	9.75655	-0.732824	39.6929	0.939174	39.4205	0.939174	848300000000000	0.0000676466	14781.5
8.76053	9.75747	-0.909736	39.5621	1.56753	39.1087	1.56753	783119000000000	0.0000672501	14868.8
10.6502	9.74324	-1.10524	39.4284	2.15735	38.8063	2.15735	721432000000000	0.0000667717	14975.5
12.4478	9.73478	1.30352	39.2954	2.69128	38.5217	2.69128	664658000000000	0.0000661766	15110.3
14.2637	9.75401	-1.47431	39.1645	3.18409	38.2518	3.18409	612968000000000	0.0000656177	15239.2
16.0529	9.73805	0.591967	39.0360	3.64492	37.9943	3.64492	565995000000000	0.0000651700	15344.0
17.8484	9.72931	0.945865	38.9091	4.06485	37.7509	4.06485	523015000000000	0.0000646771	15461.0
19.6491	9.72795	0.794130	38.7831	4.45127	37.5185	4.45127	483448000000000	0.0000641520	15587.6
21.4476	9.72692	0.632384	38.6570	4.80721	37.2952	4.80721	446732000000000	0.0000635572	15733.5
23.2549	9.73192	0.312352	38.5352	5.13096	37.0858	5.13096	413854000000000	0.0000630151	15868.9
25.0431	9.73045	0.174997	38.4151	5.43139	36.8851	5.43139	383734000000000	0.0000625029	15999.0
26.8417	9.71959	0.211916	38.2950	5.71158	36.6906	5.71158	355748000000000	0.0000619745	16135.5
27.4293	9.71455	0.193500	38.1768	5.97070	36.5043	5.97070	330156000000000	0.0000614698	16268.0
28.0325	9.71097	0.154642	38.0608	6.20887	36.3264	6.20887	306797000000000	0.0000609733	16400.5
28.6464	9.72429	-0.0473946	37.9461	6.42831	36.1552	6.42831	285280000000000	0.0000604536	16541.5
29.2370	9.69932	0.101373	37.8326	6.63370	35.9894	6.63370	265430000000000	0.0000599658	16676.1
29.8265	9.65872	0.173110	37.7180	6.82328	35.8272	6.82328	246776000000000	0.0000593750	16842.0
30.4266	9.60516	0.206001	37.6058	7.00150	35.6709	7.00150	229775000000000	0.0000588822	16983.0
31.0129	9.52276	0.232341	37.4951	7.16612	35.5199	7.16612	214116000000000	0.0000583784	17129.5
31.6005	9.40815	0.249498	37.3869	7.31850	35.3749	7.31850	199823000000000	0.0000579093	17268.3
32.1787	9.26651	0.256232	37.2799	7.46011	35.2342	7.46011	186617000000000	0.0000574414	17409.0
32.7425	9.07693	0.262823	37.1753	7.59146	35.0988	7.59146	174541000000000	0.0000570081	17541.3
