Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
4.62189	9.60962	0.00000	39.8365	-0.809572	40.0609	-0.809572	925682000000000	0.0000623534	16036.2
4.64498	9.61721	-0.492724	39.8908	-0.769438	40.1039	-0.769438	956657000000000	0.0000646890	15457.1
4.70441	9.62850	-0.497635	39.8147	-0.279025	39.8921	-0.279025	913549000000000	0.0000648376	15421.8
5.14955	9.61418	-0.545544	39.6913	0.385559	39.5842	0.385559	847458000000000	0.0000644805	15507.4
6.84218	9.60672	1.69024	39.5603	1.03309	39.2726	1.03309	782244000000000	0.0000640122	15621.0
8.67882	9.59581	1.96331	39.4276	1.62927	38.9730	1.62927	721064000000000	0.0000634139	15768.6
10.6379	9.59748	1.72221	39.2959	2.18009	38.6864	2.18009	664888000000000	0.0000628085	15920.7
12.4642	9.59981	1.47214	39.1630	2.69746	38.4072	2.69746	612430000000000	0.0000621835	16080.8
14.2798	9.59969	1.28623	39.0338	3.17552	38.1422	3.17552	565221000000000	0.0000616542	16219.0
16.0693	9.59672	1.17372	38.9048	3.62116	37.8860	3.62116	521602000000000	0.0000611301	16358.1
17.8844	9.58668	1.14866	38.7747	4.03348	37.6376	4.03348	480898000000000	0.0000605273	16521.1
19.6754	9.57636	1.03470	38.6460	4.40995	37.4002	4.40995	443656000000000	0.0000598828	16699.0
21.4847	9.57933	0.825416	38.5212	4.75307	37.1759	4.75307	410230000000000	0.0000592831	16867.9
23.2772	9.57257	0.682828	38.3976	5.07152	36.9594	5.07152	379529000000000	0.0000586952	17036.9
25.0740	9.55806	0.561503	38.2747	5.36484	36.7504	5.36484	351233000000000	0.0000580728	17219.6
26.8724	9.55481	0.384974	38.1531	5.63952	36.5477	5.63952	325241000000000	0.0000574959	17392.4
27.4691	9.55134	0.334474	38.0326	5.89584	36.3510	5.89584	301348000000000	0.0000569487	17559.5
28.0709	9.54557	0.290339	37.9127	6.13006	36.1611	6.13006	279295000000000	0.0000563340	17751.1
28.6677	9.52618	0.277962	37.7938	6.34696	35.9769	6.34696	258974000000000	0.0000557079	17950.7
29.2557	9.48440	0.294146	37.6770	6.54684	35.7995	6.54684	240428000000000	0.0000550934	18150.9
29.8540	9.42797	0.301266	37.5619	6.73421	35.6272	6.73421	223435000000000	0.0000545361	18336.4
30.4451	9.35684	0.301101	37.4467	6.90991	35.4580	6.90991	207604000000000	0.0000539697	18528.8
31.0321	9.25516	0.303666	37.3332	7.07135	35.2944	7.07135	193086000000000	0.0000533882	18730.7
31.6181	9.13268	0.299513	37.2235	7.22034	35.1383	7.22034	180013000000000	0.0000528773	18911.7
32.1952	8.96643	0.298645	37.1137	7.36017	34.9845	7.36017	167798000000000	0.0000523532	19101.0
32.7720	8.75498	0.296884	37.0048	7.49174	34.8340	7.49174	156497000000000	0.0000518604	19282.5
33.3447	8.48954	0.294908	36.8962	7.61465	34.6860	7.61465	145971000000000	0.0000513526	19473.2
33.9027	8.17209	0.292620	36.7887	7.72826	34.5419	7.72826	136244000000000	0.0000508251	19675.3
34.4615	7.78658	0.290135	36.6834	7.83375	34.4022	7.83375	127337000000000	0.0000503240	19871.2
35.0172	7.33075	0.287252	36.5794	7.93348	34.2655	7.93348	119106000000000	0.0000498720	20051.3
35.5566	6.81197	0.284061	36.4759	8.02585	34.1314	8.02585	111444000000000	0.0000493850	20249.0
36.0959	6.21767	0.280787	36.3751	8.11256	34.0016	8.11256	104444000000000	0.0000489638	20423.2
36.6176	5.55979	0.279024	36.2758	8.19311	33.8752	8.19311	97981900000000	0.0000485464	20598.8
37.1244	4.84618	0.275575	36.1775	8.26946	33.7509	8.26946	91973900000000	0.0000481660	20761.5
37.6177	4.08162	0.276040	36.0802	8.34344	33.6283	8.34344	86387300000000	0.0000478835	20884.0
38.0873	3.28630	0.280174	35.9838	8.41002	33.5087	8.41002	81183200000000	0.0000474966	21054.1
38.5378	2.46981	0.286438	35.8875	8.47288	33.3903	8.47288	76297100000000	0.0000471064	21228.5
31.8425	9.07004	0.300601	35.7930	8.53173	33.2748	8.53173	71785000000000	0.0000467402	21394.8
39.7531	0.00000	0.00000	35.6995	8.58760	33.1612	8.58760	67582500000000	0.0000464094	21547.4
0.00000	0.00000	0.00000	35.6048	8.63980	33.0475	8.63980	63576500000000	0.0000460082	21735.2
0.00000	0.00000	0.00000	35.5116	8.68934	32.9360	8.68934	59864800000000	0.0000456546	21903.6
0.00000	0.00000	0.00000	35.4173	8.73659	32.8241	8.73659	56329100000000	0.0000452828	22083.4
0.00000	0.00000	0.00000	35.3257	8.78049	32.7158	8.78049	53092000000000	0.0000449404	22251.7
0.00000	0.00000	0.00000	35.2358	8.82198	32.6101	8.82198	50096700000000	0.0000446388	22402.0
0.00000	0.00000	0.00000	35.1481	8.86065	32.5075	8.86065	47338700000000	0.0000443594	22543.2
0.00000	0.00000	0.00000	35.0612	8.89675	32.4064	8.89675	44753200000000	0.0000440599	22696.3
0.00000	0.00000	0.00000	34.9737	8.93095	32.3052	8.93095	42290600000000	0.0000437338	22865.6
0.00000	0.00000	0.00000	34.8888	8.96340	32.2072	8.96340	40030700000000	0.0000434756	23001.4
0.00000	0.00000	0.00000	34.8049	8.99331	32.1111	8.99331	37918800000000	0.0000431801	23158.8
0.00000	0.00000	0.00000	34.7219	9.02265	32.0159	9.02265	35935500000000	0.0000429675	23273.4
0.00000	0.00000	0.00000	34.6386	9.04932	31.9213	9.04932	34051600000000	0.0000426531	23444.9
0.00000	0.00000	0.00000	34.5576	9.07553	31.8292	9.07553	32313400000000	0.0000424620	23550.5
0.00000	0.00000	0.00000	34.4762	9.10000	31.7370	9.10000	30653900000000	0.0000422158	23687.8
0.00000	0.00000	0.00000	34.3962	9.12274	31.6470	9.12274	29108400000000	0.0000419595	23832.5
0.00000	0.00000	0.00000	34.3155	9.14523	31.5562	9.14523	27626900000000	0.0000417527	23950.5
0.00000	0.00000	0.00000	34.2360	9.16582	31.4673	9.16582	26240900000000	0.0000414979	24097.6
0.00000	0.00000	0.00000	34.1574	9.18517	31.3796	9.18517	24938300000000	0.0000412355	24250.9
0.00000	0.00000	0.00000	34.0800	9.20425	31.2933	9.20425	23720000000000	0.0000410671	24350.4
0.00000	0.00000	0.00000	34.0020	9.22188	31.2068	9.22188	22551800000000	0.0000408195	24498.1
0.00000	0.00000	0.00000	33.9240	9.23909	31.1204	9.23909	21441700000000	0.0000406135	24622.4
0.00000	0.00000	0.00000	33.8477	9.25495	31.0361	9.25495	20407200000000	0.0000403819	24763.6
0.00000	0.00000	0.00000	33.7722	9.27052	30.9527	9.27052	19433100000000	0.0000402200	24863.2
0.00000	0.00000	0.00000	33.6964	9.28429	30.8696	9.28429	18501900000000	0.0000399142	25053.8
0.00000	0.00000	0.00000	33.6216	9.29831	30.7875	9.29831	17627500000000	0.0000397398	25163.7
0.00000	0.00000	0.00000	33.5468	9.31247	30.7053	9.31247	16794100000000	0.0000396654	25210.9
0.00000	0.00000	0.00000	33.4736	9.32444	30.6254	9.32444	16015600000000	0.0000394146	25371.3
0.00000	0.00000	0.00000	33.3997	9.33640	30.5448	9.33640	15267400000000	0.0000392171	25499.0
0.00000	0.00000	0.00000	33.3267	9.34866	30.4650	9.34866	14561500000000	0.0000391617	25535.2
0.00000	0.00000	0.00000	33.2534	9.35814	30.3857	9.35814	13886200000000	0.0000387536	25804.1
0.00000	0.00000	0.00000	33.1808	9.36959	30.3066	9.36959	13247900000000	0.0000387351	25816.4
0.00000	0.00000	0.00000	33.1098	9.37820	30.2300	9.37820	12652100000000	0.0000383703	26061.8
0.00000	0.00000	0.00000	33.0382	9.38897	30.1521	9.38897	12078600000000	0.0000384196	26028.4
0.00000	0.00000	0.00000	32.9678	9.39669	30.0764	9.39669	11539800000000	0.0000380354	26291.3
0.00000	0.00000	0.00000	32.8967	9.40577	29.9996	9.40577	11020500000000	0.0000379430	26355.3
0.00000	0.00000	0.00000	32.8273	9.41371	29.9248	9.41371	10535700000000	0.0000377432	26494.8
0.00000	0.00000	0.00000	32.7569	9.42117	29.8492	9.42117	10065800000000	0.0000374869	26676.0
0.00000	0.00000	0.00000	32.6879	9.42959	29.7747	9.42959	9625460000000	0.0000375238	26649.8
0.00000	0.00000	0.00000	32.6184	9.43568	29.7003	9.43568	9201240000000	0.0000371249	26936.1
0.00000	0.00000	0.00000	32.5502	9.44274	29.6271	9.44274	8803340000000	0.0000370227	27010.5
0.00000	0.00000	0.00000	32.4817	9.44962	29.5536	9.44962	8421290000000	0.0000369384	27072.1
0.00000	0.00000	0.00000	32.4130	9.45537	29.4803	9.45537	8054540000000	0.0000366469	27287.4
0.00000	0.00000	0.00000	32.3450	9.46149	29.4075	9.46149	7707100000000	0.0000365152	27385.9
0.00000	0.00000	0.00000	32.2767	9.46823	29.3343	9.46823	7373380000000	0.0000365998	27322.6
0.00000	0.00000	0.00000	32.2092	9.47315	29.2624	9.47315	7057690000000	0.0000362944	27552.5
0.00000	0.00000	0.00000	32.1410	9.47678	29.1901	9.47678	6752010000000	0.0000356729	28032.5
0.00000	0.00000	0.00000	32.0740	9.48199	29.1187	9.48199	6465240000000	0.0000355516	28128.1
0.00000	0.00000	0.00000	32.0063	9.48785	29.0464	9.48785	6187630000000	0.0000356637	28039.7
0.00000	0.00000	0.00000	31.9378	9.49227	28.9736	9.49227	5918790000000	0.0000353967	28251.2
0.00000	0.00000	0.00000	31.8691	9.49583	28.9009	9.49583	5661040000000	0.0000349141	28641.7
0.00000	0.00000	0.00000	31.8025	9.49970	28.8303	9.49970	5421790000000	0.0000346169	28887.6
0.00000	0.00000	0.00000	31.7351	9.50533	28.7583	9.50533	5189900000000	0.0000349259	28632.1
0.00000	0.00000	0.00000	31.6672	9.50925	28.6862	9.50925	4966080000000	0.0000347244	28798.2
0.00000	0.00000	0.00000	31.6001	9.51242	28.6153	9.51242	4754830000000	0.0000343330	29126.5
0.00000	0.00000	0.00000	31.5340	9.51522	28.5456	9.51522	4555410000000	0.0000338690	29525.5
0.00000	0.00000	0.00000	31.4682	9.51809	28.4761	9.51809	4365130000000	0.0000334692	29878.2
0.00000	0.00000	0.00000	31.4026	9.52192	28.4065	9.52192	4183200000000	0.0000334763	29871.9
0.00000	0.00000	0.00000	31.3375	9.52561	28.3375	9.52561	4010300000000	0.0000335031	29848.0
0.00000	0.00000	0.00000	31.2723	9.52927	28.2684	9.52927	3844330000000	0.0000335795	29780.1
0.00000	0.00000	0.00000	31.2048	9.53189	28.1972	9.53189	3679660000000	0.0000332219	30100.6
0.00000	0.00000	0.00000	31.1393	9.53393	28.1282	9.53393	3526550000000	0.0000326989	30582.1
0.00000	0.00000	0.00000	31.0744	9.53582	28.0600	9.53582	3381350000000	0.0000321547	31099.6
0.00000	0.00000	0.00000	31.0091	9.53866	27.9911	9.53866	3241100000000	0.0000320535	31197.8
0.00000	0.00000	0.00000	30.9449	9.54198	27.9230	9.54198	3108800000000	0.0000322579	31000.2
0.00000	0.00000	0.00000	30.8795	9.54489	27.8540	9.54489	2979820000000	0.0000323064	30953.6
0.00000	0.00000	0.00000	30.8139	9.54766	27.7847	9.54766	2855700000000	0.0000323461	30915.6
0.00000	0.00000	0.00000	30.7491	9.54969	27.7166	9.54969	2738210000000	0.0000320648	31186.8
0.00000	0.00000	0.00000	30.6840	9.55139	27.6481	9.55139	2624930000000	0.0000316357	31609.9
0.00000	0.00000	0.00000	30.6198	9.55301	27.5806	9.55301	2517840000000	0.0000312149	32036.0
0.00000	0.00000	0.00000	30.5556	9.55411	27.5134	9.55411	2415180000000	0.0000305352	32749.1
0.00000	0.00000	0.00000	30.4900	9.55608	27.4444	9.55608	2314580000000	0.0000303412	32958.5
0.00000	0.00000	0.00000	30.4243	9.55753	27.3754	9.55753	2218010000000	0.0000298836	33463.2
0.00000	0.00000	0.00000	30.3593	9.55943	27.3070	9.55943	2126450000000	0.0000297316	33634.2
0.00000	0.00000	0.00000	30.2940	9.56178	27.2383	9.56178	2038350000000	0.0000299018	33442.8
0.00000	0.00000	0.00000	30.2274	9.56350	27.1682	9.56350	1952050000000	0.0000297044	33665.1
0.00000	0.00000	0.00000	30.1620	9.56578	27.0993	9.56578	1871000000000	0.0000299491	33390.0
0.00000	0.00000	0.00000	30.0960	9.56739	27.0300	9.56739	1792640000000	0.0000297887	33569.8
0.00000	0.00000	0.00000	30.0301	9.56908	26.9608	9.56908	1717660000000	0.0000297376	33627.5
0.00000	0.00000	0.00000	29.9646	9.57035	26.8921	9.57035	1646160000000	0.0000294227	33987.4
0.00000	0.00000	0.00000	29.8983	9.57123	26.8227	9.57123	1576940000000	0.0000288306	34685.4
0.00000	0.00000	0.00000	29.8309	9.57228	26.7520	9.57228	1509410000000	0.0000283659	35253.6
0.00000	0.00000	0.00000	29.7643	9.57350	26.6823	9.57350	1445660000000	0.0000280908	35598.9
0.00000	0.00000	0.00000	29.6982	9.57443	26.6131	9.57443	1384960000000	0.0000276242	36200.2
0.00000	0.00000	0.00000	29.6309	9.57534	26.5426	9.57534	1325780000000	0.0000271459	36838.0
0.00000	0.00000	0.00000	29.5626	9.57600	26.4712	9.57600	1268390000000	0.0000264798	37764.6
0.00000	0.00000	0.00000	29.4953	9.57750	26.4005	9.57750	1214150000000	0.0000265301	37693.1
0.00000	0.00000	0.00000	29.4265	9.57861	26.3284	9.57861	1161180000000	0.0000262777	38055.1
0.00000	0.00000	0.00000	29.3575	9.57959	26.2561	9.57959	1110320000000	0.0000259520	38532.7
0.00000	0.00000	0.00000	29.2878	9.58097	26.1830	9.58097	1061250000000	0.0000259991	38462.8
0.00000	0.00000	0.00000	29.2169	9.58228	26.1088	9.58228	1013590000000	0.0000260143	38440.4
0.00000	0.00000	0.00000	29.1466	9.58370	26.0350	9.58370	968375000000	0.0000262174	38142.7
0.00000	0.00000	0.00000	29.0761	9.58468	25.9611	9.58468	925089000000	0.0000260355	38409.1
0.00000	0.00000	0.00000	29.0047	9.58534	25.8865	9.58534	883232000000	0.0000255312	39167.8
0.00000	0.00000	0.00000	28.9331	9.58673	25.8114	9.58673	843152000000	0.0000258514	38682.7
0.00000	0.00000	0.00000	28.8611	9.58737	25.7361	9.58737	804670000000	0.0000253762	39407.0
0.00000	0.00000	0.00000	28.7895	9.58787	25.6613	9.58787	768171000000	0.0000247870	40343.8
0.00000	0.00000	0.00000	28.7157	9.58906	25.5840	9.58906	732273000000	0.0000249990	40001.6
0.00000	0.00000	0.00000	28.6413	9.58948	25.5063	9.58948	697763000000	0.0000243144	41127.9
0.00000	0.00000	0.00000	28.5668	9.58979	25.4285	9.58979	664823000000	0.0000235263	42505.7
0.00000	0.00000	0.00000	28.4904	9.59091	25.3485	9.59091	632687000000	0.0000237374	42127.7
0.00000	0.00000	0.00000	28.4144	9.59147	25.2690	9.59147	602257000000	0.0000232910	42935.0
0.00000	0.00000	0.00000	28.3366	9.59180	25.1878	9.59180	572623000000	0.0000225539	44338.3
0.00000	0.00000	0.00000	28.2580	9.59222	25.1058	9.59222	544170000000	0.0000219462	45566.0
0.00000	0.00000	0.00000	28.1789	9.59236	25.0233	9.59236	516951000000	0.0000210223	47568.5
0.00000	0.00000	0.00000	28.0965	9.59315	24.9370	9.59315	490027000000	0.0000208815	47889.3
0.00000	0.00000	0.00000	28.0112	9.59348	24.8480	9.59348	463654000000	0.0000201619	49598.6
0.00000	0.00000	0.00000	27.9276	9.59357	24.7609	9.59357	439194000000	0.0000192048	52070.4
0.00000	0.00000	0.00000	27.8431	9.59442	24.6725	9.59442	415773000000	0.0000192014	52079.5
0.00000	0.00000	0.00000	27.7598	9.59446	24.5856	9.59446	393893000000	0.0000182321	54848.4
0.00000	0.00000	0.00000	27.6741	9.59521	24.4960	9.59521	372600000000	0.0000181498	55096.9
0.00000	0.00000	0.00000	27.5878	9.59563	24.4059	9.59563	352304000000	0.0000176719	56587.1
0.00000	0.00000	0.00000	27.5004	9.59577	24.3147	9.59577	332885000000	0.0000168709	59273.6
0.00000	0.00000	0.00000	27.4094	9.59612	24.2197	9.59612	313813000000	0.0000163180	61282.2
0.00000	0.00000	0.00000	27.3192	9.59664	24.1255	9.59664	295969000000	0.0000159999	62500.5
0.00000	0.00000	0.00000	27.2271	9.59731	24.0293	9.59731	278815000000	0.0000158891	62936.2
0.00000	0.00000	0.00000	27.1345	9.59760	23.9326	9.59760	262551000000	0.0000153308	65228.2
