Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.451707	9.787926	0	40.070261	-1.144103	40.391512	-1.144103	1.066066E+15	6.844082E-5	14609.277728	18.016315	1.117149	0	0
4.460891	9.7918	-0.466823	40.021387	-0.771668	40.238086	-0.771668	1.035169E+15	6.880122E-5	14532.846971	18.104104	1.116555	0	0
4.503911	9.788336	-0.467893	39.922056	-0.142862	39.962183	-0.142862	9.749358E+14	6.890081E-5	14512.038633	18.042382	1.116476	0	0
5.135286	9.785058	1.902565	39.800053	0.535363	39.64964	0.535363	9.054482E+14	6.868053E-5	14558.806236	18.104257	1.115803	0	0
7.482892	9.787803	0.699893	39.676678	1.160371	39.350577	1.160371	8.399361E+14	6.832672E-5	14634.391486	18.039823	1.114575	0	0
10.097509	9.7225	2.150648	39.55211	1.750684	39.059979	1.750684	7.78349E+14	6.79672E-5	14711.974222	18.086784	1.113426	0	0
12.59705	9.716468	1.910692	39.426072	2.296331	38.780377	2.296331	7.20406E+14	6.748932E-5	14816.297218	18.020844	1.111683	0	0
15.008053	9.708749	1.682762	39.301781	2.79049	38.516923	2.79049	6.672991E+14	6.69289E-5	14940.490101	18.05953	1.110099	0	0
17.419051	9.698885	1.457572	39.180007	3.245867	38.266825	3.245867	6.189032E+14	6.639575E-5	15060.568297	17.992633	1.108554	0	0
19.81188	9.69345	1.222435	39.060045	3.674109	38.026112	3.674109	5.74523E+14	6.595186E-5	15162.026111	18.03819	1.10693	0	0
22.212558	9.691833	0.978145	38.941554	4.066855	37.7968	4.066855	5.336939E+14	6.54707E-5	15273.534757	17.992088	1.105623	0	0
24.613838	9.680311	0.752296	38.823095	4.435172	37.574343	4.435172	4.95674E+14	6.499065E-5	15386.419818	18.044723	1.104237	0	0
27.007063	9.667216	0.526992	38.704636	4.771657	37.360797	4.771657	4.60273E+14	6.439716E-5	15528.283435	18.020002	1.102851	0	0
27.907606	9.667923	0.432693	38.587794	5.08805	37.154483	5.08805	4.277561E+14	6.38766E-5	15654.880273	18.069625	1.102058	0	0
28.81147	9.669454	0.336941	38.471279	5.384539	36.95406	5.384539	3.975515E+14	6.336341E-5	15781.716113	18.050449	1.101306	0	0
29.701122	9.63322	0.294588	38.354764	5.66244	36.758834	5.66244	3.694217E+14	6.284626E-5	15911.620144	18.093476	1.10087	0	0
30.597772	9.546247	0.284566	38.23905	5.920893	36.569854	5.920893	3.434055E+14	6.232487E-5	16044.764466	18.068324	1.100316	0	0
31.486879	9.390236	0.287463	38.124446	6.161114	36.387093	6.161114	3.194023E+14	6.180805E-5	16178.952425	18.096509	1.09988	0	0
32.359586	9.163708	0.285944	38.010185	6.384639	36.209352	6.384639	2.971043E+14	6.126921E-5	16321.263889	18.071185	1.099286	0	0
33.222599	8.829878	0.284732	37.896627	6.592881	36.036596	6.592881	2.764538E+14	6.072642E-5	16467.171361	18.079089	1.098969	0	0
34.071839	8.362953	0.283025	37.784326	6.784636	35.869727	6.784636	2.574165E+14	6.015492E-5	16623.633723	18.051472	1.098335	0	0
34.906177	7.734807	0.281678	37.672793	6.963205	35.707324	6.963205	2.397835E+14	5.957662E-5	16785.013629	18.058255	1.097543	0	0
35.719877	6.954694	0.27945	37.563825	7.13079	35.550574	7.13079	2.237033E+14	5.908682E-5	16924.166061	18.038412	1.096592	0	0
36.519647	6.005649	0.2761	37.454873	7.286835	35.397077	7.286835	2.086863E+14	5.855938E-5	17076.611305	18.034021	1.0958	0	0
37.276598	4.922667	0.274444	37.347702	7.429998	35.248985	7.429998	1.94884E+14	5.800663E-5	17239.345908	18.020612	1.095048	0	0
38.018362	3.707493	0.276303	37.242343	7.565192	35.104948	7.565192	1.821928E+14	5.752753E-5	17382.926386	18.022823	1.09382	0	0
38.69407	2.452641	0.289536	37.136495	7.693105	34.962459	7.693105	1.702638E+14	5.704367E-5	17530.380192	18.029294	1.092433	0	0
39.293574	1.254808	0.310201	37.031643	7.813219	34.823159	7.813219	1.592079E+14	5.658403E-5	17672.788724	18.027407	1.091008	0	0
32.142371	9.234715	0.284055	36.927264	7.924633	34.686779	7.924633	1.489068E+14	5.608739E-5	17829.282163	18.047747	1.089186	0	0
39.90579	0	0	36.824634	8.028507	34.554273	8.028507	1.394212E+14	5.561496E-5	17980.741832	18.036184	1.087562	0	0
0	0	0	36.722069	8.124849	34.42395	8.124849	1.305392E+14	5.508847E-5	18152.591484	18.053444	1.085542	0	0
0	0	0	36.621578	8.216354	34.297069	8.216354	1.223806E+14	5.465255E-5	18297.382558	18.037147	1.083957	0	0
0	0	0	36.522084	8.301434	34.172996	8.301434	1.148009E+14	5.420192E-5	18449.508667	18.059967	1.081818	0	0
0	0	0	36.423847	8.380736	34.051812	8.380736	1.077738E+14	5.375171E-5	18604.040489	18.030074	1.080313	0	0
0	0	0	36.328012	8.4556	33.934289	8.4556	1.013299E+14	5.337759E-5	18734.437426	18.056085	1.078333	0	0
0	0	0	36.233189	8.527677	33.818563	8.527677	9.533047E+13	5.308935E-5	18836.155536	18.020693	1.076709	0	0
0	0	0	36.137419	8.594003	33.703506	8.594003	8.962907E+13	5.268714E-5	18979.950726	18.055301	1.075164	0	0
0	0	0	36.043103	8.656017	33.591124	8.656017	8.434536E+13	5.229758E-5	19121.332873	18.01345	1.074055	0	0
0	0	0	35.949506	8.714929	33.480336	8.714929	7.940795E+13	5.193948E-5	19253.167997	18.063459	1.072233	0	0
0	0	0	35.855043	8.769929	33.36978	8.769929	7.471614E+13	5.151097E-5	19413.329438	18.020482	1.071243	0	0
0	0	0	35.762981	8.821411	33.262629	8.821411	7.040898E+13	5.112716E-5	19559.069474	18.074334	1.069619	0	0
0	0	0	35.671	8.870344	33.156276	8.870344	6.63523E+13	5.075081E-5	19704.111122	18.028639	1.068391	0	0
0	0	0	35.578432	8.91643	33.050134	8.91643	6.250447E+13	5.033586E-5	19866.544757	18.085649	1.067005	0	0
0	0	0	35.488069	8.95987	32.946955	8.95987	5.896262E+13	4.997454E-5	20010.183151	18.028713	1.065697	0	0
0	0	0	35.396203	9.000669	32.843009	9.000669	5.556663E+13	4.953695E-5	20186.944978	18.082937	1.064034	0	0
0	0	0	35.307457	9.038888	32.742927	9.038888	5.247107E+13	4.916411E-5	20340.035109	18.02116	1.062568	0	0
0	0	0	35.220083	9.074938	32.644837	9.074938	4.959122E+13	4.881512E-5	20485.451331	18.078764	1.060429	0	0
0	0	0	35.134554	9.109639	32.548981	9.109639	4.692479E+13	4.855352E-5	20595.825196	18.009409	1.058607	0	0
0	0	0	35.047703	9.141373	32.452634	9.141373	4.436326E+13	4.815606E-5	20765.815965	18.059628	1.056706	0	0
0	0	0	34.960852	9.172399	32.356484	9.172399	4.194109E+13	4.782164E-5	20911.030529	17.994827	1.054765	0	0
0	0	0	34.875373	9.201429	32.262278	9.201429	3.968594E+13	4.749009E-5	21057.023639	18.055158	1.052904	0	0
0	0	0	34.791396	9.22916	32.169949	9.22916	3.758821E+13	4.721212E-5	21181.000338	17.996486	1.051161	0	0
0	0	0	34.707028	9.254822	32.077811	9.254822	3.559201E+13	4.685681E-5	21341.612262	18.061615	1.049339	0	0
0	0	0	34.623705	9.27975	31.98693	9.27975	3.372435E+13	4.657589E-5	21470.334329	18.009655	1.047438	0	0
0	0	0	34.541673	9.303086	31.897797	9.303086	3.198113E+13	4.629425E-5	21600.952635	18.075281	1.045893	0	0
0	0	0	34.459444	9.325235	31.808801	9.325235	3.032395E+13	4.599672E-5	21740.679677	18.018538	1.044269	0	0
0	0	0	34.377673	9.345859	31.720697	9.345859	2.876096E+13	4.566116E-5	21900.448792	18.084798	1.042685	0	0
0	0	0	34.296457	9.365876	31.633322	9.365876	2.728816E+13	4.537763E-5	22037.291163	18.029101	1.0411	0	0
0	0	0	34.215601	9.385209	31.546501	9.385209	2.589665E+13	4.513106E-5	22157.688204	18.085788	1.039793	0	0
0	0	0	34.13427	9.403227	31.459576	9.403227	2.456842E+13	4.482172E-5	22310.610579	18.034829	1.038288	0	0
0	0	0	34.054361	9.420433	31.374309	9.420433	2.332964E+13	4.455446E-5	22444.442502	18.090528	1.036822	0	0
0	0	0	33.973897	9.43674	31.288738	9.43674	2.214525E+13	4.425627E-5	22595.669279	18.035981	1.035397	0	0
0	0	0	33.894494	9.452099	31.204502	9.452099	2.103535E+13	4.396079E-5	22747.545391	18.079883	1.033891	0	0
