Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
4.454484	9.7791	0	39.613172	-1.041	39.922347	-1.041	8.079844E+14	5.240874E-5	19079.703338	17.904739	1.114182	0	0
4.456321	9.779924	-0.465014	39.561571	-0.634764	39.75013	-0.634764	7.828724E+14	5.276076E-5	18952.461137	17.882575	1.113627	0	0
4.50859	9.781557	-0.470289	39.471501	-0.052355	39.487059	-0.052355	7.408024E+14	5.288307E-5	18908.733518	17.871723	1.111132	0	0
5.270376	9.777677	1.527361	39.363252	0.568508	39.194251	0.568508	6.930803E+14	5.281145E-5	18934.492084	17.819705	1.107831	0	0
7.599859	9.775632	1.654078	39.253679	1.1784	38.903233	1.1784	6.477654E+14	5.285864E-5	18917.687174	17.875793	1.10519	0	0
10.151091	9.776916	1.21861	39.141918	1.750176	38.621216	1.750176	6.044678E+14	5.283818E-5	18925.101495	17.888078	1.103672	0	0
12.612212	9.77325	1.31809	39.031299	2.28877	38.350081	2.28877	5.643509E+14	5.287864E-5	18910.700551	17.874657	1.102167	0	0
15.019679	9.774449	0.996444	38.92122	2.784369	38.092159	2.784369	5.269741E+14	5.287498E-5	18912.07472	17.86806	1.100253	0	0
17.431322	9.766973	1.031993	38.813951	3.229906	37.851849	3.229906	4.928503E+14	5.281523E-5	18933.529752	17.835919	1.098153	0	0
19.820724	9.749858	0.987689	38.705799	3.651083	37.617807	3.651083	4.606084E+14	5.275261E-5	18956.057469	17.885015	1.094734	0	0
22.232412	9.747622	0.755718	38.599036	4.044248	37.393411	4.044248	4.307853E+14	5.271942E-5	18968.033978	17.852542	1.090588	0	0
24.629907	9.744185	0.530693	38.491146	4.416927	37.173901	4.416927	4.025509E+14	5.268803E-5	18979.372294	17.865558	1.086112	0	0
27.022757	9.738512	0.314659	38.383223	4.765287	36.961524	4.765287	3.761082E+14	5.264737E-5	18994.065764	17.857341	1.082296	0	0
27.920803	9.726999	0.271457	38.274989	5.087372	36.756596	5.087372	3.512886E+14	5.254886E-5	19029.702838	17.875963	1.078983	0	0
28.827068	9.689616	0.282112	38.168716	5.384311	36.561071	5.384311	3.284739E+14	5.245596E-5	19063.430228	17.892235	1.075325	0	0
29.710739	9.625128	0.292611	38.063685	5.658573	36.373499	5.658573	3.073486E+14	5.234925E-5	19102.312108	17.85754	1.07077	0	0
30.600456	9.513006	0.301408	37.9596	5.915809	36.191906	5.915809	2.877254E+14	5.227004E-5	19131.280168	17.875384	1.065766	0	0
31.476829	9.34542	0.302121	37.854993	6.155647	36.014928	6.155647	2.692403E+14	5.214942E-5	19175.54906	17.852994	1.060115	0	0
32.335907	9.089778	0.30251	37.751138	6.377357	35.844073	6.377357	2.520406E+14	5.199973E-5	19230.765428	17.894397	1.054517	0	0
33.199778	8.709541	0.301148	37.648475	6.583719	35.67896	6.583719	2.360992E+14	5.185658E-5	19283.864989	17.877363	1.048787	0	0
34.037187	8.18632	0.299052	37.546889	6.774445	35.519566	6.774445	2.213011E+14	5.169172E-5	19345.377706	17.878555	1.043427	0	0
34.865527	7.480105	0.297268	37.445517	6.953803	35.363747	6.953803	2.07444E+14	5.153102E-5	19405.716144	17.900256	1.038185	0	0
35.667112	6.612939	0.294703	37.344699	7.120876	35.212127	7.120876	1.945105E+14	5.135509E-5	19472.202502	17.8777	1.032812	0	0
36.447391	5.579174	0.292381	37.245744	7.276699	35.065717	7.276699	1.825894E+14	5.120952E-5	19527.562026	17.909539	1.026725	0	0
37.188344	4.426741	0.289546	37.146903	7.423428	34.922114	7.423428	1.714018E+14	5.10661E-5	19582.414394	17.868719	1.020506	0	0
37.894701	3.177949	0.294281	37.04754	7.559354	34.781191	7.559354	1.608373E+14	5.085289E-5	19664.523541	17.909123	1.014024	0	0
38.539041	1.929852	0.305804	36.948829	7.687808	34.643139	7.687808	1.509796E+14	5.066821E-5	19736.204588	17.899776	1.008096	0	0
39.051635	0.872733	0.322759	36.850462	7.807874	34.507921	7.807874	1.417506E+14	5.04685E-5	19814.307034	17.911151	1.002181	0	0
31.845481	9.248545	0.302439	36.754088	7.918311	34.377578	7.918311	1.332502E+14	5.025768E-5	19897.426287	17.91666	0.99649	0	0
39.464042	0	0	36.658187	8.021715	34.2498	8.021715	1.252926E+14	5.003692E-5	19985.2176	17.902382	0.990813	0	0
0	0	0	36.56441	8.117984	34.126286	8.117984	1.179668E+14	4.984161E-5	20063.536156	17.937094	0.984872	0	0
0	0	0	36.470894	8.208724	34.004677	8.208724	1.110843E+14	4.964564E-5	20142.73615	17.903956	0.978904	0	0
0	0	0	36.378277	8.293551	33.885734	8.293551	1.046605E+14	4.944561E-5	20224.223351	17.939421	0.972698	0	0
0	0	0	36.286427	8.373645	33.768971	8.373645	9.865403E+13	4.926403E-5	20298.771759	17.916079	0.966902	0	0
0	0	0	36.195427	8.448069	33.654754	8.448069	9.304063E+13	4.905875E-5	20383.70824	17.939783	0.960842	0	0
0	0	0	36.10544	8.520865	33.542034	8.520865	8.780168E+13	4.897482E-5	20418.643419	17.939805	0.955548	0	0
0	0	0	36.015207	8.587668	33.430856	8.587668	8.284271E+13	4.879968E-5	20491.926951	17.927328	0.950002	0	0
0	0	0	35.924305	8.650019	33.320329	8.650019	7.812836E+13	4.856412E-5	20591.322223	17.954257	0.944404	0	0
0	0	0	35.833909	8.709374	33.211204	8.709374	7.370479E+13	4.835651E-5	20679.731134	17.922343	0.938806	0	0
0	0	0	35.746355	8.76387	33.106399	8.76387	6.96579E+13	4.81546E-5	20766.438502	17.959296	0.933182	0	0
0	0	0	35.657593	8.816368	33.000966	8.816368	6.578073E+13	4.795403E-5	20853.299211	17.930111	0.927874	0	0
0	0	0	35.568144	8.864928	32.896017	8.864928	6.20908E+13	4.766846E-5	20978.225038	17.949887	0.922263	0	0
0	0	0	35.480934	8.911073	32.794046	8.911073	5.869162E+13	4.745419E-5	21072.94904	17.948529	0.91718	0	0
0	0	0	35.392841	8.954594	32.691967	8.954594	5.544613E+13	4.719646E-5	21188.022925	17.94381	0.911806	0	0
0	0	0	35.307558	8.995838	32.593404	8.995838	5.24745E+13	4.7019E-5	21267.995664	17.963291	0.906947	0	0
0	0	0	35.221736	9.034661	32.495019	9.034661	4.964422E+13	4.680276E-5	21366.257912	17.938806	0.901521	0	0
0	0	0	35.137384	9.071169	32.398811	9.071169	4.701066E+13	4.66055E-5	21456.693157	17.96798	0.896213	0	0
0	0	0	35.053865	9.105666	32.304045	9.105666	4.454029E+13	4.641839E-5	21543.181717	17.944319	0.890906	0	0
0	0	0	34.968173	9.137721	32.207816	9.137721	4.214008E+13	4.611183E-5	21686.406434	17.966073	0.885545	0	0
0	0	0	34.885863	9.168383	32.115417	9.168383	3.995606E+13	4.59171E-5	21778.37686	17.959384	0.880581	0	0
0	0	0	34.805676	9.197145	32.025732	9.197145	3.793695E+13	4.575141E-5	21857.248588	17.955498	0.875089	0	0
0	0	0	34.724477	9.224428	31.935465	9.224428	3.5996E+13	4.554592E-5	21955.86196	17.968775	0.870005	0	0
0	0	0	34.644502	9.250102	31.846918	9.250102	3.418115E+13	4.534868E-5	22051.356941	17.934992	0.864685	0	0
0	0	0	34.565459	9.273945	31.759862	9.273945	3.247714E+13	4.512163E-5	22162.316373	17.966738	0.859443	0	0
0	0	0	34.486693	9.296808	31.673378	9.296808	3.08634E+13	4.491233E-5	22265.599762	17.941669	0.854215	0	0
0	0	0	34.408042	9.319193	31.58715	9.319193	2.933183E+13	4.476107E-5	22340.841965	17.956346	0.849198	0	0
0	0	0	34.330943	9.339643	31.503072	9.339643	2.790411E+13	4.456391E-5	22439.682812	17.950917	0.844114	0	0
0	0	0	34.252847	9.358709	31.418403	9.358709	2.652862E+13	4.428865E-5	22579.146916	17.939301	0.839269	0	0
0	0	0	34.175453	9.377434	31.334544	9.377434	2.523227E+13	4.408822E-5	22681.796658	17.962322	0.83445	0	0
0	0	0	34.099138	9.395591	31.251943	9.395591	2.401589E+13	4.394955E-5	22753.359414	17.933012	0.829736	0	0
0	0	0	34.020781	9.412681	31.167599	9.412681	2.282785E+13	4.372382E-5	22870.829482	17.958033	0.824825	0	0
0	0	0	33.944041	9.428463	31.085283	9.428463	2.172121E+13	4.34768E-5	23000.770886	17.925749	0.820045	0	0
0	0	0	33.867921	9.443868	31.003705	9.443868	2.067644E+13	4.32874E-5	23101.409181	17.953761	0.815305	0	0
0	0	0	33.791491	9.458283	30.922112	9.458283	1.967789E+13	4.304793E-5	23229.919396	17.938807	0.810843	0	0
0	0	0	33.716091	9.47245	30.841632	9.47245	1.873998E+13	4.28902E-5	23315.350538	17.928562	0.806222	0	0
0	0	0	33.640853	9.485738	30.761581	9.485738	1.784859E+13	4.270035E-5	23419.013121	17.944805	0.801654	0	0
0	0	0	33.565126	9.498391	30.681225	9.498391	1.699416E+13	4.248874E-5	23535.64469	17.912448	0.797085	0	0
0	0	0	33.49082	9.510236	30.602549	9.510236	1.619547E+13	4.227591E-5	23654.135155	17.936795	0.792728	0	0
0	0	0	33.416072	9.521921	30.523473	9.521921	1.542987E+13	4.210734E-5	23748.826348	17.903388	0.788094	0	0
0	0	0	33.340655	9.532596	30.444026	9.532596	1.469403E+13	4.183584E-5	23902.951138	17.92159	0.783658	0	0
0	0	0	33.266611	9.542928	30.366068	9.542928	1.40057E+13	4.162058E-5	24026.572178	17.903836	0.779142	0	0
0	0	0	33.191896	9.553317	30.287414	9.553317	1.334378E+13	4.147811E-5	24109.104505	17.903732	0.774429	0	0
0	0	0	33.117541	9.56245	30.209504	9.56245	1.271608E+13	4.119325E-5	24275.823505	17.901084	0.77031	0	0
