Vload_(V)	ILoad_(A)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
5.377385	9.455267	0	38.978215	-1.926145	39.62647	-1.926145	5.460189E+14	3.367004E-5	29699.502829	16.778817	1.154051	0	0
5.478264	9.456441	-0.57918	38.918185	-1.35283	39.373101	-1.35283	5.259781E+14	3.41547E-5	29278.087357	16.773312	1.153218	0	0
5.579708	9.453377	1.825371	38.794206	-0.600116	38.995651	-0.600116	4.868057E+14	3.397732E-5	29431.006525	16.762188	1.152861	0	0
5.692048	9.455425	1.088601	38.669001	0.118491	38.629296	0.118491	4.501103E+14	3.383406E-5	29555.683185	16.750952	1.15179	0	0
7.258993	9.445805	2.053935	38.544776	0.772244	38.286469	0.772244	4.163537E+14	3.365298E-5	29714.766782	16.740446	1.151076	0	0
9.79266	9.444267	1.81769	38.425271	1.360178	37.971083	1.360178	3.862037E+14	3.34832E-5	29865.47948	16.736581	1.150203	0	0
12.581486	9.437559	1.620707	38.306241	1.90605	37.670859	1.90605	3.582866E+14	3.330893E-5	30021.769401	16.732659	1.149489	0	0
14.988962	9.438625	1.352922	38.185724	2.420951	37.380091	2.420951	3.320255E+14	3.312696E-5	30186.709623	16.740463	1.148695	0	0
17.412464	9.431727	1.166542	38.066351	2.892109	37.105575	2.892109	3.07868E+14	3.292181E-5	30374.844189	16.740242	1.148457	0	0
19.800775	9.419729	0.993507	37.950375	3.320954	36.848971	3.320954	2.860464E+14	3.272673E-5	30555.923883	16.729278	1.147743	0	0
22.218617	9.410667	0.77986	37.831883	3.729195	36.597193	3.729195	2.653162E+14	3.251914E-5	30751.004855	16.748622	1.147267	0	0
24.611053	9.397671	0.572748	37.713522	4.106336	36.356284	4.106336	2.460808E+14	3.228812E-5	30971.042889	16.73888	1.147347	0	0
26.998278	9.391779	0.336639	37.599213	4.449134	36.131098	4.449134	2.288056E+14	3.207719E-5	31174.716575	16.732236	1.147029	0	0
27.901118	9.392525	0.23829	37.485017	4.771058	35.913274	4.771058	2.127389E+14	3.187445E-5	31373.010833	16.734149	1.146871	0	0
28.800224	9.339209	0.255185	37.371214	5.070331	35.703633	5.070331	1.978329E+14	3.166411E-5	31581.430597	16.748348	1.146275	0	0
29.683607	9.222478	0.289972	37.257966	5.34836	35.501833	5.34836	1.840219E+14	3.144753E-5	31798.940731	16.743389	1.146315	0	0
30.568535	9.036561	0.306895	37.144538	5.6088	35.305924	5.6088	1.711426E+14	3.122685E-5	32023.675145	16.748608	1.145442	0	0
31.444869	8.754128	0.315656	37.031568	5.855737	35.115162	5.855737	1.592002E+14	3.104059E-5	32215.845095	16.741035	1.144966	0	0
32.310472	8.358012	0.317404	36.918434	6.082744	34.931018	6.082744	1.480661E+14	3.081292E-5	32453.883471	16.73096	1.14453	0	0
33.143026	7.821182	0.320198	36.806738	6.290981	34.754636	6.290981	1.378295E+14	3.05702E-5	32711.558608	16.722784	1.143578	0	0
33.979018	7.128716	0.319733	36.699779	6.480466	34.589174	6.480466	1.286843E+14	3.035985E-5	32938.215997	16.71825	1.142308	0	0
34.789722	6.270238	0.32076	36.593489	6.656182	34.429031	6.656182	1.201919E+14	3.013638E-5	33182.4619	16.717203	1.141197	0	0
35.583353	5.287494	0.318092	36.488245	6.822048	34.273275	6.822048	1.123305E+14	2.993937E-5	33400.812508	16.720525	1.139928	0	0
36.344462	4.191048	0.314572	36.384226	6.975727	34.122821	6.975727	1.050618E+14	2.973759E-5	33627.454724	16.717653	1.138896	0	0
37.041735	3.027952	0.325162	36.282347	7.118677	33.97806	7.118677	9.839529E+13	2.955451E-5	33835.771855	16.725583	1.137548	0	0
37.702702	1.841935	0.346622	36.180288	7.250728	33.836787	7.250728	9.213804E+13	2.933278E-5	34091.540407	16.725902	1.136119	0	0
38.243919	0.806034	0.402262	36.07983	7.375294	33.699602	7.375294	8.636503E+13	2.914152E-5	34315.288124	16.740442	1.134453	0	0
30.917297	8.936654	0.311372	35.977134	7.493211	33.562522	7.493211	8.083474E+13	2.891469E-5	34584.482963	16.74139	1.132707	0	0
38.738871	0	0	35.875598	7.605903	33.428356	7.605903	7.571306E+13	2.873296E-5	34803.228248	16.740226	1.131438	0	0
0	0	0	35.774095	7.711129	33.296729	7.711129	7.091557E+13	2.853597E-5	35043.486194	16.736523	1.13001	0	0
0	0	0	35.672297	7.808936	33.167301	7.808936	6.640786E+13	2.830964E-5	35323.650605	16.73501	1.128542	0	0
0	0	0	35.572362	7.899382	33.042117	7.899382	6.226006E+13	2.808432E-5	35607.05014	16.735126	1.127114	0	0
0	0	0	35.474403	7.984213	32.920717	7.984213	5.844467E+13	2.788356E-5	35863.426106	16.730687	1.125884	0	0
0	0	0	35.37963	8.063402	32.804261	8.063402	5.497505E+13	2.772046E-5	36074.434444	16.738362	1.124337	0	0
0	0	0	35.285395	8.137734	32.689943	8.137734	5.172858E+13	2.755504E-5	36291.000861	16.736639	1.123226	0	0
0	0	0	35.192222	8.208426	32.577872	8.208426	4.870648E+13	2.741622E-5	36474.757756	16.732296	1.122353	0	0
0	0	0	35.098249	8.276216	32.466018	8.276216	4.583657E+13	2.728421E-5	36651.236105	16.739997	1.121083	0	0
