Vload_(V)	ILoad_(A)	RsLoad_(ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(A)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)	(Carrier_Density+Doping)/qWni^2_(cm^2/C)	Carrier_Density_at_Vmp_(cm-3)	Lifetime_at_Vmp_(s)	Efficiency_(%)	Intensity_(suns)	Dark_IV_Voltage_(V)	Dark_IV_Current_(A)
5.769516	9.462091	0	38.726011	-0.471852	38.891674	-0.471852	4.664875E+14	3.295721E-5	30342.011132	6.043129E+16	2.231965E+13	2.870091E-5	16.630814	1.144223	0	0
5.571194	9.467758	-0.587503	38.603453	0.241027	38.518871	0.241027	4.319926E+14	3.287967E-5	30413.624447	6.026952E+16	0	0	16.604699	1.140943	0	0
5.566832	9.463022	-0.598488	38.484683	0.895882	38.170446	0.895882	4.009287E+14	3.284813E-5	30442.870688	6.012383E+16	0	0	16.636446	1.135746	0	0
5.950075	9.462555	0.81324	38.372007	1.471591	37.856064	1.471591	3.734691E+14	3.280295E-5	30484.836006	5.999505E+16	0	0	16.676581	1.133048	0	0
7.6866	9.467975	-0.809651	38.260572	1.998989	37.560029	1.998989	3.481146E+14	3.273671E-5	30546.546564	5.987614E+16	0	0	16.643662	1.130159	0	0
10.091244	9.450201	1.832059	38.149235	2.490466	37.276838	2.490466	3.244601E+14	3.266325E-5	30615.2715	5.97652E+16	0	0	16.649132	1.124555	0	0
12.549317	9.439662	1.697574	38.040071	2.944345	37.009125	2.944345	3.027931E+14	3.260474E-5	30670.238398	5.966359E+16	0	0	16.647675	1.116166	0	0
14.974927	9.441872	1.419611	37.931397	3.368411	36.752471	3.368411	2.826302E+14	3.255151E-5	30720.412058	5.956903E+16	0	0	16.648117	1.108239	0	0
17.367592	9.438017	1.200773	37.822837	3.774821	36.502236	3.774821	2.638024E+14	3.25542E-5	30717.887984	5.948073E+16	0	0	16.662961	1.101127	0	0
19.752898	9.433229	0.983035	37.713182	4.145668	36.26347	4.145668	2.460341E+14	3.247939E-5	30788.656629	5.93974E+16	0	0	16.64881	1.092283	0	0
22.157669	9.429844	0.749425	37.605798	4.484495	36.038264	4.484495	2.297738E+14	3.239761E-5	30866.386144	5.932114E+16	0	0	16.661097	1.08193	0	0
24.518334	9.426659	0.517188	37.4983	4.802426	35.820347	4.802426	2.145549E+14	3.231587E-5	30944.474599	5.924976E+16	0	0	16.676189	1.071744	0	0
26.912693	9.422632	0.283439	37.391423	5.099471	35.610435	5.099471	2.004079E+14	3.224034E-5	31016.972603	5.918342E+16	0	0	16.682043	1.062285	0	0
27.801721	9.387189	0.306983	37.283206	5.375462	35.406631	5.375462	1.870202E+14	3.211851E-5	31134.638489	5.912063E+16	0	0	16.695322	1.052906	0	0
28.7014	9.313007	0.336999	37.176655	5.63192	35.211379	5.63192	1.747009E+14	3.201172E-5	31238.506986	5.906285E+16	0	0	16.701901	1.042537	0	0
29.582543	9.196443	0.349113	37.072031	5.870143	35.024474	5.870143	1.633844E+14	3.192365E-5	31324.691205	5.900978E+16	0	0	16.708269	1.031953	0	0
30.478989	9.018066	0.350663	36.969254	6.090714	34.845623	6.090714	1.529731E+14	3.18449E-5	31402.165109	5.896095E+16	0	0	16.722038	1.022039	0	0
31.357783	8.742467	0.351749	36.86842	6.293932	34.674809	6.293932	1.433965E+14	3.176609E-5	31480.076701	5.891604E+16	0	0	16.722655	1.012085	0	0
32.245451	8.351535	0.346138	36.766182	6.484774	34.506972	6.484774	1.34292E+14	3.16561E-5	31589.460855	5.887334E+16	0	0	16.731831	1.001796	0	0
33.120635	7.81141	0.340968	36.666181	6.661787	34.346221	6.661787	1.259409E+14	3.156411E-5	31681.523984	5.883417E+16	0	0	16.739392	0.991411	0	0
33.959868	7.117858	0.337157	36.567536	6.825659	34.191437	6.825659	1.182071E+14	3.146728E-5	31779.016743	5.87979E+16	0	0	16.738681	0.981497	0	0
34.76691	6.27617	0.333682	36.470574	6.977219	34.042648	6.977219	1.110643E+14	3.136914E-5	31878.444125	5.876441E+16	0	0	16.751195	0.971583	0	0
35.552508	5.295486	0.329843	36.372337	7.120658	33.895463	7.120658	1.04264E+14	3.125252E-5	31997.399641	5.873251E+16	0	0	16.750925	0.961733	0	0
36.317783	4.191621	0.325782	36.272794	7.25528	33.750089	7.25528	9.779466E+13	3.110156E-5	32152.714671	5.870217E+16	0	0	16.755309	0.951835	0	0
37.029472	3.039296	0.32968	36.176893	7.38042	33.611653	7.38042	9.193921E+13	3.099708E-5	32261.088737	5.867471E+16	0	0	16.765753	0.942208	0	0
37.672084	1.903538	0.335033	36.081761	7.497471	33.47682	7.497471	8.647472E+13	3.089177E-5	32371.070836	5.864908E+16	0	0	16.766593	0.933212	0	0
38.168812	0.964185	0.334659	35.987069	7.608118	33.344678	7.608118	8.135606E+13	3.079774E-5	32469.907797	5.862508E+16	0	0	16.771412	0.924176	0	0
30.901285	8.917717	0.344534	35.892605	7.711931	33.215165	7.711931	7.654984E+13	3.06972E-5	32576.248584	5.860254E+16	0	0	16.775315	0.915124	0	0
38.646393	0	0	35.798387	7.808926	33.088287	7.808926	7.203732E+13	3.058254E-5	32698.389222	5.858137E+16	0	0	16.777434	0.905753	0	0
0	0	0	35.704169	7.89984	32.963544	7.89984	6.778938E+13	3.045391E-5	32836.50297	5.856145E+16	0	0	16.779897	0.89659	0	0
0	0	0	35.612564	7.984589	32.843547	7.984589	6.389835E+13	3.035245E-5	32946.26034	5.85432E+16	0	0	16.789123	0.887426	0	0
0	0	0	35.523034	8.062473	32.728003	8.062473	6.031032E+13	3.024226E-5	33066.306729	5.852638E+16	0	0	16.790161	0.878382	0	0
0	0	0	35.432344	8.135946	32.61286	8.135946	5.688024E+13	3.01025E-5	33219.831487	5.851029E+16	0	0	16.796125	0.86953	0	0
0	0	0	35.343451	8.206467	32.500535	8.206467	5.37067E+13	3.001933E-5	33311.863303	5.849541E+16	0	0	16.793872	0.860885	0	0
0	0	0	35.255979	8.274563	32.390471	8.274563	5.07561E+13	2.999691E-5	33336.758054	5.848157E+16	0	0	16.793142	0.852296	0	0
0	0	0	35.169308	8.336827	32.283234	8.336827	4.799179E+13	2.993264E-5	33408.346507	5.84686E+16	0	0	16.796978	0.843563	0	0
0	0	0	35.082669	8.39552	32.177281	8.39552	4.537845E+13	2.986015E-5	33489.44974	5.845635E+16	0	0	16.795328	0.834927	0	0
0	0	0	34.997402	8.450355	32.074032	8.450355	4.294501E+13	2.979048E-5	33567.764498	5.844493E+16	0	0	16.792383	0.826457	0	0
0	0	0	34.912821	8.500945	31.972941	8.500945	4.065967E+13	2.968975E-5	33681.65366	5.843422E+16	0	0	16.792516	0.818052	0	0
0	0	0	34.828322	8.549015	31.872815	8.549015	3.84976E+13	2.959097E-5	33794.088314	5.842408E+16	0	0	16.783544	0.810102	0	0
0	0	0	34.744705	8.59451	31.774461	8.59451	3.647097E+13	2.950323E-5	33894.591287	5.841457E+16	0	0	16.777794	0.802032	0	0
0	0	0	34.66068	8.638285	31.676308	8.638285	3.454161E+13	2.942727E-5	33982.081128	5.840552E+16	0	0	16.772506	0.794169	0	0
0	0	0	34.57752	8.679174	31.580018	8.679174	3.273238E+13	2.934231E-5	34080.473959	5.839704E+16	0	0	16.77027	0.786426	0	0
0	0	0	34.492319	8.718877	31.48213	8.718877	3.097672E+13	2.925187E-5	34185.851823	5.83888E+16	0	0	16.761274	0.778995	0	0
0	0	0	34.408882	8.755465	31.387068	8.755465	2.934849E+13	2.914931E-5	34306.129533	5.838117E+16	0	0	16.754105	0.771611	0	0
0	0	0	34.326375	8.790383	31.293511	8.790383	2.782243E+13	2.907012E-5	34399.577391	5.837401E+16	0	0	16.749632	0.764371	0	0
0	0	0	34.245405	8.822529	31.202435	8.822529	2.640177E+13	2.897227E-5	34515.76641	5.836735E+16	0	0	16.739917	0.757323	0	0
0	0	0	34.164205	8.853444	31.111564	8.853444	2.50498E+13	2.888493E-5	34620.123405	5.836101E+16	0	0	16.728243	0.750522	0	0
0	0	0	34.083855	8.882232	31.022273	8.882232	2.378001E+13	2.878207E-5	34743.851294	5.835505E+16	0	0	16.7218	0.743506	0	0
0	0	0	34.004256	8.910343	30.933963	8.910343	2.258545E+13	2.8729E-5	34808.038533	5.834945E+16	0	0	16.710139	0.736657	0	0
0	0	0	33.924217	8.936004	30.846068	8.936004	2.144467E+13	2.860844E-5	34954.713418	5.83441E+16	0	0	16.700312	0.72984	0	0
0	0	0	33.845157	8.960889	30.759414	8.960889	2.037435E+13	2.853011E-5	35050.690646	5.833908E+16	0	0	16.688921	0.723199	0	0
0	0	0	33.766996	8.984638	30.674044	8.984638	1.936863E+13	2.847088E-5	35123.612497	5.833436E+16	0	0	16.679444	0.716414	0	0
0	0	0	33.688589	9.006808	30.58898	9.006808	1.840956E+13	2.837884E-5	35237.527448	5.832987E+16	0	0	16.662061	0.709853	0	0
0	0	0	33.611261	9.027652	30.505441	9.027652	1.751013E+13	2.828743E-5	35351.394973	5.832565E+16	0	0	16.656957	0.703028	0	0
0	0	0	33.532692	9.047559	30.421004	9.047559	1.664121E+13	2.817472E-5	35492.815812	5.832157E+16	0	0	16.647383	0.696403	0	0
0	0	0	33.453616	9.066439	30.336424	9.066439	1.581016E+13	2.804501E-5	35656.963642	5.831768E+16	0	0	16.628414	0.689977	0	0
0	0	0	33.377366	9.084562	30.254898	9.084562	1.504808E+13	2.797454E-5	35746.794325	5.83141E+16	0	0	16.612317	0.683631	0	0
0	0	0	33.301491	9.101671	30.174096	9.101671	1.432619E+13	2.789678E-5	35846.427718	5.831072E+16	0	0	16.601088	0.677277	0	0
0	0	0	33.225323	9.117531	30.093436	9.117531	1.363629E+13	2.777564E-5	36002.772581	5.830748E+16	0	0	16.587343	0.671035	0	0
0	0	0	33.150053	9.133215	30.013727	9.133215	1.298714E+13	2.771491E-5	36081.665231	5.830444E+16	0	0	16.575867	0.664793	0	0
0	0	0	33.075404	9.148113	29.934904	9.148113	1.237384E+13	2.765912E-5	36154.444827	5.830156E+16	0	0	16.565717	0.658567	0	0
0	0	0	32.99935	9.16218	29.854982	9.16218	1.177874E+13	2.756382E-5	36279.439737	5.829877E+16	0	0	16.544761	0.652684	0	0
0	0	0	32.925925	9.174919	29.778116	9.174919	1.123136E+13	2.744874E-5	36431.539929	5.82962E+16	0	0	16.532735	0.646585	0	0
0	0	0	32.852142	9.187395	29.700987	9.187395	1.070691E+13	2.735545E-5	36555.792694	5.829374E+16	0	0	16.523476	0.640343	0	0
0	0	0	32.777868	9.20001	29.62333	9.20001	1.020368E+13	2.73246E-5	36597.062471	5.829138E+16	0	0	16.514382	0.634213	0	0
0	0	0	32.70464	9.210959	29.547278	9.210959	9.730684E+12	2.719411E-5	36772.664934	5.828916E+16	0	0	16.493876	0.628529	0	0
0	0	0	32.631396	9.221922	29.471207	9.221922	9.279495E+12	2.711692E-5	36877.338483	5.828705E+16	0	0	16.483695	0.622622	0	0
0	0	0	32.555488	9.232372	29.392686	9.232372	8.833951E+12	2.698929E-5	37051.739501	5.828496E+16	0	0	16.466687	0.616835	0	0
0	0	0	32.482685	9.241826	29.317572	9.241826	8.426722E+12	2.685007E-5	37243.848096	5.828305E+16	0	0	16.441534	0.611383	0	0
0	0	0	32.410274	9.2513	29.24284	9.2513	8.040296E+12	2.677022E-5	37354.942665	5.828124E+16	0	0	16.422737	0.605756	0	0
0	0	0	32.338042	9.260902	29.168244	9.260902	7.672474E+12	2.676479E-5	37362.515069	5.827951E+16	0	0	16.404656	0.600224	0	0
0	0	0	32.265532	9.269212	29.093817	9.269212	7.32015E+12	2.663592E-5	37543.29257	5.827786E+16	0	0	16.384878	0.594748	0	0
0	0	0	32.19366	9.277593	29.019997	9.277593	6.986882E+12	2.657811E-5	37624.94811	5.82763E+16	0	0	16.368976	0.589328	0	0
0	0	0	32.121641	9.285576	28.94617	9.285576	6.668143E+12	2.651279E-5	37717.645624	5.82748E+16	0	0	16.351914	0.583837	0	0
0	0	0	32.049376	9.292588	28.872434	9.292588	6.362926E+12	2.634588E-5	37956.596236	5.827337E+16	0	0	16.322945	0.578648	0	0
0	0	0	31.978467	9.30002	28.799894	9.30002	6.077012E+12	2.631587E-5	37999.88592	5.827203E+16	0	0	16.30044	0.573452	0	0
0	0	0	31.911512	9.306792	28.731484	9.306792	5.818835E+12	2.629666E-5	38027.642637	5.827082E+16	0	0	16.281633	0.568144	0	0
0	0	0	31.843837	9.313585	28.662358	9.313585	5.569026E+12	2.631891E-5	37995.489527	5.826965E+16	0	0	16.256191	0.563083	0	0
