Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
4.08658	9.11632	0.00000	37.9048	-0.487537	38.0485	-0.487537	277885000000000	0.0000203073	49243.3
4.08203	9.11168	1.88002	37.8936	-0.467013	38.0313	-0.467013	275918000000000	0.0000202067	49488.4
4.15683	9.11880	-0.471318	37.8202	-0.0444289	37.8333	-0.0444289	263353000000000	0.0000201762	49563.2
4.99910	9.10968	1.92647	37.7136	0.519428	37.5602	0.519428	246087000000000	0.0000200900	49775.9
6.80004	9.09776	2.13775	37.5938	1.11490	37.2643	1.11490	228025000000000	0.0000200008	49998.0
8.59286	9.09317	1.99894	37.4739	1.66763	36.9805	1.66763	211236000000000	0.0000199031	50243.5
10.5570	9.09555	1.75581	37.3538	2.18159	36.7078	2.18159	195650000000000	0.0000198008	50503.0
12.3767	9.09416	1.57251	37.2340	2.66370	36.4444	2.66370	181229000000000	0.0000197116	50731.4
14.1955	9.09401	1.37437	37.1147	3.11252	36.1911	3.11252	167902000000000	0.0000196273	50949.3
15.9964	9.08933	1.22046	36.9951	3.52945	35.9468	3.52945	155527000000000	0.0000195376	51183.4
17.8084	9.08671	1.04559	36.8763	3.91117	35.7135	3.91117	144122000000000	0.0000194326	51460.0
19.6057	9.07471	0.940579	36.7585	4.26252	35.4900	4.26252	133628000000000	0.0000193217	51755.1
21.4290	9.06779	0.777761	36.6438	4.58396	35.2784	4.58396	124143000000000	0.0000192235	52019.7
23.2281	9.06745	0.581049	36.5302	4.88039	35.0751	4.88039	115400000000000	0.0000191201	52300.9
25.0328	9.05560	0.433995	36.4182	5.15281	34.8804	5.15281	107383000000000	0.0000190146	52591.2
26.8316	9.02245	0.332970	36.3106	5.40028	34.6976	5.40028	100200000000000	0.0000189243	52842.2
27.4250	8.99641	0.320936	36.2008	5.63759	34.5154	5.63759	93365800000000	0.0000188365	53088.4
28.0274	8.95510	0.317058	36.0916	5.85903	34.3384	5.85903	87019600000000	0.0000187496	53334.4
28.6278	8.89850	0.313697	35.9825	6.06343	34.1665	6.06343	81113100000000	0.0000186471	53627.5
29.2213	8.82706	0.307194	35.8755	6.25066	34.0018	6.25066	75707100000000	0.0000185415	53933.1
29.8043	8.71701	0.309736	35.7689	6.42488	33.8414	6.42488	70678800000000	0.0000184305	54257.8
30.3826	8.58054	0.306986	35.6635	6.58840	33.6852	6.58840	66030600000000	0.0000183322	54548.8
30.9581	8.39474	0.306222	35.5573	6.74083	33.5315	6.74083	61659400000000	0.0000182171	54893.5
