Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
2.64623	5.96365	0.00000	49.9607	0.791912	49.5451	0.791912	5562980000000000	0.000478496	2038.51
2.65239	5.97034	-0.480119	51.5544	0.122136	51.4947	0.122136	8936340000000000	0.000680522	1336.90
2.86564	5.97006	-0.515743	52.0611	-0.0632719	52.0914	-0.0632719	10354100000000000	0.000764228	1130.55
4.49497	5.96370	-0.267534	52.1855	0.0466453	52.1633	0.0466453	10732800000000000	0.000806896	1048.10
6.44823	5.96081	3.71394	52.1636	0.318204	52.0124	0.318204	10665300000000000	0.000840395	1001.09
8.64413	5.96653	-1.48303	52.0785	0.653114	51.7669	0.653114	10406200000000000	0.000871692	967.432
10.7275	5.96127	2.85694	51.9678	0.988980	51.4935	0.988980	10078000000000000	0.000901192	941.042
12.7224	5.95748	3.26934	51.8451	1.31288	51.2117	1.31288	9725500000000000	0.000930240	917.979
14.7974	5.95646	3.03905	51.7173	1.61656	50.9328	1.61656	9370800000000000	0.000958927	897.065
16.9298	5.95597	2.73317	51.5888	1.90366	50.6595	1.90366	9026320000000000	0.000988994	875.881
19.2855	5.95255	2.65911	51.4588	2.17012	50.3931	2.17012	8689890000000000	0.00101901	855.989
21.5042	5.94926	2.47992	51.3284	2.41578	50.1350	2.41578	8364320000000000	0.00104875	837.383
23.7118	5.94766	2.16960	51.2001	2.63527	49.8906	2.63527	8054730000000000	0.00107653	821.213
25.8794	5.94314	1.93307	51.0724	2.83941	49.6533	2.83941	7757320000000000	0.00110452	805.476
28.0161	5.94925	1.38589	50.9448	3.02881	49.4224	3.02881	7470340000000000	0.00113231	790.515
30.1754	5.94208	1.23921	50.8173	3.20426	49.1975	3.20426	7193450000000000	0.00115966	776.422
32.3397	5.94098	0.905492	50.6906	3.36989	48.9774	3.36989	6927500000000000	0.00118810	762.015
33.0492	5.94097	0.786405	50.5633	3.52611	48.7607	3.52611	6669560000000000	0.00121718	747.732
33.7681	5.93557	0.791569	50.4332	3.67144	48.5455	3.67144	6414940000000000	0.00124493	734.945
34.4793	5.93529	0.677511	50.3056	3.80523	48.3382	3.80523	6174010000000000	0.00127244	722.613
35.1837	5.93274	0.605153	50.1805	3.92855	48.1383	3.92855	5945650000000000	0.00129963	710.765
35.8901	5.92728	0.574120	50.0562	4.04439	47.9424	4.04439	5726410000000000	0.00132726	698.998
36.6032	5.91757	0.580982	49.9313	4.15304	47.7491	4.15304	5513610000000000	0.00135462	687.750
37.3031	5.90223	0.612333	49.8067	4.25296	47.5601	4.25296	5308420000000000	0.00138039	677.655
38.0105	5.88607	0.613947	49.6831	4.34659	47.3749	4.34659	5111600000000000	0.00140617	667.777
38.7172	5.86346	0.626447	49.5605	4.43525	47.1930	4.43525	4922990000000000	0.00143285	657.680
39.4234	5.83632	0.629946	49.4379	4.51951	47.0129	4.51951	4740610000000000	0.00146027	647.501
40.1375	5.79981	0.638673	49.3139	4.59780	46.8341	4.59780	4562290000000000	0.00148589	638.444
40.8457	5.75881	0.631256	49.1918	4.66978	46.6604	4.66978	4392650000000000	0.00151023	630.119
41.5376	5.70184	0.636555	49.0702	4.73801	46.4888	4.73801	4229150000000000	0.00153496	621.791
42.2272	5.63887	0.626409	48.9483	4.80227	46.3187	4.80227	4070800000000000	0.00155924	613.830
42.9227	5.56571	0.607150	48.8273	4.86153	46.1520	4.86153	3918740000000000	0.00158171	606.737
43.6227	5.47274	0.590259	48.7080	4.91647	45.9893	4.91647	3773850000000000	0.00160313	600.137
44.3133	5.34475	0.585390	48.5888	4.96900	45.8276	4.96900	3633650000000000	0.00162510	593.429
44.9961	5.19817	0.569859	48.4709	5.01820	45.6692	5.01820	3499670000000000	0.00164662	586.974
45.6754	4.99958	0.566312	48.3530	5.06544	45.5114	5.06544	3369840000000000	0.00166892	580.338
46.3286	4.75262	0.567280	48.2346	5.10924	45.3548	5.10924	3243860000000000	0.00168889	574.639
46.9750	4.45702	0.568834	48.1166	5.15093	45.1997	5.15093	3122350000000000	0.00170903	568.944
47.6037	4.11601	0.571841	47.9987	5.19015	45.0457	5.19015	3004820000000000	0.00172807	563.691
48.2153	3.72371	0.576081	47.8807	5.22762	44.8925	5.22762	2891140000000000	0.00174735	558.418
48.8126	3.27566	0.588370	47.7634	5.26236	44.7415	5.26236	2781800000000000	0.00176456	553.868
42.8590	5.57207	0.610743	47.6467	5.29453	44.5924	5.29453	2676560000000000	0.00177942	550.087
51.7956	0.00000	0.00000	47.5309	5.32476	44.4453	5.32476	2575500000000000	0.00179326	546.633
0.00000	0.00000	0.00000	47.4160	5.35365	44.2999	5.35365	2478550000000000	0.00180749	543.055
0.00000	0.00000	0.00000	47.2997	5.38085	44.1536	5.38085	2383550000000000	0.00181931	540.227
0.00000	0.00000	0.00000	47.1839	5.40666	44.0086	5.40666	2292030000000000	0.00183055	537.564
0.00000	0.00000	0.00000	47.0676	5.43099	43.8638	5.43099	2203130000000000	0.00183992	535.446
0.00000	0.00000	0.00000	46.9516	5.45462	43.7196	5.45462	2117410000000000	0.00185042	532.977
0.00000	0.00000	0.00000	46.8341	5.47784	43.5739	5.47784	2033520000000000	0.00186203	530.183
0.00000	0.00000	0.00000	46.7165	5.49948	43.4288	5.49948	1952310000000000	0.00187102	528.141
0.00000	0.00000	0.00000	46.5979	5.52030	43.2831	5.52030	1873230000000000	0.00187951	526.228
0.00000	0.00000	0.00000	46.4824	5.53915	43.1419	5.53915	1798810000000000	0.00188501	525.130
