Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
2.73028	6.06001	0.00000	50.3047	0.914507	49.7263	0.914507	6172270000000000	0.000533611	1810.78
2.73334	6.05723	4.17714	52.0120	0.159392	51.9041	0.159392	10207900000000000	0.000769568	1126.46
3.08010	6.05862	3.60529	52.5452	-0.111509	52.6222	-0.111509	11903300000000000	0.000857993	930.306
4.75215	6.05493	4.31656	52.6755	-0.00566891	52.6794	-0.00566891	12356400000000000	0.000906192	850.070
6.62575	6.05482	4.02231	52.6512	0.282457	52.4552	0.282457	12270800000000000	0.000944792	808.484
8.76519	6.04600	4.57061	52.5641	0.630163	52.1283	0.630163	11968100000000000	0.000980495	782.123
10.8728	6.04562	4.24049	52.4534	0.967680	51.7870	0.967680	11593600000000000	0.00101277	764.265
12.8712	6.04543	3.92025	52.3337	1.29070	51.4489	1.29070	11201400000000000	0.00104478	748.862
14.9551	6.03980	3.76850	52.2110	1.59674	51.1214	1.59674	10812000000000000	0.00107761	733.928
17.1413	6.03768	3.46447	52.0854	1.88307	50.8067	1.88307	10427000000000000	0.00111047	720.039
19.5044	6.03119	3.23489	51.9587	2.15023	50.5057	2.15023	10051600000000000	0.00114364	706.684
21.7126	6.02372	3.00001	51.8310	2.40040	50.2169	2.40040	9685790000000000	0.00117736	693.629
23.9096	6.02130	2.67190	51.7035	2.63093	49.9432	2.63093	9333200000000000	0.00121077	681.323
26.0437	6.02022	2.33302	51.5768	2.84427	49.6833	2.84427	8994980000000000	0.00124431	669.351
28.1695	6.01930	1.99233	51.4503	3.04028	49.4363	3.04028	8668420000000000	0.00127697	658.372
30.3394	6.01867	1.64045	51.3263	3.21782	49.2051	3.21782	8359000000000000	0.00130830	648.359
32.4780	6.00865	1.40221	51.2011	3.38860	48.9784	3.38860	8057150000000000	0.00134168	637.571
33.1730	6.00787	1.29481	51.0769	3.54657	48.7622	3.54657	7767700000000000	0.00137478	627.231
33.8821	6.00526	1.20253	50.9522	3.69151	48.5550	3.69151	7486870000000000	0.00140616	618.109
34.5820	6.00077	1.12610	50.8266	3.82615	48.3544	3.82615	7213220000000000	0.00143642	609.804
35.2899	5.99890	1.02405	50.7033	3.95271	48.1621	3.95271	6953770000000000	0.00146792	600.967
35.9898	5.98952	0.979824	50.5776	4.07304	47.9725	4.07304	6698130000000000	0.00149958	592.378
36.6991	5.97899	0.933190	50.4515	4.18404	47.7892	4.18404	6450300000000000	0.00152955	584.722
37.3995	5.97192	0.858470	50.3272	4.28751	47.6130	4.28751	6214230000000000	0.00155958	577.093
38.1046	5.95309	0.838944	50.2058	4.38374	47.4446	4.38374	5991120000000000	0.00158991	569.384
38.8042	5.93283	0.809273	50.0832	4.47492	47.2789	4.47492	5773400000000000	0.00162027	561.851
39.5068	5.90656	0.785050	49.9591	4.56275	47.1146	4.56275	5560400000000000	0.00165202	553.996
40.2114	5.89093	0.714258	49.8366	4.64479	46.9559	4.64479	5357030000000000	0.00168386	546.235
40.9164	5.87020	0.651846	49.7143	4.72091	46.8014	4.72091	5160610000000000	0.00171433	539.108
41.6181	5.82663	0.634319	49.5930	4.79019	46.6526	4.79019	4972300000000000	0.00174189	533.047
42.3042	5.78862	0.591685	49.4735	4.85390	46.5092	4.85390	4792960000000000	0.00176777	527.550
