Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
4.95497	9.48464	0.00000	38.8353	-0.679327	39.0599	-0.679327	499472000000000	0.0000336053	29756.8
5.05489	9.49392	-0.553288	38.8018	-0.349895	38.9175	-0.349895	489121000000000	0.0000340113	29401.6
8.01189	9.47295	1.72564	38.6586	0.372260	38.5354	0.372260	447192000000000	0.0000335600	29797.0
11.2072	9.46830	1.53933	38.5165	1.02941	38.1757	1.02941	409028000000000	0.0000330816	30228.0
14.2245	9.46561	1.28260	38.3784	1.63221	37.8377	1.63221	374960000000000	0.0000326543	30623.6
17.2475	9.46613	0.953340	38.2387	2.19694	37.5105	2.19694	343321000000000	0.0000322159	31040.4
20.2475	9.46555	0.646132	38.1000	2.71979	37.1980	2.71979	314497000000000	0.0000317921	31454.2
21.7527	9.45674	0.589284	37.9637	3.19289	36.9043	3.19289	288478000000000	0.0000313545	31893.2
23.2521	9.45942	0.407178	37.8326	3.62111	36.6305	3.62111	265445000000000	0.0000309582	32301.5
24.7559	9.46185	0.222972	37.7004	4.01973	36.3651	4.01973	244027000000000	0.0000305362	32747.9
26.2582	9.44189	0.232093	37.5685	4.38885	36.1099	4.38885	224368000000000	0.0000301099	33211.5
27.7499	9.37667	0.287757	37.4399	4.72963	35.8672	4.72963	206703000000000	0.0000297274	33639.0
29.2467	9.21312	0.323644	37.3112	5.04439	35.6330	5.04439	190395000000000	0.0000293230	34102.9
30.7127	8.87231	0.337452	37.1864	5.33231	35.4116	5.33231	175791000000000	0.0000289510	34541.0
32.1591	8.26377	0.335836	37.0634	5.60003	35.1985	5.60003	162481000000000	0.0000286033	34961.0
33.5551	7.30501	0.332192	36.9412	5.84832	34.9927	5.84832	150240000000000	0.0000282542	35392.9
34.9123	5.96786	0.326638	36.8213	6.07783	34.7953	6.07783	139121000000000	0.0000279257	35809.3
36.2106	4.31677	0.316397	36.7008	6.29116	34.6027	6.29116	128765000000000	0.0000275736	36266.6
30.6395	8.89146	0.338695	36.5834	6.48725	34.4189	6.48725	119416000000000	0.0000272444	36704.7
38.7097	0.00000	0.00000	36.4683	6.66825	34.2424	6.66825	110899000000000	0.0000269273	37137.0
0.00000	0.00000	0.00000	36.3533	6.83826	34.0696	6.83826	102992000000000	0.0000266141	37574.1
0.00000	0.00000	0.00000	36.2414	6.99630	33.9039	6.99630	95834200000000	0.0000263373	37969.0
0.00000	0.00000	0.00000	36.1301	7.14300	33.7425	7.14300	89205000000000	0.0000260512	38385.9
0.00000	0.00000	0.00000	36.0194	7.27996	33.5850	7.27996	83068000000000	0.0000257661	38810.7
0.00000	0.00000	0.00000	35.9101	7.40804	33.4318	7.40804	77415000000000	0.0000254936	39225.5
0.00000	0.00000	0.00000	35.8013	7.52824	33.2817	7.52824	72171900000000	0.0000252273	39639.6
0.00000	0.00000	0.00000	35.6941	7.64050	33.1359	7.64050	67349400000000	0.0000249746	40040.7
0.00000	0.00000	0.00000	35.5879	7.74498	32.9935	7.74498	62886000000000	0.0000247200	40453.1
0.00000	0.00000	0.00000	35.4820	7.84242	32.8540	7.84242	58733700000000	0.0000244577	40886.9
0.00000	0.00000	0.00000	35.3765	7.93441	32.7165	7.93441	54865400000000	0.0000242025	41318.0
0.00000	0.00000	0.00000	35.2733	8.01802	32.5842	8.01802	51327200000000	0.0000239325	41784.1
0.00000	0.00000	0.00000	35.1742	8.09680	32.4576	8.09680	48143600000000	0.0000237223	42154.4
0.00000	0.00000	0.00000	35.0753	8.17166	32.3325	8.17166	45161600000000	0.0000235217	42513.9
0.00000	0.00000	0.00000	34.9769	8.24330	32.2089	8.24330	42377900000000	0.0000233457	42834.4
0.00000	0.00000	0.00000	34.8782	8.31031	32.0867	8.31031	39759400000000	0.0000231530	43190.9
0.00000	0.00000	0.00000	34.7818	8.37137	31.9687	8.37137	37355500000000	0.0000229463	43580.0
0.00000	0.00000	0.00000	34.6882	8.42911	31.8547	8.42911	35161500000000	0.0000227801	43898.0
0.00000	0.00000	0.00000	34.5936	8.48317	31.7408	8.48317	33072900000000	0.0000225835	44280.1
0.00000	0.00000	0.00000	34.5010	8.53425	31.6300	8.53425	31150800000000	0.0000224143	44614.4
0.00000	0.00000	0.00000	34.4094	8.58123	31.5215	8.58123	29357600000000	0.0000222226	44999.3
0.00000	0.00000	0.00000	34.3196	8.62572	31.4158	8.62572	27700400000000	0.0000220541	45343.0
0.00000	0.00000	0.00000	34.2301	8.66791	31.3110	8.66791	26140700000000	0.0000218877	45687.8
0.00000	0.00000	0.00000	34.1425	8.70732	31.2091	8.70732	24699200000000	0.0000217292	46021.0
0.00000	0.00000	0.00000	34.0539	8.74448	31.1069	8.74448	23322000000000	0.0000215476	46408.9
0.00000	0.00000	0.00000	33.9660	8.77989	31.0061	8.77989	22032200000000	0.0000213788	46775.3
0.00000	0.00000	0.00000	33.8782	8.81333	30.9060	8.81333	20814000000000	0.0000212027	47163.7
0.00000	0.00000	0.00000	33.7911	8.84518	30.8071	8.84518	19672700000000	0.0000210383	47532.4
0.00000	0.00000	0.00000	33.7038	8.87523	30.7087	8.87523	18591300000000	0.0000208621	47933.7
0.00000	0.00000	0.00000	33.6190	8.90375	30.6133	8.90375	17597900000000	0.0000207169	48269.8
0.00000	0.00000	0.00000	33.5333	8.93060	30.5175	8.93060	16647400000000	0.0000205477	48667.3
0.00000	0.00000	0.00000	33.4485	8.95571	30.4232	8.95571	15757600000000	0.0000203728	49085.0
0.00000	0.00000	0.00000	33.3657	8.98051	30.3310	8.98051	14934200000000	0.0000202581	49362.9
0.00000	0.00000	0.00000	33.2820	9.00294	30.2387	9.00294	14145900000000	0.0000200820	49795.7
0.00000	0.00000	0.00000	33.1985	9.02459	30.1470	9.02459	13401200000000	0.0000199204	50199.8
0.00000	0.00000	0.00000	33.1147	9.04537	30.0551	9.04537	12692800000000	0.0000197599	50607.5
0.00000	0.00000	0.00000	33.0313	9.06479	29.9642	9.06479	12025100000000	0.0000195860	51056.8
0.00000	0.00000	0.00000	32.9479	9.08372	29.8733	9.08372	11392000000000	0.0000194310	51464.2
0.00000	0.00000	0.00000	32.8660	9.10100	29.7845	9.10100	10802900000000	0.0000192565	51930.5
0.00000	0.00000	0.00000	32.7854	9.11805	29.6972	9.11805	10253300000000	0.0000191269	52282.5
0.00000	0.00000	0.00000	32.7051	9.13363	29.6107	9.13363	9733300000000	0.0000189625	52735.7
0.00000	0.00000	0.00000	32.6261	9.14838	29.5257	9.14838	9247260000000	0.0000188058	53175.2
0.00000	0.00000	0.00000	32.5472	9.16349	29.4407	9.16349	8786320000000	0.0000187089	53450.4
0.00000	0.00000	0.00000	32.4688	9.17612	29.3571	9.17612	8351160000000	0.0000185106	54023.0
0.00000	0.00000	0.00000	32.3906	9.18884	29.2736	9.18884	7938130000000	0.0000183516	54491.2
0.00000	0.00000	0.00000	32.3131	9.20178	29.1909	9.20178	7549440000000	0.0000182515	54790.0
0.00000	0.00000	0.00000	32.2349	9.21272	29.1080	9.21272	7176110000000	0.0000180471	55410.5
0.00000	0.00000	0.00000	32.1569	9.22424	29.0250	9.22424	6821960000000	0.0000179156	55817.4
0.00000	0.00000	0.00000	32.0795	9.23504	28.9431	9.23504	6488370000000	0.0000177767	56253.3
0.00000	0.00000	0.00000	32.0010	9.24454	28.8604	9.24454	6166320000000	0.0000175628	56938.6
0.00000	0.00000	0.00000	31.9239	9.25482	28.7789	9.25482	5865700000000	0.0000174539	57293.8
