Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
4.54533	9.94456	0.00000	40.1152	-0.576325	40.2699	-0.576325	1095210000000000	0.0000730595	13685.5
4.56072	9.96226	-0.468326	40.2212	-0.583619	40.3777	-0.583619	1167010000000000	0.0000777954	12852.0
4.65018	9.96195	-0.477334	40.1457	-0.0614695	40.1622	-0.0614695	1115480000000000	0.0000782404	12779.1
5.38136	9.95610	-0.551330	40.0461	0.505881	39.9101	0.505881	1050670000000000	0.0000781242	12798.3
7.07780	9.94818	-0.722670	39.9339	1.14161	39.6267	1.14161	981950000000000	0.0000782876	12771.8
8.80978	9.92850	1.99440	39.8125	1.76090	39.3379	1.76090	912318000000000	0.0000782403	12779.8
10.6468	9.91726	1.93365	39.6928	2.32749	39.0646	2.32749	848252000000000	0.0000781572	12793.5
12.4434	9.91212	1.78620	39.5720	2.85978	38.7990	2.85978	787890000000000	0.0000780496	12811.3
14.2485	9.91309	1.59783	39.4524	3.35237	38.5449	3.35237	732162000000000	0.0000779488	12828.0
16.0424	9.90811	1.45011	39.3314	3.80489	38.2999	3.80489	679617000000000	0.0000776875	12871.3
17.8527	9.90042	1.30603	39.2124	4.22438	38.0655	4.22438	631451000000000	0.0000774750	12906.7
19.6480	9.90223	1.11723	39.0947	4.60625	37.8423	4.60625	587011000000000	0.0000771746	12957.1
21.4534	9.90542	0.919238	38.9807	4.96058	37.6302	4.96058	546872000000000	0.0000770090	12985.0
23.2405	9.90229	0.754132	38.8673	5.28749	37.4258	5.28749	509555000000000	0.0000767910	13021.9
25.0465	9.89884	0.586457	38.7535	5.59408	37.2264	5.59408	474582000000000	0.0000765607	13061.2
26.8321	9.89713	0.413102	38.6394	5.87556	37.0332	5.87556	441833000000000	0.0000762083	13121.6
27.4332	9.88175	0.406219	38.5296	6.13525	36.8502	6.13525	412396000000000	0.0000759802	13161.0
28.0302	9.88662	0.329951	38.4215	6.37250	36.6749	6.37250	385289000000000	0.0000757008	13209.6
28.6538	9.88599	0.268958	38.3139	6.59614	36.5037	6.59614	360025000000000	0.0000754612	13251.6
