Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
4.45690	9.85162	0.00000	39.9008	-0.626831	40.0790	-0.626831	962461000000000	0.0000644641	15511.0
4.51768	9.86275	-0.469086	39.9423	-0.493659	40.0827	-0.493659	986913000000000	0.0000669528	14934.3
4.57068	9.86004	-0.474647	39.8889	-0.185874	39.9417	-0.185874	955558000000000	0.0000668134	14965.5
5.16982	9.85418	-0.535855	39.7814	0.439125	39.6567	0.439125	895249000000000	0.0000667531	14979.2
6.89166	9.85116	0.986238	39.6550	1.09470	39.3444	1.09470	828904000000000	0.0000664332	15051.6
8.64422	9.85799	-0.888012	39.5230	1.72713	39.0335	1.72713	764577000000000	0.0000660476	15139.6
10.6099	9.86030	-1.08711	39.3908	2.30438	38.7385	2.30438	704961000000000	0.0000655555	15253.4
12.4331	9.84244	1.46152	39.2591	2.84202	38.4555	2.84202	649956000000000	0.0000650764	15365.9
14.2448	9.85861	-1.45603	39.1271	3.33665	38.1847	3.33665	598956000000000	0.0000645230	15497.7
16.0428	9.85474	-1.63914	39.0000	3.79132	37.9304	3.79132	553481000000000	0.0000640975	15600.7
17.8484	9.85454	-1.82240	38.8755	4.20693	37.6899	4.20693	512147000000000	0.0000636777	15703.7
19.6397	9.84908	0.373846	38.7496	4.59427	37.4562	4.59427	473398000000000	0.0000631964	15823.3
21.4429	9.83235	0.758273	38.6244	4.94790	37.2331	4.94790	437700000000000	0.0000626445	15962.8
23.2332	9.80880	0.729385	38.5039	5.27226	37.0229	5.27226	405783000000000	0.0000621901	16079.5
25.0355	9.79502	0.598781	38.3834	5.57429	36.8193	5.57429	376160000000000	0.0000617210	16201.7
26.8277	9.79309	0.422421	38.2647	5.85330	36.6240	5.85330	349008000000000	0.0000612620	16323.1
27.4209	9.79541	0.353922	38.1462	6.11352	36.4343	6.11352	323822000000000	0.0000607977	16447.8
28.0286	9.78570	0.322389	38.0323	6.34554	36.2573	6.34554	301291000000000	0.0000603110	16580.6
28.6262	9.79709	0.225193	37.9193	6.56507	36.0847	6.56507	280454000000000	0.0000598900	16697.2
29.2190	9.78105	0.213320	37.8045	6.77221	35.9140	6.77221	260738000000000	0.0000594250	16827.8
29.8175	9.73998	0.235836	37.6917	6.96035	35.7506	6.96035	242692000000000	0.0000589115	16974.5
30.4046	9.67948	0.253617	37.5831	7.13405	35.5954	7.13405	226463000000000	0.0000584856	17098.2
30.9924	9.59731	0.263140	37.4775	7.29029	35.4482	7.29029	211718000000000	0.0000580128	17237.5
31.5909	9.48440	0.268691	37.3734	7.43789	35.3050	7.43789	198110000000000	0.0000576037	17359.9
32.1719	9.33738	0.271489	37.2687	7.57807	35.1633	7.57807	185289000000000	0.0000571977	17483.2
32.7519	9.13803	0.274783	37.1645	7.70999	35.0244	7.70999	173341000000000	0.0000568054	17603.9
33.3224	8.88889	0.275788	37.0598	7.83441	34.8872	7.83441	162107000000000	0.0000564004	17730.3
33.8824	8.58268	0.275298	36.9564	7.95049	34.7536	7.95049	151714000000000	0.0000560074	17854.7
34.4422	8.20154	0.274739	36.8549	8.05770	34.6244	8.05770	142151000000000	0.0000556136	17981.2
34.9995	7.74620	0.273600	36.7541	8.15745	34.4981	8.15745	133251000000000	0.0000552009	18115.6
35.5443	7.22580	0.271847	36.6557	8.25137	34.3757	8.25137	125094000000000	0.0000548631	18227.1
36.0840	6.62463	0.268815	36.5571	8.33858	34.2550	8.33858	117410000000000	0.0000544615	18361.6
36.6035	5.95917	0.266557	36.4614	8.42007	34.1389	8.42007	110409000000000	0.0000541293	18474.3
37.1124	5.23019	0.264846	36.3669	8.49640	34.0253	8.49640	103901000000000	0.0000538073	18584.8
37.6088	4.43854	0.264877	36.2745	8.56958	33.9147	8.56958	97898200000000	0.0000535927	18659.2
38.0825	3.61801	0.268272	36.1813	8.63870	33.8044	8.63870	92197400000000	0.0000533482	18744.8
38.5375	2.76540	0.274641	36.0884	8.70301	33.6958	8.70301	86841900000000	0.0000530628	18845.6
32.1842	9.33283	0.271965	35.9958	8.76350	33.5887	8.76350	81815300000000	0.0000527705	18950.0
39.8354	0.00000	0.00000	35.9035	8.81986	33.4829	8.81986	77089200000000	0.0000524380	19070.1
0.00000	0.00000	0.00000	35.8129	8.87330	33.3796	8.87330	72714200000000	0.0000521642	19170.2
0.00000	0.00000	0.00000	35.7239	8.92221	33.2791	8.92221	68655500000000	0.0000518443	19288.5
0.00000	0.00000	0.00000	35.6364	8.96890	33.1808	8.96890	64887200000000	0.0000515903	19383.5
0.00000	0.00000	0.00000	35.5486	9.01236	33.0831	9.01236	61313000000000	0.0000512734	19503.3
0.00000	0.00000	0.00000	35.4620	9.05383	32.9871	9.05383	57978200000000	0.0000510050	19605.9
0.00000	0.00000	0.00000	35.3752	9.09243	32.8916	9.09243	54816500000000	0.0000506751	19733.6
0.00000	0.00000	0.00000	35.2913	9.12855	32.7998	9.12855	51926700000000	0.0000504016	19840.6
0.00000	0.00000	0.00000	35.2091	9.16341	32.7099	9.16341	49239500000000	0.0000502140	19914.7
0.00000	0.00000	0.00000	35.1269	9.19613	32.6207	9.19613	46693900000000	0.0000499950	20002.0
0.00000	0.00000	0.00000	35.0455	9.22632	32.5329	9.22632	44299000000000	0.0000497208	20112.3
0.00000	0.00000	0.00000	34.9646	9.25572	32.4458	9.25572	42041600000000	0.0000495156	20195.7
0.00000	0.00000	0.00000	34.8839	9.28266	32.3598	9.28266	39906500000000	0.0000492260	20314.5
0.00000	0.00000	0.00000	34.8055	9.30882	32.2760	9.30882	37931500000000	0.0000490447	20389.6
0.00000	0.00000	0.00000	34.7264	9.33369	32.1920	9.33369	36041500000000	0.0000488389	20475.5
0.00000	0.00000	0.00000	34.6490	9.35647	32.1102	9.35647	34281200000000	0.0000485904	20580.2
0.00000	0.00000	0.00000	34.5711	9.37826	32.0282	9.37826	32595200000000	0.0000483275	20692.1
0.00000	0.00000	0.00000	34.4936	9.39984	31.9466	9.39984	31001200000000	0.0000481602	20764.0
0.00000	0.00000	0.00000	34.4178	9.41941	31.8673	9.41941	29517400000000	0.0000479308	20863.4
0.00000	0.00000	0.00000	34.3418	9.43873	31.7879	9.43873	28101100000000	0.0000477668	20935.0
0.00000	0.00000	0.00000	34.2658	9.45683	31.7088	9.45683	26752700000000	0.0000475591	21026.5
0.00000	0.00000	0.00000	34.1910	9.47423	31.6310	9.47423	25488200000000	0.0000474007	21096.7
0.00000	0.00000	0.00000	34.1163	9.49004	31.5538	9.49004	24284700000000	0.0000471368	21214.8
0.00000	0.00000	0.00000	34.0420	9.50600	31.4769	9.50600	23144000000000	0.0000469981	21277.4
0.00000	0.00000	0.00000	33.9671	9.52077	31.3998	9.52077	22048600000000	0.0000467724	21380.1
0.00000	0.00000	0.00000	33.8944	9.53431	31.3251	9.53431	21033500000000	0.0000465219	21495.2
0.00000	0.00000	0.00000	33.8213	9.54778	31.2502	9.54778	20062000000000	0.0000463414	21579.0
0.00000	0.00000	0.00000	33.7495	9.56113	31.1765	9.56113	19150200000000	0.0000462684	21613.0
0.00000	0.00000	0.00000	33.6778	9.57281	31.1033	9.57281	18280600000000	0.0000460166	21731.3
