Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
2.66392	5.84885	0.00000	51.6541	-0.137619	51.7254	-0.137619	9199900000000000	0.000683630	1322.28
2.65659	5.85396	-0.475963	52.1862	-0.445504	52.4127	-0.445504	10735000000000000	0.000758679	1126.78
2.93754	5.85666	-0.526876	52.2994	-0.197939	52.3996	-0.197939	11091300000000000	0.000815954	1021.35
4.70120	5.85680	-0.828153	52.2586	0.125940	52.1947	0.125940	10961500000000000	0.000852045	974.190
6.70763	5.85392	-1.16794	52.1666	0.462121	51.9315	0.462121	10674500000000000	0.000881519	945.256
9.04380	5.84368	3.78700	52.0488	0.812864	51.6335	0.812864	10317300000000000	0.000911359	920.562
11.0133	5.83972	3.95419	51.9244	1.14546	51.3364	1.14546	9951960000000000	0.000941252	898.006
12.9965	5.83645	3.88376	51.7932	1.46158	51.0394	1.46158	9580110000000000	0.000971368	877.123
15.0655	5.83622	3.54395	51.6549	1.75279	50.7463	1.75279	9202200000000000	0.000999388	860.043
17.2977	5.83718	3.10203	51.5202	2.02171	50.4671	2.02171	8847430000000000	0.00102837	842.469
19.6561	5.83568	2.78702	51.3878	2.26828	50.2006	2.26828	8511230000000000	0.00105742	825.443
21.8881	5.83067	2.58890	51.2599	2.49685	49.9471	2.49685	8197640000000000	0.00108791	807.639
24.0628	5.83213	2.17194	51.1207	2.71285	49.6873	2.71285	7868810000000000	0.00111620	793.113
26.2509	5.83044	1.84759	50.9911	2.91021	49.4463	2.91021	7573380000000000	0.00114644	777.052
28.3728	5.83049	1.48207	50.8621	3.09279	49.2129	3.09279	7289720000000000	0.00117661	761.689
30.5217	5.82616	1.23647	50.7355	3.26232	48.9881	3.26232	7020730000000000	0.00120746	746.363
32.7009	5.82572	0.874208	50.6044	3.41997	48.7642	3.41997	6751900000000000	0.00123660	732.993
33.4175	5.82201	0.844962	50.4791	3.56019	48.5550	3.56019	6503810000000000	0.00126414	720.834
34.1238	5.81733	0.815070	50.3512	3.69394	48.3459	3.69394	6259080000000000	0.00129208	708.911
34.8144	5.81285	0.771357	50.2252	3.81937	48.1428	3.81937	6026330000000000	0.00132092	696.760
35.5165	5.80744	0.726253	50.0993	3.93751	47.9432	3.93751	5801610000000000	0.00135027	684.721
36.2114	5.79702	0.727163	49.9685	4.04816	47.7419	4.04816	5576290000000000	0.00137757	674.297
36.9189	5.78912	0.680477	49.8451	4.14734	47.5543	4.14734	5370850000000000	0.00140416	664.285
37.6242	5.77409	0.677137	49.7197	4.24339	47.3659	4.24339	5169170000000000	0.00143228	653.830
38.3223	5.75447	0.680768	49.5959	4.33252	47.1825	4.33252	4976750000000000	0.00146002	643.805
39.0247	5.72697	0.697037	49.4723	4.41562	47.0025	4.41562	4791210000000000	0.00148709	634.346
39.7181	5.69793	0.690739	49.3460	4.49363	46.8218	4.49363	4607850000000000	0.00151250	625.910
40.4158	5.66029	0.686418	49.2261	4.56520	46.6514	4.56520	4439610000000000	0.00153854	617.248
41.1248	5.61433	0.675525	49.1027	4.63339	46.4788	4.63339	4272290000000000	0.00156361	609.248
41.8325	5.55753	0.664263	48.9815	4.69645	46.3113	4.69645	4113420000000000	0.00158784	601.697
42.5221	5.49848	0.637830	48.8584	4.75667	46.1430	4.75667	3957400000000000	0.00161186	594.404
43.2122	5.42284	0.614321	48.7392	4.81213	45.9813	4.81213	3811210000000000	0.00163535	587.378
43.9106	5.31781	0.602113	48.6187	4.86494	45.8195	4.86494	3668400000000000	0.00165857	580.592
44.6116	5.19057	0.584692	48.4962	4.91646	45.6561	4.91646	3528050000000000	0.00168324	573.430
45.2756	5.01933	0.583186	48.3795	4.96178	45.5023	4.96178	3398650000000000	0.00170435	567.559
45.9453	4.80495	0.582004	48.2586	5.00638	45.3441	5.00638	3269020000000000	0.00172612	561.596
46.5996	4.54363	0.582794	48.1396	5.04722	45.1901	5.04722	3145660000000000	0.00174561	556.438
47.2453	4.22286	0.588580	48.0217	5.08495	45.0389	5.08495	3027480000000000	0.00176301	551.998
47.8672	3.85913	0.593872	47.9016	5.12099	44.8862	5.12099	2911060000000000	0.00177916	547.994
48.4824	3.44964	0.599407	47.7860	5.15497	44.7393	5.15497	2802550000000000	0.00179672	543.532
49.0731	2.99672	0.612000	47.6656	5.18852	44.5874	5.18852	2693380000000000	0.00181447	539.084
42.8651	5.46586	0.622388	47.5455	5.21987	44.4370	5.21987	2588130000000000	0.00183047	535.188
52.1095	0.00000	0.00000	47.4270	5.24921	44.2892	5.24921	2487640000000000	0.00184548	531.593
0.00000	0.00000	0.00000	47.3088	5.27668	44.1429	5.27668	2390830000000000	0.00185881	528.489
0.00000	0.00000	0.00000	47.1928	5.30206	44.0002	5.30206	2298990000000000	0.00187035	525.884
0.00000	0.00000	0.00000	47.0729	5.32786	43.8528	5.32786	2207180000000000	0.00188461	522.526
0.00000	0.00000	0.00000	46.9568	5.35091	43.7111	5.35091	2121260000000000	0.00189506	520.218
0.00000	0.00000	0.00000	46.8390	5.37358	43.5675	5.37358	2036910000000000	0.00190654	517.624
0.00000	0.00000	0.00000	46.7196	5.39512	43.4230	5.39512	1954420000000000	0.00191617	515.533
0.00000	0.00000	0.00000	46.6049	5.41482	43.2845	5.41482	1877810000000000	0.00192463	513.728
0.00000	0.00000	0.00000	46.4861	5.43428	43.1417	5.43428	1801170000000000	0.00193272	512.021
0.00000	0.00000	0.00000	46.3701	5.45203	43.0029	5.45203	1728840000000000	0.00193811	511.006
0.00000	0.00000	0.00000	46.2545	5.46870	42.8651	5.46870	1659180000000000	0.00194156	510.479
0.00000	0.00000	0.00000	46.1382	5.48535	42.7266	5.48535	1591530000000000	0.00194769	509.224
0.00000	0.00000	0.00000	46.0220	5.50040	42.5890	5.50040	1526240000000000	0.00194848	509.354
0.00000	0.00000	0.00000	45.9051	5.51542	42.4507	5.51542	1462820000000000	0.00195164	508.837
0.00000	0.00000	0.00000	45.7893	5.52906	42.3143	5.52906	1402160000000000	0.00195047	509.432
0.00000	0.00000	0.00000	45.6731	5.54233	42.1776	5.54233	1343380000000000	0.00194960	509.929
0.00000	0.00000	0.00000	45.5547	5.55501	42.0389	5.55501	1285660000000000	0.00194638	511.031
0.00000	0.00000	0.00000	45.4425	5.56660	41.9077	5.56660	1232860000000000	0.00194307	512.126
0.00000	0.00000	0.00000	45.3231	5.57870	41.7680	5.57870	1178610000000000	0.00194081	512.943
0.00000	0.00000	0.00000	45.2060	5.58947	41.6317	5.58947	1127390000000000	0.00193353	515.080
0.00000	0.00000	0.00000	45.0879	5.60032	41.4943	5.60032	1077610000000000	0.00192885	516.516
0.00000	0.00000	0.00000	44.9698	5.61092	41.3570	5.61092	1029680000000000	0.00192511	517.690
0.00000	0.00000	0.00000	44.8522	5.61984	41.2212	5.61984	983695000000000	0.00191086	521.717
0.00000	0.00000	0.00000	44.7359	5.62961	41.0863	5.62961	939913000000000	0.00190716	522.873
0.00000	0.00000	0.00000	44.6171	5.63877	40.9490	5.63877	896859000000000	0.00189912	525.224
0.00000	0.00000	0.00000	44.4991	5.64691	40.8131	5.64691	855735000000000	0.00188509	529.263
0.00000	0.00000	0.00000	44.3813	5.65549	40.6772	5.65549	816270000000000	0.00187798	531.381
0.00000	0.00000	0.00000	44.2655	5.66293	40.5442	5.66293	778952000000000	0.00186376	535.542
0.00000	0.00000	0.00000	44.1456	5.67098	40.4063	5.67098	741839000000000	0.00185532	538.078
0.00000	0.00000	0.00000	44.0295	5.67751	40.2736	5.67751	707308000000000	0.00183638	543.720
0.00000	0.00000	0.00000	43.9143	5.68397	40.1418	5.68397	674384000000000	0.00181954	548.833
0.00000	0.00000	0.00000	43.7961	5.69094	40.0064	5.69094	641953000000000	0.00180848	552.267
0.00000	0.00000	0.00000	43.6778	5.69686	39.8715	5.69686	610811000000000	0.00178775	558.744
0.00000	0.00000	0.00000	43.5584	5.70358	39.7348	5.70358	580679000000000	0.00177818	561.814
0.00000	0.00000	0.00000	43.4398	5.70866	39.6000	5.70866	551995000000000	0.00175157	570.412
0.00000	0.00000	0.00000	43.3216	5.71379	39.4657	5.71379	524623000000000	0.00172804	578.235
0.00000	0.00000	0.00000	43.1993	5.71995	39.3261	5.71995	497518000000000	0.00171702	581.995
0.00000	0.00000	0.00000	43.0821	5.72445	39.1933	5.72445	472674000000000	0.00169030	591.239
0.00000	0.00000	0.00000	42.9595	5.72939	39.0541	5.72939	447823000000000	0.00166766	599.311
0.00000	0.00000	0.00000	42.8399	5.73471	38.9180	5.73471	424680000000000	0.00165518	603.864
0.00000	0.00000	0.00000	42.7171	5.73867	38.7793	5.73867	401993000000000	0.00162306	615.852
0.00000	0.00000	0.00000	42.5977	5.74171	38.6449	5.74171	380938000000000	0.00158172	631.983
0.00000	0.00000	0.00000	42.4778	5.74628	38.5089	5.74628	360781000000000	0.00156477	638.857
0.00000	0.00000	0.00000	42.3472	5.75172	38.3604	5.75172	339875000000000	0.00155671	642.190
0.00000	0.00000	0.00000	42.2173	5.75567	38.2138	5.75567	320152000000000	0.00152842	654.102
0.00000	0.00000	0.00000	42.0934	5.75872	38.0743	5.75872	302275000000000	0.00149195	670.112
0.00000	0.00000	0.00000	41.9731	5.76222	37.9386	5.76222	285771000000000	0.00146747	681.311
0.00000	0.00000	0.00000	41.8528	5.76593	37.8027	5.76593	270076000000000	0.00144897	690.024
0.00000	0.00000	0.00000	41.7215	5.77029	37.6541	5.77029	253823000000000	0.00143741	695.590
0.00000	0.00000	0.00000	41.5995	5.77297	37.5170	5.77297	239512000000000	0.00140429	712.010
0.00000	0.00000	0.00000	41.4737	5.77547	37.3757	5.77547	225511000000000	0.00136723	731.323
0.00000	0.00000	0.00000	41.3528	5.77819	37.2398	5.77819	212758000000000	0.00133952	746.461
0.00000	0.00000	0.00000	41.2288	5.78119	37.1002	5.78119	200365000000000	0.00131732	759.049
0.00000	0.00000	0.00000	41.1035	5.78434	36.9591	5.78434	188511000000000	0.00129995	769.199
0.00000	0.00000	0.00000	40.9817	5.78719	36.8220	5.78719	177607000000000	0.00128132	780.390
0.00000	0.00000	0.00000	40.8555	5.78954	36.6804	5.78954	166921000000000	0.00125199	798.683
0.00000	0.00000	0.00000	40.7340	5.79144	36.5443	5.79144	157194000000000	0.00121806	820.939
0.00000	0.00000	0.00000	40.6071	5.79345	36.4022	5.79345	147595000000000	0.00118512	843.757
0.00000	0.00000	0.00000	40.4797	5.79571	36.2592	5.79571	138504000000000	0.00115951	862.398
0.00000	0.00000	0.00000	40.3571	5.79836	36.1213	5.79836	130255000000000	0.00114776	871.233
0.00000	0.00000	0.00000	40.2300	5.80053	35.9788	5.80053	122189000000000	0.00112499	888.870
0.00000	0.00000	0.00000	40.1092	5.80303	35.8430	5.80303	114958000000000	0.00111623	895.854
0.00000	0.00000	0.00000	39.9814	5.80469	35.7001	5.80469	107748000000000	0.00108540	921.301
0.00000	0.00000	0.00000	39.8586	5.80643	35.5626	5.80643	101222000000000	0.00106158	941.978
0.00000	0.00000	0.00000	39.7324	5.80766	35.4217	5.80766	94905200000000	0.00102496	975.629
0.00000	0.00000	0.00000	39.6092	5.80877	35.2843	5.80877	89104000000000	0.000989091	1011.02
0.00000	0.00000	0.00000	39.4856	5.81023	35.1461	5.81023	83622000000000	0.000963241	1038.15
