Vload_(V)	ILoad_(I)	RsLoad (ohm)	SunsVoc_Voltage_(V)	SunsVoc_Current_(A)	Model_Voltage_(V)	Model_Current_(I)	Carrier_Density_(cm-3)	Lifetime_(s)	Inverse_Lifetime_(s-1)
4.17722	8.90449	0.00000	37.8722	-0.597740	38.0387	-0.597740	272192000000000	0.0000201040	49741.2
4.17916	8.90936	-0.484714	37.8610	-0.573250	38.0208	-0.573250	270265000000000	0.0000200132	49966.8
4.24965	8.91243	-0.492434	37.7777	-0.108007	37.8079	-0.108007	256332000000000	0.0000199613	50096.8
5.10398	8.90704	-0.588686	37.6718	0.435827	37.5496	0.435827	239637000000000	0.0000198597	50353.3
6.88869	8.90665	-0.789094	37.5556	1.00394	37.2728	1.00394	222533000000000	0.0000197683	50585.9
8.66492	8.89824	1.36697	37.4336	1.55964	36.9925	1.55964	205878000000000	0.0000196725	50832.4
10.5715	8.89487	1.34000	37.3127	2.06778	36.7255	2.06778	190576000000000	0.0000195638	51114.7
12.3767	8.89128	1.29757	37.1916	2.54554	36.4658	2.54554	176371000000000	0.0000194658	51372.1
14.2033	8.87991	1.36338	37.0722	2.98621	36.2174	2.98621	163393000000000	0.0000193763	51609.4
16.0081	8.87188	1.24747	36.9535	3.38976	35.9794	3.38976	151434000000000	0.0000192722	51888.1
17.8271	8.86789	1.08046	36.8355	3.76276	35.7500	3.76276	140395000000000	0.0000191635	52182.5
19.6364	8.85980	0.935141	36.7175	4.10656	35.5283	4.10656	130161000000000	0.0000190396	52522.0
21.4483	8.85700	0.747797	36.6014	4.42615	35.3147	4.42615	120803000000000	0.0000189318	52821.2
23.2479	8.85181	0.572789	36.4875	4.71877	35.1107	4.71877	112278000000000	0.0000188260	53118.0
25.0585	8.83431	0.444192	36.3738	4.99147	34.9120	4.99147	104357000000000	0.0000187173	53426.4
26.8680	8.78409	0.372277	36.2627	5.24145	34.7222	5.24145	97160500000000	0.0000186157	53718.0
27.4524	8.75074	0.362980	36.1538	5.47342	34.5394	5.47342	90580100000000	0.0000185283	53971.4
28.0519	8.71078	0.347028	36.0440	5.68869	34.3602	5.68869	84392700000000	0.0000184182	54294.0
28.6488	8.64666	0.343407	35.9346	5.89063	34.1849	5.89063	78646800000000	0.0000183143	54602.1
29.2364	8.56833	0.335625	35.8263	6.07601	34.0154	6.07601	73344700000000	0.0000181990	54947.9
29.8076	8.46292	0.330657	35.7200	6.24801	33.8515	6.24801	68484700000000	0.0000180934	55268.8
30.3833	8.32110	0.326523	35.6137	6.40901	33.6906	6.40901	63944400000000	0.0000179838	55605.6
30.9741	8.13737	0.319907	35.5069	6.55766	33.5325	6.55766	59682300000000	0.0000178483	56027.8
31.5496	7.90215	0.314983	35.4020	6.69521	33.3795	6.69521	55773500000000	0.0000177178	56440.4
32.1187	7.60335	0.311041	35.2992	6.82327	33.2315	6.82327	52191800000000	0.0000176002	56817.5
32.6829	7.23983	0.306993	35.1973	6.94451	33.0861	6.94451	48865500000000	0.0000174978	57150.1
33.2274	6.80856	0.304238	35.0962	7.05796	32.9437	7.05796	45775100000000	0.0000173983	57477.0
